"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"MC 001"	"Milw Corridor Study USGS"	"33299 - 33300"	"16th St."	FALSE	"MC 001"	"4/6/2009 11:58"	"4/7/2009 11:40"	"6-Apr-09"	"Baseflow"	"Baseflow"	0.44	18.95	0	5.06	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-06 11:58:00	3	2009-04-06	24.45	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"4/6/2009 11:58"	"4/7/2009 11:40"	NA	NA	NA	NA	NA	2009-04-06 11:58:00	2009-04-07 11:40:00	9527979.4994	807.3808	23.7	2009-04-06 11:00:00	2009-04-07 11:00:00	0	6596667061.80684	6680169176.51326
"MC 002"	"Milw Corridor Study USGS"	"33310 - 33311"	"16th St."	FALSE	"MC 002"	"4/19/2009 18:57"	"4/22/2009 7:42"	"19-Apr-09"	"Event"	"Rainfall "	7.89	26.91	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-19 18:57:00	3	2009-04-19	34.8	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	0	"4/19/2009 18:00"	"4/22/2009 12:00"	1082.0575	1167.5	"MC 002"	FALSE	"Rainfall"	2009-04-19 18:00:00	2009-04-22 12:00:00	95709967.97475	1167.543	66	2009-04-18 17:00:00	2009-04-21 17:00:00	29.985602505	94315115920.2248	34296405789.1726
"MC 003"	"Milw Corridor Study USGS"	"33327 - 33328"	"16th St."	FALSE	"MC 003"	"4/26/2009 18:12"	"4/29/2009 6:16"	"26-Apr-09"	"Event"	"Rainfall "	0	23.48	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-26 18:12:00	3	2009-04-26	23.48	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"4/26/2009 14:00"	"4/29/2009 12:00"	4559.4731	5997.1001	"MC 003"	FALSE	"Rainfall"	2009-04-26 14:00:00	2009-04-29 12:00:00	393753330.6075	5997.05	70	2009-04-24 21:00:00	2009-04-28 04:00:00	68.3658621986	261798540407.53	89759499568.2961
"MC 004"	"Milw Corridor Study USGS"	"33346 - 33347"	"16th St."	TRUE	"MC 004"	"5/13/2009 20:39"	"5/14/2009 20:06"	"13-May-09"	"Event"	"Rainfall "	6.99	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-05-13 20:39:00	4	2009-05-13	6.12604727894703	NA	NA	NA	NA	NA	"May"	NA	NA	1	0	0	"5/13/2009 14:00"	"5/14/2009 20:06"	979.3926	3043.5	"MC 004"	TRUE	"Rainfall"	2009-05-13 14:00:00	2009-05-14 20:06:00	112686501.4613	3043.518	30.1	2009-05-12 21:00:00	2009-05-14 01:00:00	28.33714049	19547765836.0854	15586258473.9551
"MC 006"	"Milw Corridor Study USGS"	"33390 - 33391"	"16th St."	FALSE	"MC 006"	"6/8/2009 6:35"	"6/9/2009 15:22"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-08 06:35:00	5	2009-06-08	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"6/8/2009 0:30"	"6/9/2009 15:30"	813.7328	3218.7	"MC 006"	FALSE	"Rainfall"	2009-06-08 00:30:00	2009-06-09 15:30:00	70392673.2444	3218.725	39	2009-06-07 08:00:00	2009-06-08 18:00:00	28.861107279	0	0
"MC 007"	"Milw Corridor Study USGS"	"33401 - 33402"	"16th St."	FALSE	"MC 007"	"6/15/2009 21:48"	"6/16/2009 13:51"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	2.26	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-15 21:48:00	5	2009-06-15	2.26	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	1	"6/15/2009 21:48"	"6/16/2009 13:51"	NA	NA	NA	NA	NA	2009-06-15 21:48:00	2009-06-16 13:51:00	795592.8252	1398.809	16.05	2009-06-15 21:00:00	2009-06-16 13:00:00	0	50914816.7567984	76134305.4307266
"MC 009"	"Milw Corridor Study USGS"	"33437 - 33438"	"16th St."	FALSE	"MC 009"	"8/11/2009 22:47"	"8/12/2009 2:48"	"11-Aug-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-08-11 22:47:00	7	2009-08-11	NA	NA	NA	NA	NA	NA	"Aug"	NA	NA	0	0	0	"8/11/2009 22:47"	"8/12/2009 2:48"	NA	NA	NA	NA	NA	2009-08-11 22:47:00	2009-08-12 02:48:00	NA	NA	4.01666666666667	2009-08-11 22:00:00	2009-08-12 02:00:00	0	NA	NA
"MC 011"	"Milw Corridor Study USGS"	"33464 - 33465"	"16th St."	FALSE	"MC 011"	"9/14/2009 10:58"	"9/15/2009 1:25"	"14-Sep-09"	"Baseflow"	"Baseflow"	0.35	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-14 10:58:00	8	2009-09-14	0.35	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"9/14/2009 10:58"	"9/15/2009 1:25"	NA	NA	NA	NA	NA	2009-09-14 10:58:00	2009-09-15 01:25:00	112436.848275	591.6083	14.45	2009-09-13 23:00:00	2009-09-14 20:00:00	1.927015121	1114349.9443619	1850823.43700247
"MC 012"	"Milw Corridor Study USGS"	"33476 - 33477"	"16th St."	FALSE	"MC 012"	"9/22/2009 12:53"	"9/23/2009 7:51"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-22 12:53:00	8	2009-09-22	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/22/2009 11:30"	"9/23/2009 9:30"	101.0015	127	"MC 012"	FALSE	"Rainfall"	2009-09-22 11:30:00	2009-09-23 09:30:00	8862434.361	762.7182	22	2009-09-21 21:00:00	2009-09-22 19:00:00	12.672482074	0	0
"MC 013"	"Milw Corridor Study USGS"	"33486 - 33487"	"16th St."	FALSE	"MC 013"	"9/27/2009 20:40"	"9/28/2009 9:44"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-27 20:40:00	8	2009-09-27	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/27/2009 19:30"	"9/28/2009 15:00"	170.4576	1931.5	"MC 013"	FALSE	"Rainfall"	2009-09-27 19:30:00	2009-09-28 15:00:00	22811116.86825	2884.715	19.5	2009-09-27 15:00:00	2009-09-28 08:00:00	21.2287422258	0	0
