"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"MW 001"	"33297 - 33298"	6510	"70th St."	"MW"	FALSE	"MW 001"	"4/6/2009 10:23"	"4/7/2009 1:22"	"4/6/2009 16:23"	"4/7/2009 7:22"	"6-Apr-09"	"10-Apr-09"	"Apr"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	16.8	132.68	0	149.48	26	15	NA	29704	NA	2793	NA	3046	"4/6/2009 10:23"	"4/7/2009 1:22"	NA	NA	NA	NA	NA	2009-04-06 16:23:00	2009-04-06	2009-04-06 15:23:00	2009-04-07 06:22:00	6097379.7067	139.0292	14.9833333333333	2009-04-06 15:00:00	2009-04-07 06:00:00	0	2900.663904899	22908.3385060714	0	25809.0024109704	4489.12270996274	2589.87848651697	NA	5128650.03756667	482235.374189459	525917.991328712
"MW 002"	"33314 - 33315"	6520	"70th St."	"MW"	FALSE	"MW 002"	"4/19/2009 18:45"	"4/22/2009 7:27"	"4/20/2009 0:45"	"4/22/2009 13:27"	"19-Apr-09"	"24-Apr-09"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	32.52	148.5	24.26	205.28	160	260	NA	7020	NA	1753	NA	2803	"4/19/2009 15:15"	"4/22/2009 15:00"	994.592	597.42	"MW 002"	FALSE	"Rainfall"	2009-04-20 00:45:00	2009-04-20	2009-04-19 20:15:00	2009-04-22 20:00:00	85933255.49775	597.4216	71.75	2009-04-18 22:00:00	2009-04-21 22:00:00	30.076178988	79132.8286013918	361353.783742518	59033.2848053433	499519.897149253	389337.410092948	632673.291401041	NA	17082178.8678281	4265677.99933087	6820704.75306584
"MW 003"	"33329 - 33330"	6676	"70th St."	"MW"	FALSE	"MW 003"	"4/26/2009 18:16"	"4/29/2009 6:16"	"4/27/2009 0:16"	"4/29/2009 12:16"	"26-Apr-09"	"1-May-09"	"Apr"	"Event"	"Rainfall "	"CSO"	"CSO"	0	5.44	0	5.44	170	210	NA	12010	NA	10029	NA	383	"4/25/2009 10:15"	"4/29/2009 6:16"	5480.0186	4460	"MW 003"	FALSE	"Rainfall"	2009-04-27 00:16:00	2009-04-27	2009-04-25 15:15:00	2009-04-29 11:16:00	473546806.60605	4459.972	92.0166666666667	2009-04-25 02:00:00	2009-04-28 09:00:00	68.7123908131	0	72946.8763857649	0	72946.8763857649	2279589.88705515	2815963.97812695	NA	161046320.844308	134482393.983977	5135781.92201249
"MW 004"	"33348 - 33349"	6747	"70th St."	"MW"	FALSE	"MW 004"	"5/13/2009 20:13"	"5/15/2009 7:12"	"5/14/2009 2:13"	"5/15/2009 13:12"	"13-May-09"	"16-May-09"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	2570	2080	NA	78077	NA	6461	NA	8587	"5/13/2009 20:00"	"5/15/2009 15:00"	1273.0657	1845.8	"MW 004"	FALSE	"Rainfall"	2009-05-14 02:13:00	2009-05-14	2009-05-14 01:00:00	2009-05-15 20:00:00	109992643.59375	1845.77	43	2009-05-13 02:00:00	2009-05-15 06:00:00	29.159238379	0	0	0	0	8004637.17427437	6478461.21497692	NA	243182123.212381	20123720.1490221	26745455.025484
"MW 005"	"33386 - 33387"	6921	"70th St."	"MW"	FALSE	"MW 005"	"6/8/2009 2:58"	"6/9/2009 14:37"	"6/8/2009 8:58"	"6/9/2009 20:37"	"8-Jun-09"	"12-Jun-09"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	6900	4500	NA	123788	NA	12219	NA	5489	"6/8/2009 2:30"	"6/10/2009 0:30"	870.6187	1937.6	"MW 005"	FALSE	"Rainfall"	2009-06-08 08:58:00	2009-06-08	2009-06-08 07:30:00	2009-06-10 05:30:00	75221789.9205	1937.584	46	2009-06-07 13:00:00	2009-06-10 04:00:00	29.125547503	0	0	0	0	14697302.8103257	9585197.48499503	NA	263673872.505014	26027006.2375898	11691810.8878084
"MW 006"	"33399 - 33400"	7007	"70th St."	"MW"	FALSE	"MW 006"	"6/15/2009 20:59"	"6/16/2009 13:38"	"6/16/2009 2:59"	"6/16/2009 19:38"	"15-Jun-09"	"15-Jun-09"	"Jun"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	5.74	0.94	6.68	160	56	NA	6418	NA	315	NA	161	"6/15/2009 20:59"	"6/16/2009 13:38"	NA	NA	NA	NA	NA	2009-06-16 02:59:00	2009-06-16	2009-06-16 01:59:00	2009-06-16 18:38:00	2367761.45762	41.28012	16.65	2009-06-16 01:00:00	2009-06-16 18:00:00	0	0	384.852867901167	63.0246856841633	447.877553585331	10727.6060739001	3754.66212586505	NA	430311.098639319	21119.9744579909	10794.653611862
"MW 009"	"33445 - 33446"	7770	"70th St."	"MW"	FALSE	"MW 009"	"8/11/2009 11:25"	"8/12/2009 8:50"	"8/11/2009 17:25"	"8/12/2009 14:50"	"11-Aug-09"	"14-Aug-09"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	43.46	0	0	43.46	290	340	NA	8792	NA	394	NA	94	"8/11/2009 11:25"	"8/12/2009 8:50"	NA	NA	NA	NA	NA	2009-08-11 17:25:00	2009-08-11	2009-08-11 16:25:00	2009-08-12 13:50:00	1878672.714	28.76372	21.4166666666667	2009-08-11 16:00:00	2009-08-12 13:00:00	0	2311.98886271122	0	0	2311.98886271122	15427.4452412851	18087.3495932309	NA	467717.581246134	20960.0462933322	5000.62018165795
"MW 011"	"33460 - 33461"	8305	"70th St."	"MW"	FALSE	"MW 011"	"9/14/2009 10:03"	"9/15/2009 8:29"	"9/14/2009 16:03"	"9/15/2009 14:29"	"14-Sep-09"	"17-Sep-09"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	120	200	NA	29837	NA	6331	NA	4759	"9/14/2009 10:03"	"9/15/2009 8:29"	NA	NA	NA	NA	NA	2009-09-14 16:03:00	2009-09-14	2009-09-14 15:03:00	2009-09-15 13:29:00	611513.9511	9.102437	22.4333333333333	2009-09-14 04:00:00	2009-09-14 06:00:00	1.88143337	0	0	0	0	2077.93760905998	3463.2293484333	NA	516661.870346022	109628.525024656	82407.5423459703
"MW 012"	"33472 - 33473"	8454	"70th St."	"MW"	FALSE	"MW 012"	"9/22/2009 12:35"	"9/23/2009 7:44"	"9/22/2009 18:35"	"9/23/2009 13:44"	"22-Sep-09"	"26-Sep-09"	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	7100	27600	NA	63207	NA	1320	NA	555	"9/22/2009 12:30"	"9/23/2009 13:45"	157.5133	567.38	"MW 012"	FALSE	"Rainfall"	2009-09-22 18:35:00	2009-09-22	2009-09-22 17:30:00	2009-09-23 18:45:00	13609298.445	567.3787	25.25	2009-09-22 02:00:00	2009-09-23 00:00:00	13.171315319	0	0	0	0	2736144.15567185	10636278.6896539	NA	24358234.3165564	508691.589505188	213881.691041954
"MW 013"	"33482 - 33483"	NA	"70th St."	"MW"	FALSE	"MW 013"	"9/27/2009 19:38"	"9/28/2009 10:01"	"9/28/2009 1:38"	"9/28/2009 16:01"	"27-Sep-09"	NA	"Sep"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009 19:25"	"9/28/2009 18:15"	243.9031	1193	"MW 013"	FALSE	"Rainfall"	2009-09-28 01:38:00	2009-09-28	2009-09-28 00:25:00	2009-09-28 23:15:00	21073505.227125	1192.972	22.8333333333333	2009-09-27 20:00:00	2009-09-28 23:00:00	21.55149294706	0	0	0	0	NA	NA	NA	NA	NA	NA
