FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml
6511	USGSHW001	HW	10-Apr-09	Baseflow	46	38	2791		172369	0	10184	3263			
6509	USGSLD001	LD	10-Apr-09	Baseflow	8	5	505		93333	0	23440	1380			
6507	USGSMC001	MC	10-Apr-09	Baseflow	8	12	2351		77987	0	39794	7597			
6508	USGSMF001	MF	10-Apr-09	Baseflow	32	12	678		67940	0	23622	2155			
6510	USGSMW001	MW	10-Apr-09	Baseflow	26	15	3046		95933	0	29704	2793			
6516	USGSHW002	HW	24-Apr-09	Rain	630	410	4170		186429	0	30116	4496			
6517	USGSLD002	LD	24-Apr-09	Rain	100	460	3309		459236	0	24115	2224			
6518	USGSMC002	MC	24-Apr-09	Rain	240	280	6676		204030	0	27657	6042			
6519	USGSMF002	MF	24-Apr-09	Rain	40	120	1449		105839	0	4281	1300			
6520	USGSMW002	MW	24-Apr-09	Rain	160	260	2803		106407	0	7020	1753			
6675	USGSMC003	MC	01-May-09	CSO	850	250	4941		195770	0	55172	20228			
6676	USGSMW003	MW	01-May-09	CSO	170	210	BLD	383	64105		12010	BLD	10029		
6746	USGSHW003	HW	16-May-09	Rain	4040	3150	7748	4620	258287		136511	BLD	7455		
6748	USGSMC004	MC	16-May-09	Rain	2350	1720	12072		619919	0	53420	7563			
6747	USGSMW004	MW	16-May-09	Rain	2570	2080	8587		684757	0	78077	6461			
6919	USGSHW005	HW	12-Jun-09	Rain	7200	3200	BLD	1620	2210649		639176	n/a	0		
6922	USGSLD004	LD	12-Jun-09	Rain	8600	6500	6437		1241073	0	69289	6279			
6920	USGSMC006	MC	12-Jun-09	Rain	2100	1100	4979		996784	0	88508	7906			
6921	USGSMW005	MW	12-Jun-09	Rain	6900	4500	5489		2008677	0	123788	12219			
7004	USGSHW006	HW	15-Jun-09	Baseflow	870	660	1038	611	235521	0	9995	BLD	244		
7003	USGSLD005	LD	15-Jun-09	Baseflow	490	280	1606	1808	157201	0	9364	BLD	469		
7006	USGSMC007	MC	15-Jun-09	Baseflow	70	58	BLD	221	191359		2379	BLD	683		
7005	USGSMF003	MF	15-Jun-09	Baseflow	290	170	BLD	143	179241		4503	BLD	259		
7007	USGSMW006	MW	15-Jun-09	Baseflow	160	56	BLD	161	105458		6418	BLD	315		
7413	USGSMF005	MF	24-Jul-09	Rain	4900	5300	4457		316984	0	61651	3356			
7772	USGSHW009	HW	14-Aug-09	Baseflow	740	1070	BLD	68	62578		30118	BLD	263		
7768	USGSLD007	LD	14-Aug-09	Baseflow	630	540	BLD	94	134214		7526	BLD	61		
7769	USGSMC009	MC	14-Aug-09	Baseflow	110	1200	BLD	BLD	23379		5200	BLD	364		
7771	USGSMF006	MF	14-Aug-09	Baseflow	310	260	BLD	BLD	21024		3965	BLD	68		
7770	USGSMW009	MW	14-Aug-09	Baseflow	290	340	BLD	94	19260		8792	BLD	394		
8304	USGSHW011	HW	17-Sep-09	Baseflow	440	320	BLD	360	243017		23683	1617	1819		
8302	USGSLD009	LD	17-Sep-09	Baseflow	370	390	BLD	173	410537		8847	1404	1309		
8303	USGSMC011	MC	17-Sep-09	Baseflow	0	50	BLD	435	21234		BLD	BLD	551		
8306	USGSMF008	MF	17-Sep-09	Baseflow	140	120	BLD	BLD	23737		2039	BLD	94		
8305	USGSMW011	MW	17-Sep-09	Baseflow	120	200	4759		248811	0	29837	6331			
8458	USGSHW013	HW	26-Sep-09	Rain	22000	16000	3539		1397199	0	121857	8553			
8452	USGSLD010	LD	26-Sep-09	Rain	17600	7900	BLD	353	743785		45601	BLD	263		
8455	USGSMC012	MC	26-Sep-09	Rain	1700	5700	BLD	195	25158		9395	BLD	660		
8453	USGSMF009	MF	26-Sep-09	Rain	10700	10300	3588		459990	0	39923	5151			
8459	USGSMF010	MF	26-Sep-09	Rain	5500	4400	9544		233194	0	56916	4874			
8454	USGSMW012	MW	26-Sep-09	Rain	7100	27600	BLD	555	264045		63207	2962	1320		
8657	USGSHW015	HW	25-Oct-09	Rain	3700	3400	5788		611698	0	125457	4293			
8655	USGSLD013/014	LD	25-Oct-09	Rain	880	630	6525	3353	607461	0	78928	4462	5198		
8654	USGSMC015/016	MC	25-Oct-09	Rain	2900	2900	11858		572489	0	42931	8787			
8656	USGSMF012	MF	25-Oct-09	Rain	510	410	BLD	383	165400		14429	BLD	1875		
8653	USGSMW015	MW	25-Oct-09	Rain	480	780	3067		1048144	0	34772	3473			
8666	USGSHW016	HW	21-Nov-09	Rain	25600	10600	6848		1726738	0	687646	6128			
8670	USGSLD015	LD	21-Nov-09	Rain	60	50	1420	638	57795	0	2440	636	968		
8668	USGSMC017	MC	21-Nov-09	Rain	80	90	3041		170117	0	13336	2004			
8669	USGSMF013	MF	21-Nov-09	Rain	450	2200	1603	773	136532	0	16677	BLD	1020		
8667	USGSMW016	MW	21-Nov-09	Rain	3800	4100	25775		509537	0	120702	21834			
8695	USGSHW018	HW	23-Jan-10	Baseflow	147	49	11368		274039	0	36537	5848			
8699	USGSLD017	LD	23-Jan-10	Baseflow	14	33	6015	3169	85807	0	3246	1623	3851		
8697	USGSMC019	MC	23-Jan-10	Baseflow	68	34	7298		326009	0	74145	6389			
8696	USGSMF015	MF	23-Jan-10	Baseflow	17	15	1110		76372	0	5111	1089			
8698	USGSMW018	MW	23-Jan-10	Baseflow	30	26	8731	3233	161881	0	9692	4288	5978		
8704	USGSHW019	HW	28-Jan-10	Rain	1600	820	BLD	578	176010		137340	5556	9975		
8702	USGSLD018	LD	28-Jan-10	Rain	210	460	4236		1006809	0	214532	6037			
8706	USGSMC020	MC	28-Jan-10	Rain	470	320	10924		668146	0	89286	15580			
8705	USGSMF016	MF	28-Jan-10	Rain	340	230	2441		477166	0	47057	3419			
8703	USGSMW019	MW	28-Jan-10	Rain	580	360	6535		498879	0	84297	11265			
8720	USGSHW020	HW	04-Mar-10	Baseflow	200	310	8636		326590	0	51731	9066			
8717	USGSLD019	LD	04-Mar-10	Baseflow	8	31	1843		93381	0	7983	971			
8719	USGSMC021	MC	04-Mar-10	Baseflow	2	4	1205		76789	0	4728	3461			
8721	USGSMF017	MF	04-Mar-10	Baseflow	6	20	BLD	236	163866		8617	541	941		
8718	USGSMW020	MW	04-Mar-10	Baseflow	116	135	10617		235591	0	12108	6631			
8722	USGSUW001	UW	04-Mar-10	Baseflow	710	910	7282		574914	0	36287	4914			
8750	USGSHW021	HW	17-Mar-10	Rain	790	34	BLD	240	119751		41753	BLD	3225		
8748	USGSLD020	LD	17-Mar-10	Rain	170	3	BLD	BLD	240564		16889	BLD	1133		
8751	USGSMC022	MC	17-Mar-10	Rain	130	11	BLD	518	69048		9258	2496	3773		
8747	USGSMF018	MF	17-Mar-10	Rain	0	0	BLD	BLD	19527		1407	BLD	195		
8749	USGSMW021	MW	17-Mar-10	Rain	110	20	BLD	360	66250		10621	2613	3060		
8746	USGSUW002	UW	17-Mar-10	Rain	190	10	BLD	165	58296		36571	1652	2003		
8802	USGSHW023	HW	10-Apr-10	Rain	3400	1730	BLD	1005	1527018		48806	3605	4890		
8798	USGSLD022	LD	10-Apr-10	Rain	2670	1070	11294		655920	0	48771	7334			
8801	USGSMC024	MC	10-Apr-10	Rain	2250	870	9942		760352	0	35657	7826			
8800	USGSMF020	MF	10-Apr-10	Rain	480	440	BLD	225	155947		10086	BLD	900		
8799	USGSMW023	MW	10-Apr-10	Rain	830	420	BLD	435	99791		17224	3138	2153		
8803	USGSUW004	UW	10-Apr-10	Rain	1050	600	5071		407826	0	23130	6318			
8853	USGSLD023	LD	28-Apr-10	Rain	3300	2700	5011		2001618	0	151056	3993			
8854	USGSMC025	MC	28-Apr-10	Rain	890	550	7469		714043	0	67878	8522			
8856	USGSMF021	MF	28-Apr-10	Rain	410	620	BLD	705	237132		25764	BLD	1298		
8855	USGSMW024	MW	28-Apr-10	Rain	630	480	2161	1643	233064	0	24339	BLD	2760		
8857	USGSUW005	UW	28-Apr-10	Rain	640	470	2197	1703	443417	0	44001	BLD	1463		
8889	USGSMC026	MC	10-May-10	Rain	490	630	10477		1024041	0	150696	17636			
8946	USGSHW024	HW	14-May-10	Rain	2500	1800	5764		1315096	0	131051	4792			
8951	USGSHW025	HW	14-May-10	Rain	2700	2700	9152		238795	0	87765	10517			
8947	USGSLD024	LD	14-May-10	Rain	1400	1800	24442		1198840	0	71619	14841			
8949	USGSMC027	MC	14-May-10	Rain	1900	1500	21948		765336	0	39196	14400			
8953	USGSMC028	MC	14-May-10	Rain	2500	1700	3702		218698	0	9469	2107			
8948	USGSMW025	MW	14-May-10	Rain	640	580	12858		613196	0	40386	17744			
8952	USGSMW026	MW	14-May-10	Rain	2400	1400	9514		449492	0	43775	5635			
8950	USGSUW006	UW	14-May-10	Rain	960	620	7528		793226	0	128744	4045			
8974	USGSHW026	HW	21-May-10	Baseflow	70	170	1482		BLD		9388	825			
8969	USGSLD025	LD	21-May-10	Baseflow	60	100	3508		143602	0	3846	1786			
8973	USGSMC029	MC	21-May-10	Baseflow	30	130	BLD	443	89472		5261	1461	2198		
8971	USGSMF022	MF	21-May-10	Baseflow	60	40	BLD	240	55874		3355	BLD	360		
8970	USGSMW027	MW	21-May-10	Baseflow	60	30	810	465	90064	0	3043	BLD	1013		
8972	USGSUW007	UW	21-May-10	Baseflow	350	180	2917		217638	0	9617	1521			
9029	USGSHW027	HW	04-Jun-10	Rain	23000	6500	1310		1686507	0	426242	2534			
9031	USGSMC030	MC	04-Jun-10	Rain	31000	5000	9952		2538873	0	245535	8981			
9030	USGSMW028	MW	04-Jun-10	Rain	33000	7200	4114		2200513	0	461813	4693			
9313	USGSHW028	HW	18-Jun-10	CSO	TNTC	24500	6461		221617	0	335050	3737			
9312	USGSMF023	MF	18-Jun-10	CSO	14400	4500	2824		49360	0	93358	2749			
9314	USGSMW033	MW	18-Jun-10	CSO	20800	18800	48560	26798	178588	0	387985	15982	19448		
9453	USGSHW030	HW	16-Jul-10	Baseflow	690	400	BLD	90	5644		5662	525	368		
9496	USGSHW031	HW	16-Jul-10	CSO	27000	9800	7883	2378	22725	0	145109	BLD	8385		
9454	USGSLD027	LD	16-Jul-10	Baseflow	860	840	BLD	263	3632		6810	BLD	83		
9495	USGSLD028	LD	16-Jul-10	CSO	27000	9800	3238		34518	0	209533	13461			
9452	USGSMC036	MC	16-Jul-10	Baseflow	230	380	BLD	278	6141		2573	BLD	488		
