FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml	Notes
6507	USGSMC001	MC	10-Apr-09	Baseflow	8.00 	12.00 	2350.65 		77987.30 	0.03 	39794.46 	7596.63 				Starting 7/16/10 USGS brought samples same day instead of shipping so shorter holding times
6508	USGSMF001	MF	10-Apr-09	Baseflow	32.00 	12.00 	678.37 		67940.37 	0.01 	23621.88 	2155.46 				
6509	USGSLD001	LD	10-Apr-09	Baseflow	8.00 	5.00 	504.64 		93332.92 	0.01 	23439.99 	1380.26 				
6510	USGSMW001	MW	10-Apr-09	Baseflow	26.00 	15.00 	3045.66 		95932.90 	0.03 	29703.73 	2793.03 				
6511	USGSHW001	HW	10-Apr-09	Baseflow	46.00 	38.00 	2791.38 		172368.73 	0.02 	10183.96 	3262.77 				
6516	USGSHW002	HW	24-Apr-09	Rain	630.00 	410.00 	4170.11 		186429.49 	0.02 	30115.80 	4495.91 				
6517	USGSLD002	LD	24-Apr-09	Rain	100.00 	460.00 	3309.22 		459236.16 	0.01 	24115.07 	2224.12 				
6518	USGSMC002	MC	24-Apr-09	Rain	240.00 	280.00 	6675.64 		204030.35 	0.03 	27656.73 	6041.50 				
6519	USGSMF002	MF	24-Apr-09	Rain	40.00 	120.00 	1448.69 		105839.40 	0.01 	4280.63 	1300.22 				
6520	USGSMW002	MW	24-Apr-09	Rain	160.00 	260.00 	2802.98 		106406.97 	0.03 	7019.54 	1752.54 				
6675	USGSMC003	MC	01-May-09	CSO	850.00 	250.00 	4940.78 		195769.65 	0.03 	55172.06 	20227.90 				
6676	USGSMW003	MW	01-May-09	CSO	170.00 	210.00 	BLD	383.00 	64105.30 		12009.94 	BLD	10029.00 			
6746	USGSHW003	HW	16-May-09	Rain	4040.00 	3150.00 	7747.88 	4620.00 	258286.59 		136511.44 	BLD	7455.00 			
6747	USGSMW004	MW	16-May-09	Rain	2570.00 	2080.00 	8586.63 		684756.82 	0.01 	78076.93 	6461.33 				
6748	USGSMC004	MC	16-May-09	Rain	2350.00 	1720.00 	12071.95 		619919.34 	0.02 	53419.87 	7562.56 				
6919	USGSHW005	HW	12-Jun-09	Rain	7200.00 	3200.00 	BLD	1620.00 	2210648.81 		639176.43 	n/a	0.00 			
6920	USGSMC006	MC	12-Jun-09	Rain	2100.00 	1100.00 	4979.39 		996784.33 	0.00 	88507.77 	7905.88 				
6921	USGSMW005	MW	12-Jun-09	Rain	6900.00 	4500.00 	5488.94 		2008677.38 	0.00 	123788.36 	12219.49 				
6922	USGSLD004	LD	12-Jun-09	Rain	8600.00 	6500.00 	6437.13 		1241073.25 	0.01 	69288.74 	6279.04 				
7003	USGSLD005	LD	15-Jun-09	Baseflow	490.00 	280.00 	1606.17 	1808.00 	157201.08 	0.01 	9364.48 	BLD	469.00 			
7004	USGSHW006	HW	15-Jun-09	Baseflow	870.00 	660.00 	1037.61 	611.00 	235520.82 	0.00 	9994.86 	BLD	244.00 			
7005	USGSMF003	MF	15-Jun-09	Baseflow	290.00 	170.00 	BLD	143.00 	179241.41 		4502.79 	BLD	259.00 			
7006	USGSMC007	MC	15-Jun-09	Baseflow	70.00 	58.00 	BLD	221.00 	191358.64 		2378.84 	BLD	683.00 			
7007	USGSMW006	MW	15-Jun-09	Baseflow	160.00 	56.00 	BLD	161.00 	105458.48 		6417.95 	BLD	315.00 			
7413	USGSMF005	MF	24-Jul-09	Rain	4900.00 	5300.00 	4456.67 		316983.67 	0.01 	61651.43 	3355.86 				
7768	USGSLD007	LD	14-Aug-09	Baseflow	630.00 	540.00 	BLD	94.00 	134214.43 		7525.73 	BLD	61.00 			
7769	USGSMC009	MC	14-Aug-09	Baseflow	110.00 	1200.00 	BLD	BLD	23379.28 		5200.37 	BLD	364.00 			
