FT#	Sample Date	Site Code	BacHuman (CN/100ml)	BacSp (CN/100ml)	Ratio Human/Sp	Entero (CN/100ml)	Lachno 2 (CN/100ml)	Notes
6749	18-May-09	JIW001	15503273	257175141	0.0603	55458486	10895631	
6750	18-May-09	SSW001	29165165	756755531	0.0385	14238706	30844195	
6815	8-Jun-09	JIW002	10548535	455624438	0.0232	112881563	26005708	
6816	8-Jun-09	SSW002	22075823	1013715000	0.0218	31792403	59735871	
7308	13-Jul-09	JIW003	23149277	502287281	0.0461	64764428	33369645	
7309	13-Jul-09	SSW003	46956778	1375416094	0.0341	36093486	57477129	
7630	10-Aug-09	JIW004	20548090	463976719	0.0443	33438062	22427628	
7631	10-Aug-09	SSW004	15105131	734082797	0.0206	34460654	36897568	
8262	14-Sep-09	JIW005	13220895	528871594	0.0250	52318705	31509237	
8263	14-Sep-09	SSW005	24613735	1079268188	0.0228	33165501	52314006	
8522	12-Oct-09	JIW006	16361238	288032578	0.0568	42471469	17764409	
8523	12-Oct-09	SSW006	24073080	1110642188	0.0217	28606424	45335587	
8662	9-Nov-09	JIW007	17068496	324398625	0.0526	40982610	20976659	
8663	9-Nov-09	SSW007	23527409	1183418250	0.0199	41564918	45304430	
8683	14-Dec-09	JIW008	15323613	248772609	0.0616	90424541	24295683	
8684	14-Dec-09	SSW008	27901171	552990516	0.0505	113781188	49711289	
8691	11-Jan-10	JIW009	16142874	258827508	0.0624	107899852	22106514	
8692	11-Jan-10	SSW009	33293098	914595750	0.0364	54149215	46912236	
8709	9-Feb-10	JIW010	11569222	189747410	0.0610	127077352	15583257	
8710	9-Feb-10	SSW010	24878666	336732047	0.0739	55319648	30131660	
8723	8-Mar-10	JIW011	19637766	239607000	0.0820	239162063	35903654	
8724	8-Mar-10	SSW011	31048342	338288766	0.0918	111329355	46412355	
8805	12-Apr-10	JIW012	21166935	332721375	0.0636	280510875	35404664	
8806	12-Apr-10	SSW012	14707434	351226875	0.0419	116463070	36855437	
8887	10-May-10	JIW013	15050278	243722836	0.0618	161274727	31977507	
8888	10-May-10	SSW013	15558005	320412258	0.0486	133114500	52092305	
8975	24-May-10	JIW014	13154666	184462207	0.0713	151880367	26431304	
8976	24-May-10	SSW014	10666491	250629328	0.0426	56371980	16638387	
9187	28-Jun-10	JIW016	19455018	271475203	0.0717	140576930	35727492	
9188	28-Jun-10	SSW016	16745849	364816875	0.0459	115293832	51270246	
9262	14-Jun-10	JIW015	13399920	298647633	0.0449	66166324	18217784	
9263	14-Jun-10	SSW015	9529010	279074953	0.0341	48948445	16823883	
9501	19-Jul-10	JIW017	17692753	360644672	0.0491	85173779	17424289	
9502	19-Jul-10	SSW017	11610503	425259797	0.0273	50248125	30263941	
9591	26-Jul-10	JIW 018	13051395	323948297	0.0403	52761674	10095775	
9592	26-Jul-10	SSW 018	9388710	374972156	0.0250	27866660	19943367	
9830	9-Aug-10	JIW 019	13051967	229898555	0.0568	70504359	17592318	
9831	9-Aug-10	SSW 019	13727768	446945438	0.0307	26105021	33778863	
9890	23-Aug-10	JIW020	4263150	135938695	0.0314	13612813	2923982	
9891	23-Aug-10	SSW020	14696369	530000813	0.0277	55205027	43213541	
10027	13-Sep-10	JIW021	29312086	366852703	0.0799	89391434	32500090	
10028	13-Sep-10	SSW021	7093935	226320656	0.0313	32858314	15990085	
10096	11-Oct-10	JIW023	18298011	432643969	0.0423	53870719	14238375	
10097	11-Oct-10	SSW023	12240474	703940531	0.0174	19916312	55336986	
10218	28-Oct-10	JIW024	18026329	416460469	0.0433	94104445	16332729	
10219	28-Oct-10	SSW024	8791215	248948531	0.0353	33148655	10708286	
10274	8-Nov-10	JIW025	10909638	384252398	0.0284	52195523	17829325	
10275	8-Nov-10	SSW025	14226162	623683594	0.0228	30361857	15625920	
10334	22-Nov-10	JIW026	20208589	329731547	0.0613	189620672	53955996	
10335	22-Nov-10	SSW026	5367328	170320711	0.0315	91220836	45380080	
10356	13-Dec-10	JIW027	21649834	495137531	0.0437	89665113	24651483	
10357	13-Dec-10	SSW027	25719738	370948547	0.0693	57764590	11604946	
10362	20-Dec-10	JIW028	30213996	403041563	0.0750	162568453	40890352	
10363	20-Dec-10	SSW028	27696363	464539125	0.0596	78397828	34738617	
10457	11-Jan-11	JIW029	16541449	250098516	0.0661	228887297	30635941	
10458	11-Jan-11	SSW 029	20186411	159348164	0.1267	127572164	40889338	
10464	25-Jan-11	JIW 030	15198598	122923629	0.1236	188840039	23325905	
10465	25-Jan-11	SSW 030	18483699	171084867	0.1080	74413734	17585127	
10466	14-Feb-11	JIW 031	18636659	248983594	0.0749	169780770	36206063	
10467	14-Feb-11	SSW 031	21626002	242996297	0.0890	131852660	35919267	
10473	28-Feb-11	JIW 032	24754280	285119813	0.0868	438760359	25418438	
10474	28-Feb-11	SSW 032	40434188	410823375	0.0984	185914840	68488734	
10485	14-Mar-11	JIW033	14178220	212677664	0.0667	395657859	32687596	
10486	14-Mar-11	SSW033	22932047	285568078	0.0803	105923719	34060110	
10595	28-Mar-11	JIW034	18935783	314304445	0.0602	168883359	26808580	
10596	28-Mar-11	SSW034	22136919	301896797	0.0733	74007334	39503499	
10602	11-Apr-11	JIW035	23796173	265077141	0.0898	234579422	20787123	
10603	11-Apr-11	SSW035	31227510	359012438	0.0870	85874824	25598760	
