FT	Sample Date	Site Code	BacHuman (CN/100ml)	BacSp (CN/100ml)	Ratio Human/Sp	Entero (CN/100ml)	Lachno 2 (CN/100ml)	Notes
6749	18-May-09	JIW001	15503273.44	257175140.63	6.03%	55458486.33	10895630.86	
6750	18-May-09	SSW001	29165165.48	756755531.25	3.85%	14238706.05	30844195.31	
6815	08-Jun-09	JIW002	10548535.25	455624437.50	2.32%	112881562.50	26005708.01	
6816	08-Jun-09	SSW002	22075822.79	1013715000.00	2.18%	31792403.32	59735871.09	
7308	13-Jul-09	JIW003	23149277.34	502287281.25	4.61%	64764427.73	33369644.53	
7309	13-Jul-09	SSW003	46956778.50	1375416093.75	3.41%	36093486.33	57477128.91	
7630	10-Aug-09	JIW004	20548089.84	463976718.75	4.43%	33438061.52	22427627.93	
7631	10-Aug-09	SSW004	15105131.03	734082796.88	2.06%	34460654.30	36897568.36	
8262	14-Sep-09	JIW005	13220894.53	528871593.75	2.50%	52318705.08	31509237.30	
8263	14-Sep-09	SSW005	24613734.56	1079268187.50	2.28%	33165500.98	52314005.86	
8522	12-Oct-09	JIW006	16361238.28	288032578.13	5.68%	42471468.75	17764409.18	
8523	12-Oct-09	SSW006	24073080.07	1110642187.50	2.17%	28606423.83	45335586.91	
8662	09-Nov-09	JIW007	17068495.61	324398625.00	5.26%	40982610.35	20976659.18	
8663	09-Nov-09	SSW007	23527408.79	1183418250.00	1.99%	41564917.97	45304429.69	
8683	14-Dec-09	JIW008	15323613.28	248772609.38	6.16%	90424541.02	24295683.11	
8684	14-Dec-09	SSW008	27901170.73	552990515.63	5.05%	113781187.50	49711289.06	
8691	11-Jan-10	JIW009	16142874.02	258827507.81	6.24%	107899851.56	22106513.67	
8692	11-Jan-10	SSW009	33293098.35	914595750.00	3.64%	54149214.84	46912236.33	
8709	09-Feb-10	JIW010	11569221.68	189747410.16	6.10%	127077351.56	15583256.84	
8710	09-Feb-10	SSW010	24878666.02	336732046.88	7.39%	55319648.44	30131660.16	
8723	08-Mar-10	JIW011	19637765.63	239607000.00	8.20%	239162062.50	35903654.30	
8724	08-Mar-10	SSW011	31048341.80	338288765.63	9.18%	111329355.47	46412355.47	
8805	12-Apr-10	JIW012	21166935.06	332721375.00	6.36%	280510875.00	35404664.06	
8806	12-Apr-10	SSW012	14707434.33	351226875.00	4.19%	116463070.31	36855436.52	
8887	10-May-10	JIW013	15050277.83	243722835.94	6.18%	161274726.56	31977506.84	
8888	10-May-10	SSW013	15558005.40	320412257.81	4.86%	133114500.00	52092304.69	
8975	24-May-10	JIW014	13154666.02	184462207.03	7.13%	151880367.19	26431303.71	
8976	24-May-10	SSW014	10666490.95	250629328.13	4.26%	56371980.47	16638386.72	
9187	28-Jun-10	JIW016	19455017.58	271475203.13	7.17%	140576929.69	35727492.19	
9188	28-Jun-10	SSW016	16745848.74	364816875.00	4.59%	115293832.03	51270246.09	
9262	14-Jun-10	JIW015	13399920.41	298647632.81	4.49%	66166324.22	18217784.18	
9263	14-Jun-10	SSW015	9529010.42	279074953.13	3.41%	48948445.31	16823882.81	
9501	19-Jul-10	JIW017	17692753.42	360644671.88	4.91%	85173779.30	17424288.57	
9502	19-Jul-10	SSW017	11610502.69	425259796.88	2.73%	50248125.00	30263941.41	
9591	26-Jul-10	JIW 018	13051394.53	323948296.88	4.03%	52761673.83	10095774.90	
