"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"
"MW 001"	"Milw Corridor Study USGS"	"33297 - 33298"	"70th St."	FALSE	"MW 001"	"4/6/2009 10:23"	"4/7/2009 1:22"	"6-Apr-09"	"Baseflow"	"Baseflow"	16.8	132.68	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	149.48	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	0	"MW"	"4/6/2009"	"4/7/2009 1:22"	6510	"USGSMW001"	"MW"	"10-Apr-09"	"Baseflow"	"26"	15	"3046"	""	"95933"	0	"29704"	"2793"	""	NA	NA	"2793"	2793	"3046"	3046	"MW"	"70th St."	"10-Apr-09"	"MW 001"	"MW 001"	""	"4/6/2009 10:23"	"4/7/2009 1:22"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 16:23:00	2009-04-07 07:22:00	17.0033333333333	20.6	13.4	16.95	2.76197039211636	111.680218333333	123.8719	102.4535	111.3174	5.52245429372379	1445.94444444444	1470	1420	1440	15.8095234088789	1.17277777777778	2.4	0.9	1.1	0.206007689707200	6.285	7.4	4.9	6.3	0.805183972176719
"MW 002"	"Milw Corridor Study USGS"	"33314 - 33315"	"70th St."	FALSE	"MW 002"	"4/19/2009 18:45"	"4/22/2009 7:27"	"19-Apr-09"	"Event"	"Rainfall "	32.52	148.5	0	24.26	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/19/2009"	3	"0009-04-19"	205.28	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MW"	"4/19/2009"	"4/22/2009 7:27"	6520	"USGSMW002"	"MW"	"24-Apr-09"	"Rain"	"160"	260	"2803"	""	"106407"	0	"7020"	"1753"	""	NA	NA	"1753"	1753	"2803"	2803	"MW"	"70th St."	"24-Apr-09"	"MW 002"	"MW 002"	""	"4/19/2009 18:45"	"4/22/2009 7:27"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-20 00:45:00	2009-04-22 13:27:00	11.2362139917695	13	10.2	11.1	0.736400466086431	403.101346853147	597.4216	215.8605	381.4772	106.950270955975	1166.45130315501	1330	821	1240	155.756239716182	12.7665294924554	52	2.7	8	9.72673070842396	8.21508916323731	11	6.3	8.1	1.02679353885511
"MW 003"	"Milw Corridor Study USGS"	"33329 - 33330"	"70th St."	FALSE	"MW 003"	"4/26/2009 18:16"	"4/29/2009 6:16"	"26-Apr-09"	"Event"	"Rainfall "	0	5.44	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/26/2009"	3	"0009-04-26"	5.44	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"MW"	"4/26/2009"	"4/29/2009 6:16"	6676	"USGSMW003"	"MW"	"1-May-09"	"CSO"	"170"	210	"BLD"	"383"	"64105"	NA	"12010"	"BLD"	"10029"	NA	NA	"10029"	10029	"383"	383	"MW"	"70th St."	"1-May-09"	"MW 003"	"MW 003"	""	"4/26/2009 18:16"	"4/29/2009 6:16"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2009-04-27 00:16:00	2009-04-29 12:16:00	9.58744710860367	10.3	8.9	9.6	0.375142683338474	1373.2162204142	3580.74	620.5583	1100.304	732.351514792853	685.659722222222	793	475	720	87.4642754963463	37.0652777777778	140	15	27	25.3032767904557	12.1536111111111	13.7	10.2	12.3	1.15444994465006
"MW 004"	"Milw Corridor Study USGS"	"33348 - 33349"	"70th St."	FALSE	"MW 004"	"5/13/2009 20:13"	"5/15/2009 7:12"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5/13/2009"	4	"0009-05-13"	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"MW"	"5/13/2009"	"5/15/2009 7:12"	6747	"USGSMW004"	"MW"	"16-May-09"	"Rain"	"2570"	2080	"8587"	""	"684757"	0	"78077"	"6461"	""	NA	NA	"6461"	6461	"8587"	8587	"MW"	"70th St."	"16-May-09"	"MW 004"	"MW 004"	""	"5/13/2009 20:13"	"5/15/2009 7:12"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-05-14 02:13:00	2009-05-15 13:12:00	9.07880952380952	9.8	8.6	9.1	0.218157859038801	779.071065238095	1845.77	408.5313	737.65185	353.546585957943	649.578571428571	819	394	637.5	115.469575771031	54.5357142857143	170	20	42	30.9727905950552	15.5566666666667	16.6	14.4	15.6	0.665930779214216
"MW 005"	"Milw Corridor Study USGS"	"33386 - 33387"	"70th St."	FALSE	"MW 005"	"6/8/2009 2:58"	"6/9/2009 14:37"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/8/2009"	5	"0009-06-08"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"MW"	"6/8/2009"	"6/9/2009 14:37"	6921	"USGSMW005"	"MW"	"12-Jun-09"	"Rain"	"6900"	4500	"5489"	""	"2008677"	0	"123788"	"12219"	""	NA	NA	"12219"	12219	"5489"	5489	"MW"	"70th St."	"12-Jun-09"	"MW 005"	"MW 005"	""	"6/8/2009 2:58"	"6/9/2009 14:37"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-06-08 08:58:00	2009-06-09 20:37:00	8.85223529411765	9.7	8.5	8.7	0.364912681693609	556.410693211488	1937.584	209.0048	479.3399	376.375779218942	618.964705882353	944	264	609	158.995034265850	21.4545454545455	27	17	21	2.94486821501876	14.2752941176471	17	12.5	14.4	1.01171275968138
"MW 006"	"Milw Corridor Study USGS"	"33399 - 33400"	"70th St."	FALSE	"MW 006"	"6/15/2009 20:59"	"6/16/2009 13:38"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	5.74	0	0.94	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	6.68	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	1	1	"MW"	"6/15/2009"	"6/16/2009 13:38"	7007	"USGSMW006"	"MW"	"15-Jun-09"	"Baseflow"	"160"	56	"BLD"	"161"	"105458"	NA	"6418"	"BLD"	"315"	NA	NA	"315"	315	"161"	161	"MW"	"70th St."	"15-Jun-09"	"MW 006"	"MW 006"	""	"6/15/2009 20:59"	"6/16/2009 13:38"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-16 02:59:00	2009-06-16 19:38:00	8.2835	9.1	7.6	8.1	0.561653830331129	39.4398319402985	41.28012	37.86302	39.5467	0.960773077878684	1301.3	1320	1280	1310	16.2984106880019	10.1815	12	8.9	10	0.700256772718903	19.0425	20.7	18	18.9	0.861075493220615
"MW 009"	"Milw Corridor Study USGS"	"33445 - 33446"	"70th St."	FALSE	"MW 009"	"8/11/2009 11:25"	"8/12/2009 8:50"	"11-Aug-09"	"Baseflow"	"Baseflow"	43.46	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	43.46	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"MW"	"8/11/2009"	"8/12/2009 8:50"	7770	"USGSMW009"	"MW"	"14-Aug-09"	"Baseflow"	"290"	340	"BLD"	"94"	"19260"	NA	"8792"	"BLD"	"394"	NA	NA	"394"	394	"94"	94	"MW"	"70th St."	"14-Aug-09"	"MW 009"	"MW 009"	""	"8/11/2009 11:25"	"8/12/2009 8:50"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 17:25:00	2009-08-12 14:50:00	7.69705882352941	9.6	6.9	7.2	0.895247511155342	24.0340113953488	28.76372	20.86992	24.20637	2.11271357923360	1062.86134453782	1110	974	1080	34.3493116133522	9.2	12	5.8	9.2	1.12812154834845	22.6861344537815	24.4	21.4	22.4	0.990682847864368
"MW 011"	"Milw Corridor Study USGS"	"33460 - 33461"	"70th St."	FALSE	"MW 011"	"9/14/2009 10:03"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/14/2009"	8	"0009-09-14"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/14/2009"	"9/15/2009 8:29"	8305	"USGSMW011"	"MW"	"17-Sep-09"	"Baseflow"	"120"	200	"4759"	""	"248811"	0	"29837"	"6331"	""	NA	NA	"6331"	6331	"4759"	4759	"MW"	"70th St."	"17-Sep-09"	"MW 011"	"MW 011"	""	"9/14/2009 10:03"	"9/15/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-14 16:03:00	2009-09-15 14:29:00	8.89888475836431	13.2	6.7	7.6	2.45445807119147	7.53731331460674	9.102437	6.840752	7.252087	0.559526826501858	1493.34572490706	1510	1470	1500	14.6334374288389	3.26245353159851	5.8	2.6	3.2	0.491459829173087	20.4271375464684	21.9	18.9	20.5	0.953101566823818
"MW 012"	"Milw Corridor Study USGS"	"33472 - 33473"	"70th St."	FALSE	"MW 012"	"9/22/2009 12:35"	"9/23/2009 7:44"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/22/2009"	"9/23/2009 7:44"	8454	"USGSMW012"	"MW"	"26-Sep-09"	"Rain"	"7100"	27600	"BLD"	"555"	"264045"	NA	"63207"	"2962"	"1320"	NA	NA	"1320"	1320	"555"	555	"MW"	"70th St."	"26-Sep-09"	"MW 012"	"MW 012"	""	"9/22/2009 12:35"	"9/23/2009 7:44"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 18:35:00	2009-09-23 13:44:00	7.70521739130435	8.2	7.4	7.7	0.180171426501715	229.683355192308	567.3787	90.01986	150.6773	141.240825847717	530.369565217391	991	307	510	99.9564880653595	78.458762886598	440	43	66	49.5573238028757	19.0343478260870	19.7	18	19.05	0.336814334546426
"MW 013"	"Milw Corridor Study USGS"	"33482 - 33483"	"70th St."	FALSE	"MW 013"	"9/27/2009 19:38"	"9/28/2009 10:01"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/27/2009"	"9/28/2009 10:01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MW 013"	"did not receive"	"9/27/2009 19:38"	"9/28/2009 10:01"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-09-28 01:38:00	2009-09-28 16:01:00	8.37777777777778	8.7	8	8.3	0.159328656917181	460.87953271028	1192.972	139.0292	306.8319	336.280965343453	418.836257309942	817	235	425	120.764316291855	76.3136094674556	290	42	60	39.1211776391047	16.2643274853801	18.1	15	16.1	0.947667097358867
