"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"
"HW 001"	"Milw Corridor Study USGS"	"33295 - 33296"	"Honey"	FALSE	"HW 001"	"4/6/2009 10:02"	"4/7/2009 10:31"	"6-Apr-09"	"Baseflow"	"Baseflow"	153.95	62.16	0	32.04	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	248.15	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"HW"	"4/6/2009"	"4/7/2009 10:31"	6511	"USGSHW001"	"HW"	"10-Apr-09"	"Baseflow"	"46"	38	"2791"	""	"172369"	0	"10184"	"3263"	""	NA	NA	"3263"	3263	"2791"	2791	"HW"	"Honey"	"10-Apr-09"	"HW 001"	"HW 001"	""	"4/6/2009 10:02"	"4/7/2009 10:31"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 16:02:00	2009-04-07 16:31:00	14.4238095238095	17.8	12.1	13.45	2.18980988883979	3.40444805102041	4.277254	2.804663	3.380985	0.254619121824152	NA	-Inf	Inf	NA	NA	3.47142857142857	12	1	2.3	2.90920628843486	5.47040816326531	9.2	3	4.95	2.07375321399657
"HW 002"	"Milw Corridor Study USGS"	"33312 - 33313"	"Honey"	FALSE	"HW 002"	"4/19/2009 18:42"	"4/22/2009 5:43"	"19-Apr-09"	"Event"	"Rainfall "	0	147.47	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/19/2009"	3	"0009-04-19"	147.47	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"HW"	"4/19/2009"	"4/22/2009 5:43"	6516	"USGSHW002"	"HW"	"24-Apr-09"	"Rain"	"630"	410	"4170"	""	"186429"	0	"30116"	"4496"	""	NA	NA	"4496"	4496	"4170"	4170	"HW"	"Honey"	"24-Apr-09"	"HW 002"	"HW 002"	""	"4/19/2009 18:42"	"4/22/2009 5:43"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-20 00:42:00	2009-04-22 11:43:00	11.7567185289958	12.6	11.3	11.7	0.350183252284100	44.369722259887	171.6795	10.75604	26.33825	42.0709402103239	1249.58840169731	2030	368	1310	497.456119642833	19.340625	74	4.4	16	11.9266787851744	7.4958981612447	9	5.6	7.6	0.804482928852633
"HW 003"	"Milw Corridor Study USGS"	"33344 - 33345"	"Honey"	FALSE	"HW 003"	"5/13/2009 20:17"	"5/15/2009 7:07"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5/13/2009"	4	"0009-05-13"	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"HW"	"5/13/2009"	"5/15/2009 7:07"	6746	"USGSHW003"	"HW"	"16-May-09"	"Rain"	"4040"	3150	"7748"	"4620"	"258287"	NA	"136511"	"BLD"	"7455"	NA	NA	"7455"	7455	"4620"	4620	"HW"	"Honey"	"16-May-09"	"HW 003"	"HW 003"	""	"5/13/2009 20:17"	"5/15/2009 7:07"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-05-14 02:17:00	2009-05-15 13:07:00	10.7179425837321	11.6	10	10.6	0.437387685129726	146.071181100478	1131.024	13.30943	29.738535	279.441615472226	165.208955223881	252	92	166	37.0718129112708	43.2487323943662	350	4.7	14	61.227376703507	14.6222488038278	17.3	12.5	14.5	1.44199026971343
"HW 005"	"Milw Corridor Study USGS"	"33384 - 33385"	"Honey"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	291.85	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/8/2009"	5	"0009-06-08"	291.85	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	1	"HW"	"6/8/2009"	"6/8/2009 21:34"	6919	"USGSHW005"	"HW"	"12-Jun-09"	"Rain"	"7200"	3200	"BLD"	"1620"	"2210649"	NA	"639176"	"n/a"	"0"	NA	NA	"BLD"	60	"1620"	1620	"HW"	"Honey"	"12-Jun-09"	"HW 005"	"HW 005"	""	"6/8/2009 2:51"	"6/8/2009 21:34"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-06-08 08:51:00	2009-06-09 03:34:00	11.1674107142857	12	10.3	11.2	0.505982586303656	117.817418839286	888.609	11.36479	24.84973	201.882888589684	136.3	156	124	133.5	10.0005555401243	16.2065573770492	32	9.7	15	5.11093171063943	14.03125	15.6	12.6	14.05	1.01584145244336
"HW 006"	"Milw Corridor Study USGS"	"33397 - 33398"	"Honey"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"HW"	"6/15/2009"	"6/16/2009 11:42"	7004	"USGSHW006"	"HW"	"15-Jun-09"	"Baseflow"	"870"	660	"1038"	"611"	"235521"	0	"9995"	"BLD"	"244"	NA	NA	"244"	244	"611"	611	"HW"	"Honey"	"15-Jun-09"	"HW 006"	"HW 006"	""	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-16 02:51:00	2009-06-16 17:42:00	8.86123595505618	11.1	7.7	8.4	1.15827294015602	1.11554740677966	1.18959	1.054981	1.121065	0.0256517897406914	NA	-Inf	Inf	NA	NA	3.23651685393258	8	2.4	3.1	0.72108142440247	16.3893258426966	19	15	15.8	1.31713976861336
"HW 009"	"Milw Corridor Study USGS"	"33443 - 33444"	"Honey"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"11-Aug-09"	"Baseflow"	"Baseflow"	7.21	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	7.21	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"HW"	"8/11/2009"	"8/12/2009 8:29"	7772	"USGSHW009"	"HW"	"14-Aug-09"	"Baseflow"	"740"	1070	"BLD"	"68"	"62578"	NA	"30118"	"BLD"	"263"	NA	NA	"263"	263	"68"	68	"HW"	"Honey"	"14-Aug-09"	"HW 009"	"HW 009"	""	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 18:12:00	2009-08-12 14:29:00	7.86652360515021	8.6	7.4	7.8	0.338345901103949	2.99834834567901	4.038744	1.870178	2.988131	0.602388946569992	1265.45064377682	1330	1190	1280	47.3694977881807	4.06380952380952	23	1.2	3.8	2.53834229179980	20.5845493562232	23.3	18.2	20.3	1.85203101197596
"HW 011"	"Milw Corridor Study USGS"	"33462 - 33463"	"Honey"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	24.81	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/14/2009"	8	"0009-09-14"	24.81	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"HW"	"9/14/2009"	"9/15/2009 8:29"	8304	"USGSHW011"	"HW"	"17-Sep-09"	"Baseflow"	"440"	320	"BLD"	"360"	"243017"	NA	"23683"	"1617"	"1819"	NA	NA	"1819"	1819	"360"	360	"HW"	"Honey"	"17-Sep-09"	"HW 011"	"HW 011"	""	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-14 15:59:00	2009-09-15 14:29:00	7.55	9.8	6.2	7	1.258450986236	0.953136107777778	1.33407	0.722793	0.93	0.115135161260127	1659.07407407407	1700	1620	1650	21.5624379547424	2.04444444444444	6.4	1.3	2.1	0.524516653644509	19.1507407407407	19.6	18.4	19.2	0.321213150299143
"HW 012"	"Milw Corridor Study USGS"	"33474 - 33475"	"Honey"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/22/2009"	"9/23/2009 2:18"	8458	""	""	""	""	""	NA	""	""	""	NA	""	""	""	NA	NA	""	NA	""	NA	""	""	""	""	"HW 012"	""	"9/22/2009 12:39"	"9/23/2009 2:18"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 18:39:00	2009-09-23 08:18:00	8.09146341463415	8.5	7.6	8.1	0.297927903129458	37.4886815492958	147.2808	5.928729	25.09502	35.5452944815252	352.140243902439	577	164	349.5	120.796837361350	83.2012195121951	310	20	81	58.8232435881746	19.4542682926829	20	18.7	19.5	0.376348391289926
"HW 013"	"Milw Corridor Study USGS"	"33484 - 33485"	"Honey"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/27/2009"	"9/28/2009 6:14"	NA	"USGSHW013"	"HW"	"26-Sep-09"	"Rain"	"22000"	16000	"3539"	""	"1397199"	0	"121857"	"8553"	""	NA	NA	"8553"	8553	"3539"	3539	"HW"	"Honey"	"26-Sep-09"	"HW 013"	"HW 013"	"Moved from USGS HW012"	"9/27/2009 19:41"	"9/28/2009 6:14"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-09-28 01:41:00	2009-09-28 12:14:00	8.8515873015873	9	8.7	8.8	0.102554669895916	55.0611329365079	195.2244	14.7062	21.1244	58.6720099356534	307.261904761905	608	78	287	158.558818288807	115.239669421488	290	64	110	33.5864617550456	16.5468253968254	17.8	15.4	16.5	0.686869595534583
"HW 014"	"Milw Corridor Study USGS"	"33494 - 33495"	"Honey"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"HW"	"10/1/2009"	"10/2/2009 9:23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HW 014"	"did not receive"	"10/1/2009 20:29"	"10/2/2009 9:23"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-10-02 02:29:00	2009-10-02 15:23:00	9.76428571428571	10.1	9.5	9.8	0.187406995296568	75.6820892258065	199.5487	21.57088	55.00205	49.3984766465868	255.110389610390	470	107	226.5	124.157688144301	47.925	82	19	55.5	22.5711268932406	13.7798701298701	14.2	13.3	13.8	0.27733085173519
