"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"
"MF 001"	"Milw Corridor Study USGS"	"33293 - 33294"	"Meno Falls"	FALSE	"MF 001"	"4/6/2009 9:34"	"4/7/2009 11:00"	"6-Apr-09"	"Baseflow"	"Baseflow"	15.86	21.84	0	39.61	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	77.31	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MF"	"4/6/2009"	"4/7/2009 11:00"	6508	"USGSMF001"	"MF"	"10-Apr-09"	"Baseflow"	"32"	12	"678"	""	"67940"	0	"23622"	"2155"	""	NA	NA	"2155"	2155	"678"	678	"MF"	"Meno Falls"	"10-Apr-09"	"MF 001"	"MF 001"	""	"4/6/2009 9:34"	"4/7/2009 11:00"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 15:34:00	2009-04-07 17:00:00	13.1585964912281	15.4	11.6	12.5	1.46461964321233	40.8394803267974	44.78308	37.89247	40.88106	1.88041044558909	1005.77543859649	1020	997	1000	7.6059715397836	7.48877192982456	22	5.1	7.1	2.00313492877321	5.29859649122807	6.6	3.7	5.4	0.951757896552278
"MF 002"	"Milw Corridor Study USGS"	"33306 - 33307"	"Meno Falls"	FALSE	"MF 002"	"4/20/2009 10:28"	"4/21/2009 18:19"	"20-Apr-09"	"Event"	"Rainfall "	0.38	3.47	0	0.76	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/20/2009"	3	"0009-04-20"	4.61	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MF"	"4/20/2009"	"4/21/2009 18:19"	6519	"USGSMF002"	"MF"	"24-Apr-09"	"Rain"	"40"	120	"1449"	""	"105839"	0	"4281"	"1300"	""	NA	NA	"1300"	1300	"1449"	1449	"MF"	"Meno Falls"	"24-Apr-09"	"MF 002"	"MF 002"	""	"4/20/2009 10:28"	"4/21/2009 18:19"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-20 16:28:00	2009-04-22 00:19:00	11.7152406417112	12.7	11	11.6	0.525905648940749	85.0460135078534	88.76763	82.45641	83.97243	2.02931391126672	1090.40106951872	1120	1050	1100	19.2095708643916	6.43502673796791	13	3.7	7	1.56262578023079	7.76497326203209	9	6.5	7.5	0.830599689253003
"MF 003"	"Milw Corridor Study USGS"	"33393 - 33394"	"Meno Falls"	FALSE	"MF 003"	"6/15/2009 20:38"	"6/16/2009 13:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"MF"	"6/15/2009"	"6/16/2009 13:42"	7005	"USGSMF003"	"MF"	"15-Jun-09"	"Baseflow"	"290"	170	"BLD"	"143"	"179241"	NA	"4503"	"BLD"	"259"	NA	NA	"259"	259	"143"	143	"MF"	"Meno Falls"	"15-Jun-09"	"MF 003"	"MF 003"	""	"6/15/2009 20:38"	"6/16/2009 13:42"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-16 02:38:00	2009-06-16 19:42:00	9.70829268292683	10.8	9	9.4	0.631896858203127	12.2734836764706	12.90472	11.37233	12.365635	0.466258328986162	987.653658536585	1000	979	988	3.27229139308567	10.9794117647059	25	9.2	11	1.46313235987760	19.3165853658537	20.6	18.6	19.3	0.526194298696660
"MF 005"	"Milw Corridor Study USGS"	"33417 - 33418"	"Meno Falls"	FALSE	"MF 005"	"7/22/2009 8:44"	"7/23/2009 6:12"	"22-Jul-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7/22/2009"	6	"0009-07-22"	0	NA	NA	NA	NA	NA	"Jul"	NA	NA	0	0	0	"MF"	"7/22/2009"	"7/23/2009 6:12"	7413	"USGSMF005"	"MF"	"24-Jul-09"	"Rain"	"4900"	5300	"4457"	""	"316984"	0	"61651"	"3356"	""	NA	NA	"3356"	3356	"4457"	4457	"MF"	"Meno Falls"	"24-Jul-09"	"MF 005"	"MF 005"	""	"7/22/2009 8:44"	"7/23/2009 6:12"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-07-22 14:44:00	2009-07-23 12:12:00	8.334496124031	9.3	7.6	8.1	0.531509064079745	12.0738933510638	25.48749	8.46195	9.838399	4.6648878261288	813.918604651163	901	739	827.5	39.0662059367742	10.0399224806202	20	7.1	9.95	1.77715594770123	19.434496124031	20.2	18.4	19.5	0.493865025496889
"MF 006"	"Milw Corridor Study USGS"	"33439 - 33440"	"Meno Falls"	FALSE	"MF 006"	"8/11/2009 9:08"	"8/12/2009 8:35"	"11-Aug-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	0	NA	NA	NA	NA	NA	"Aug"	NA	NA	0	0	0	"MF"	"8/11/2009"	"8/12/2009 8:35"	7771	"USGSMF006"	"MF"	"14-Aug-09"	"Baseflow"	"310"	260	"BLD"	"BLD"	"21024"	NA	"3965"	"BLD"	"68"	NA	NA	"68"	68	"BLD"	60	"MF"	"Meno Falls"	"14-Aug-09"	"MF 006"	"MF 006"	""	"8/11/2009 9:08"	"8/12/2009 8:35"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 15:08:00	2009-08-12 14:35:00	7.64837398373984	9.1	7.1	7.5	0.467098510754384	4.8695315	5.856554	4.300424	4.6619115	0.421377500303342	1056.13821138211	1070	1030	1060	9.39633033298446	2.48408163265306	6.6	1.4	2.5	0.510014136606337	22.7934959349593	24.6	21.4	22.7	1.00380824556334
"MF 008"	"Milw Corridor Study USGS"	"33466 - 33467"	"Meno Falls"	FALSE	"MF 008"	"9/15/2009 8:28"	"9/15/2009 13:54"	"15-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/15/2009"	8	"0009-09-15"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MF"	"9/15/2009"	"9/15/2009 13:54"	8306	"USGSMF008"	"MF"	"17-Sep-09"	"Baseflow"	"140"	120	"BLD"	"BLD"	"23737"	NA	"2039"	"BLD"	"94"	NA	NA	"94"	94	"BLD"	60	"MF"	"Meno Falls"	"17-Sep-09"	"MF 008"	"MF 008"	""	"9/15/2009 8:28"	"9/15/2009 13:54"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-15 14:28:00	2009-09-15 19:54:00	9.28153846153846	9.6	8.6	9.4	0.321564684245404	1.97107731818182	2.036631	1.834446	1.933298	0.0595503014645013	1117.69230769231	1120	1110	1120	4.24603887804223	2.48769230769231	3.3	2.1	2.4	0.254649079806219	19.9784615384615	21	18.9	20	0.684309028256858
"MF 009"	"Milw Corridor Study USGS"	"33468 - 33469"	"Meno Falls"	FALSE	"MF 009"	"9/22/2009 12:21"	"9/23/2009 7:48"	"22-Sep-09"	"Event"	"Rainfall "	0.11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0.11	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"MF"	"9/22/2009"	"9/23/2009 7:48"	8453	"USGSMF009"	"MF"	"26-Sep-09"	"Rain"	"10700"	10300	"3588"	""	"459990"	0	"39923"	"5151"	""	NA	NA	"5151"	5151	"3588"	3588	"MF"	"Meno Falls"	"26-Sep-09"	"MF 009"	"MF 009"	""	"9/22/2009 12:21"	"9/23/2009 7:48"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 18:21:00	2009-09-23 13:48:00	8.21459227467811	8.7	7.8	8.2	0.203740731395853	28.6215780425532	119.9182	9.477935	20.55362	21.8257053377228	559.536480686695	775	194	563	114.212406852059	23.9254310344828	140	7.7	20	20.5776009814329	18.7412017167382	19.6	18.2	18.7	0.351256755483652
"MF 010"	"Milw Corridor Study USGS"	"33478 - 33479"	"Meno Falls"	FALSE	"MF 010"	"9/27/2009 18:44"	"9/28/2009 7:24"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MF"	"9/27/2009"	"9/28/2009 7:24"	8459	"USGSMF010"	"MF"	"26-Sep-09"	"Rain"	"5500"	4400	"9544"	""	"233194"	0	"56916"	"4874"	""	NA	NA	"4874"	4874	"9544"	9544	"MF"	"Meno Falls"	"26-Sep-09"	"MF 010"	"MF 010"	""	"9/27/2009 18:44"	"9/28/2009 7:24"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-28 00:44:00	2009-09-28 13:24:00	8.63684210526316	8.9	8.3	8.6	0.164652638789784	25.5260090789474	78.08479	16.82662	20.0554	10.6895440771143	605.157894736842	819	301	608	81.089853299419	21.0611842105263	84	9	17	14.4740784484792	16.1302631578947	18	14.9	16	0.936177904760707
"MF 011"	"Milw Corridor Study USGS"	"33488 - 33489"	"Meno Falls"	FALSE	"MF 011"	"10/1/2009 19:24"	"10/2/2009 9:48"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"MF"	"10/1/2009"	"10/2/2009 9:48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MF 011"	"did not receive"	"10/1/2009 19:24"	"10/2/2009 9:48"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-10-02 01:24:00	2009-10-02 15:48:00	9.7271676300578	9.9	9.6	9.7	0.105717706013230	38.756699132948	59.66999	23.75001	38.049	6.48183785644782	568.341040462428	853	347	552	121.97457032467	16.9345238095238	39	10	15	6.25997635486761	12.6965317919075	13.2	12.3	12.7	0.179759514337979
"MF 012"	"Milw Corridor Study USGS"	"33528 - 33529"	"Meno Falls"	FALSE	"MF 012"	"10/22/2009 6:04"	"10/24/2009 11:23"	"22-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/2009"	9	"0009-10-22"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"MF"	"10/22/2009"	"10/24/2009 11:23"	8656	"USGSMF012"	"MF"	"25-Oct-09"	"Rain"	"510"	410	"BLD"	"383"	"165400"	NA	"14429"	"BLD"	"1875"	NA	NA	"1875"	1875	"383"	383	"MF"	"Meno Falls"	"25-Oct-09"	"MF 012"	"MF 012"	""	"10/22/2009 6:04"	"10/24/2009 11:23"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-10-22 12:04:00	2009-10-24 17:23:00	10.18796875	11	9	10.3	0.387515175885372	56.548988209854	96.36477	8.46195	65.54323	23.2705126602176	780.1515625	1020	509	809	142.076828487875	12.7262981574539	28	3.9	12	5.40805655507589	9.46984375	10.8	8.3	9.4	0.702875810042374
