variables	groups	groups2
Study.Sample.ID	Header	Header
Study.Name	Header	Header
LIDE.Sample.ID	Header	Header
Site.Name	Header	Header
Sample.Combining.needed.	Header	Header
USGS_ID	Header	Header
SSdate	Header	Header
SEdate	Header	Header
Collection.Start.Date	Header	Header
Sample.Type	Header	Header
Event.Type	Header	Header
Adenovirus.C.D.F	Response	Response
Adenovirus.A	Response	Response
Adenovirus.B	Response	Response
Enterovirus	Response	Response
G1.Norovirus	Response	Response
G2.Norovirus	Response	Response
HAV	Response	Response
Rotavirus	Response	Response
Campylobacter	Response	Response
Salmonella	Response	Response
EHEC	Response	Response
Cryptosporidium	Response	Response
BVDV1	Response	Response
BVDV2	Response	Response
Rotavirus.a	Response	Response
Rotavirus.c	Response	Response
Bovine.Enterovirus	Response	Response
Coronavirus	Response	Response
Bovine.Adenovirus	Response	Response
Bovine.Polyomavirus	Response	Response
Mycobacterium.Avium	Response	Response
Mycobacterium.Avium.paratuber	Response	Response
pdate	Header	Header
nmonth	Header	Header
ddate	Header	Header
Human_virus	Response	Response
Bacteria	Response	Response
Protozoa	Response	Response
Bovine_virus	Response	Response
Human	Response	Response
All_pathogens	Response	Response
cmonth	Header	Header
Rotavirus.a_occur	Response	Response
Bovine.Polyomavirus_occur	Response	Response
Adenovirus.C.D.F_occur	Response	Response
Adenovirus.A_occur	Response	Response
Enterovirus_occur	Response	Response
Abb2	Header	Header
Ddate	Header	Header
SEpdate	Header	Header
FT.	Header	Header
Site.Code	Header	Header
Abb.	Header	Header
Sample.Date	Header	Header
Event	Header	Header
Enterococci.CFU.100ml	Response	Response
E..coli.CFU.100ml	Response	Response
BacHuman.CN.100ml	PrelimResponse	PrelimResponse
RERUN.BacHuman.CN.100ml	PrelimResponse	PrelimResponse
BacSp.CN.100ml	PrelimResponse	PrelimResponse
Ratio.Human.Sp	PrelimResponse	PrelimResponse
Entero.CN.100ml	PrelimResponse	PrelimResponse
Lachno.2.CN.100ml	PrelimResponse	PrelimResponse
RERUN.Lachno.2.CN.100ml	PrelimResponse	PrelimResponse
Ruminant.CN.100ml	PrelimResponse	PrelimResponse
Cow.CN.100ml	PrelimResponse	PrelimResponse
lachno	PrelimResponse	PrelimResponse
lachnocen	Response	Response
BacHuman	PrelimResponse	PrelimResponse
BacHumancen	Response	Response
Abb2.1	Header	Header
GLWI.Site.Name	Header	Header
Sample.Date.1	Header	Header
GLWI.Study.Sample.ID	Header	Header
USGS_ID.1	Header	Header
X	Header	Header
Sample.Start.date.2	Header	Header
Sample.End.date.2	Header	Header
X.1	Header	Header
USGS.Sample.Type.2	Header	Header
USGS.Event.Type	Header	Header
USGS.Event.Type.2	Header	Header
GLWI.Event	Header	Header
Ebpdate	Header	Header
Eepdate	Header	Header
DO_mean	Predictor	Ignore
DO_max	Predictor	Ignore
DO_min	Predictor	Ignore
DO_median	Predictor	Ignore
Q_mean	log_no16	log_no16
Q_max	log_no16	log_no16
Q_min	log_no16	log_no16
Q_median	log_no16	log_no16
SC_mean	Predictor	Predictor
SC_max	Predictor	Predictor
SC_min	Predictor	Predictor
SC_median	Predictor	Predictor
TURB_mean	log	log
TURB_max	log	log
TURB_min	log	log
TURB_median	log	log
WTEMP_mean	Predictor	Predictor
WTEMP_max	Predictor	Predictor
WTEMP_min	Predictor	Predictor
WTEMP_median	Predictor	Predictor
Ebddate	Header	Header
AntBase	Predictor	Predictor
