"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"Ebddate"	"AntBase"
"HW 001"	"Milw Corridor Study USGS"	"33295 - 33296"	"Honey"	FALSE	"HW 001"	"4/6/2009 10:02"	"4/7/2009 10:31"	"6-Apr-09"	"Baseflow"	"Baseflow"	153.95	62.16	0	32.04	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	248.15	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"HW"	"4/6/2009"	"4/7/2009 10:31"	6511	"USGSHW001"	"HW"	"10-Apr-09"	"Baseflow"	"46"	38	"2791"	""	"172369"	0	10184	"3263"	""	NA	NA	"3263"	3263	"2791"	2791	"HW"	"Honey"	"10-Apr-09"	"HW 001"	"HW 001"	""	"4/6/2009 10:02"	"4/7/2009 10:31"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 05:02:00	2009-04-07 05:31:00	14.3336734693878	17.8	12.1	13.05	3.70546332653061	4.277254	3.380985	3.590863	NA	-Inf	Inf	NA	3.0312925170068	12	1	1.3	5.58333333333333	9.2	3.6	4.9	2009-04-06	3.03
"HW 002"	"Milw Corridor Study USGS"	"33312 - 33313"	"Honey"	FALSE	"HW 002"	"4/19/2009 18:42"	"4/22/2009 5:43"	"19-Apr-09"	"Event"	"Rainfall "	0	147.47	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/19/2009"	3	"0009-04-19"	147.47	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"HW"	"4/19/2009"	"4/22/2009 5:43"	6516	"USGSHW002"	"HW"	"24-Apr-09"	"Rain"	"630"	410	"4170"	""	"186429"	0	30116	"4496"	""	NA	NA	"4496"	4496	"4170"	4170	"HW"	"Honey"	"24-Apr-09"	"HW 002"	"HW 002"	""	"4/19/2009 18:42"	"4/22/2009 5:43"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-19 13:42:00	2009-04-22 00:43:00	12.1041018387553	16.2	10.1	11.8	50.6793747182663	171.6795	1.410088	30.00929	1290.01555869873	2480	356	1240	22.9944117647059	140	4	17	7.96280056577086	9.3	6.5	8	2009-04-19	1.26
"HW 003"	"Milw Corridor Study USGS"	"33344 - 33345"	"Honey"	FALSE	"HW 003"	"5/13/2009 20:17"	"5/15/2009 7:07"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5/13/2009"	4	"0009-05-13"	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"HW"	"5/13/2009"	"5/15/2009 7:07"	6746	"USGSHW003"	"HW"	"16-May-09"	"Rain"	"4040"	3150	"7748"	"4620"	"258287"	NA	136511	"BLD"	"7455"	NA	NA	"7455"	7455	"4620"	4620	"HW"	"Honey"	"16-May-09"	"HW 003"	"HW 003"	""	"5/13/2009 20:17"	"5/15/2009 7:07"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-05-13 15:17:00	2009-05-15 02:07:00	11.0200956937799	12.6	9.7	10.9	194.529108994065	1131.024	3.380985	43.4087	1387.05527638191	2190	92	2080	46.7399433427762	350	2	16	14.4253588516746	17.3	11.4	14.35	2009-05-13	3.5
"HW 005"	"Milw Corridor Study USGS"	"33384 - 33385"	"Honey"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	291.85	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/8/2009"	5	"0009-06-08"	291.85	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	1	"HW"	"6/8/2009"	"6/8/2009 21:34"	6919	"USGSHW005"	"HW"	"12-Jun-09"	"Rain"	"7200"	3200	"BLD"	"1620"	"2210649"	NA	639176	"n/a"	"0"	NA	NA	"BLD"	60	"1620"	1620	"HW"	"Honey"	"12-Jun-09"	"HW 005"	"HW 005"	""	"6/8/2009 2:51"	"6/8/2009 21:34"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-06-07 21:51:00	2009-06-08 16:34:00	10.1727678571429	12	7.6	11.15	195.003413772414	888.609	1.26058	63.07032	1742.57042253521	2020	124	1990	2.99579831932773	11	2.1	2.6	13.6200892857143	14.6	12.5	13.65	2009-06-07	1.17
"HW 006"	"Milw Corridor Study USGS"	"33397 - 33398"	"Honey"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"HW"	"6/15/2009"	"6/16/2009 11:42"	7004	"USGSHW006"	"HW"	"15-Jun-09"	"Baseflow"	"870"	660	"1038"	"611"	"235521"	0	9995	"BLD"	"244"	NA	NA	"244"	244	"611"	611	"HW"	"Honey"	"15-Jun-09"	"HW 006"	"HW 006"	""	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-15 15:51:00	2009-06-16 06:42:00	9.55898876404494	11.4	7.7	9.75	1.11484188135593	1.26058	1.054981	1.121065	NA	-Inf	Inf	NA	4.05280898876404	7.8	2.8	3.5	18.1056179775281	19.2	15.7	18.3	2009-06-15	1.12
"HW 009"	"Milw Corridor Study USGS"	"33443 - 33444"	"Honey"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"11-Aug-09"	"Baseflow"	"Baseflow"	7.21	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	7.21	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"HW"	"8/11/2009"	"8/12/2009 8:29"	7772	"USGSHW009"	"HW"	"14-Aug-09"	"Baseflow"	"740"	1070	"BLD"	"68"	"62578"	NA	30118	"BLD"	"263"	NA	NA	"263"	263	"68"	68	"HW"	"Honey"	"14-Aug-09"	"HW 009"	"HW 009"	""	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 07:12:00	2009-08-12 03:29:00	7.8328502415459	8.6	7.4	7.7	3.52256368831169	4.525832	2.804655	3.590863	1221.64251207729	1330	1030	1220	3.46908212560386	7.9	1.2	2.9	21.4980676328502	23.3	20.2	21	2009-08-11	3.59
"HW 011"	"Milw Corridor Study USGS"	"33462 - 33463"	"Honey"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	24.81	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/14/2009"	8	"0009-09-14"	24.81	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"HW"	"9/14/2009"	"9/15/2009 8:29"	8304	"USGSHW011"	"HW"	"17-Sep-09"	"Baseflow"	"440"	320	"BLD"	"360"	"243017"	NA	23683	"1617"	"1819"	NA	NA	"1819"	1819	"360"	360	"HW"	"Honey"	"17-Sep-09"	"HW 011"	"HW 011"	""	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-14 04:59:00	2009-09-15 03:29:00	7.7441947565543	9.8	6.5	7.3	0.93569031	1.33407	0.722793	0.93	1590.52434456929	1700	1480	1630	1.83408239700375	6.4	1	1.7	18.6501872659176	19.6	17.6	18.5	2009-09-14	0.98
"HW 012"	"Milw Corridor Study USGS"	"33474 - 33475"	"Honey"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/22/2009"	"9/23/2009 2:18"	8458	""	""	""	""	""	NA	""	""	""	NA	NA	""	""	NA	NA	""	NA	""	NA	""	""	""	""	"HW 012"	""	"9/22/2009 12:39"	"9/23/2009 2:18"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 07:39:00	2009-09-22 21:18:00	6.80625	8.5	5.8	6.6	40.8939351923077	147.2808	1.121068	1.260583	1104.0375	1400	164	1325	41.5225	310	3.7	5.25	17.294375	20	16.4	16.7	2009-09-22	5.02
"HW 013"	"Milw Corridor Study USGS"	"33484 - 33485"	"Honey"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/27/2009"	"9/28/2009 6:14"	NA	"USGSHW013"	"HW"	"26-Sep-09"	"Rain"	"22000"	16000	"3539"	""	"1397199"	0	121857	"8553"	""	NA	NA	"8553"	8553	"3539"	3539	"HW"	"Honey"	"26-Sep-09"	"HW 013"	"HW 013"	"Moved from USGS HW012"	"9/27/2009 19:41"	"9/28/2009 6:14"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-09-27 14:41:00	2009-09-28 01:14:00	7.65793650793651	8.1	7.1	7.7	2.66299977272727	23.41142	1.260583	1.33407	1310.63492063492	1360	1120	1320	4.98095238095238	30	1.8	4.4	16.8285714285714	18	16	16.9	2009-09-27	5.26
"HW 014"	"Milw Corridor Study USGS"	"33494 - 33495"	"Honey"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"HW"	"10/1/2009"	"10/2/2009 9:23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HW 014"	"did not receive"	"10/1/2009 20:29"	"10/2/2009 9:23"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-10-01 15:29:00	2009-10-02 04:23:00	9.56712328767123	9.9	8.8	9.7	47.1415241333333	149.7546	1.488658	1.653586	1204.27210884354	1490	107	1480	18.6688311688312	81	2.9	8.7	12.6176870748299	14	11.4	12.5	2009-10-01	1.76
