"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"
"HW 001"	"Milw Corridor Study USGS"	"33295 - 33296"	"Honey"	FALSE	"HW 001"	"4/6/2009 10:02"	"4/7/2009 10:31"	"6-Apr-09"	"Baseflow"	"Baseflow"	153.95	62.16	0	32.04	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	248.15	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"HW"	"4/6/2009"	"4/7/2009 10:31"	6511	"USGSHW001"	"HW"	"10-Apr-09"	"Baseflow"	"46"	38	"2791"	""	"172369"	0	"10184"	"3263"	""	NA	NA	"3263"	3263	"2791"	2791	"HW"	"Honey"	"10-Apr-09"	"HW 001"	"HW 001"	""	"4/6/2009 10:02"	"4/7/2009 10:31"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 10:02:00	2009-04-07 10:31:00	14.4095238095238	17.8	12.1	13.45	3.43092147959184	4.277254	2.988131	3.380985	NA	-Inf	Inf	NA	3.46598639455782	12	1	2.3	5.46428571428571	9.2	3	4.9
"HW 002"	"Milw Corridor Study USGS"	"33312 - 33313"	"Honey"	FALSE	"HW 002"	"4/19/2009 18:42"	"4/22/2009 5:43"	"19-Apr-09"	"Event"	"Rainfall "	0	147.47	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/19/2009"	3	"0009-04-19"	147.47	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"HW"	"4/19/2009"	"4/22/2009 5:43"	6516	"USGSHW002"	"HW"	"24-Apr-09"	"Rain"	"630"	410	"4170"	""	"186429"	0	"30116"	"4496"	""	NA	NA	"4496"	4496	"4170"	4170	"HW"	"Honey"	"24-Apr-09"	"HW 002"	"HW 002"	""	"4/19/2009 18:42"	"4/22/2009 5:43"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-19 18:42:00	2009-04-22 05:43:00	11.7487977369165	12.6	11.3	11.7	46.2459873163842	171.6795	11.3648	26.84567	1222.82461103253	2000	356	1290	20.9086956521739	120	4.8	17	7.55403111739745	9.1	5.7	7.7
"HW 003"	"Milw Corridor Study USGS"	"33344 - 33345"	"Honey"	FALSE	"HW 003"	"5/13/2009 20:17"	"5/15/2009 7:07"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5/13/2009"	4	"0009-05-13"	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"HW"	"5/13/2009"	"5/15/2009 7:07"	6746	"USGSHW003"	"HW"	"16-May-09"	"Rain"	"4040"	3150	"7748"	"4620"	"258287"	NA	"136511"	"BLD"	"7455"	NA	NA	"7455"	7455	"4620"	4620	"HW"	"Honey"	"16-May-09"	"HW 003"	"HW 003"	""	"5/13/2009 20:17"	"5/15/2009 7:07"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-05-13 20:17:00	2009-05-15 07:07:00	10.6815789473684	11.6	9.7	10.6	161.567505635492	1131.024	13.99766	31.66856	248.784810126582	2050	92	171	48.5388101983003	350	3.2	16	14.7155502392344	17.3	12.5	14.6
"HW 005"	"Milw Corridor Study USGS"	"33384 - 33385"	"Honey"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	291.85	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/8/2009"	5	"0009-06-08"	291.85	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	1	"HW"	"6/8/2009"	"6/8/2009 21:34"	6919	"USGSHW005"	"HW"	"12-Jun-09"	"Rain"	"7200"	3200	"BLD"	"1620"	"2210649"	NA	"639176"	"n/a"	"0"	NA	NA	"BLD"	60	"1620"	1620	"HW"	"Honey"	"12-Jun-09"	"HW 005"	"HW 005"	""	"6/8/2009 2:51"	"6/8/2009 21:34"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-06-08 02:51:00	2009-06-08 21:34:00	11.1888392857143	12	8.7	11.2	136.028069642857	888.609	12.31476	27.87744	429.318181818182	1840	124	153.5	17.1836734693878	32	11	16	13.9178571428571	15.6	12.5	13.65
"HW 006"	"Milw Corridor Study USGS"	"33397 - 33398"	"Honey"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"HW"	"6/15/2009"	"6/16/2009 11:42"	7004	"USGSHW006"	"HW"	"15-Jun-09"	"Baseflow"	"870"	660	"1038"	"611"	"235521"	0	"9995"	"BLD"	"244"	NA	NA	"244"	244	"611"	611	"HW"	"Honey"	"15-Jun-09"	"HW 006"	"HW 006"	""	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-15 20:51:00	2009-06-16 11:42:00	8.65337078651685	11	7.7	8.2	1.10990569491525	1.18959	1.054981	1.121065	NA	-Inf	Inf	NA	3.24494382022472	8	2.4	3.1	16.6146067415730	19.2	15	16.2
"HW 009"	"Milw Corridor Study USGS"	"33443 - 33444"	"Honey"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"11-Aug-09"	"Baseflow"	"Baseflow"	7.21	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	7.21	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"HW"	"8/11/2009"	"8/12/2009 8:29"	7772	"USGSHW009"	"HW"	"14-Aug-09"	"Baseflow"	"740"	1070	"BLD"	"68"	"62578"	NA	"30118"	"BLD"	"263"	NA	NA	"263"	263	"68"	68	"HW"	"Honey"	"14-Aug-09"	"HW 009"	"HW 009"	""	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 12:12:00	2009-08-12 08:29:00	7.84253393665158	8.6	7.4	7.7	3.05038150617284	4.038744	1.870178	2.988131	1267.64705882353	1330	1190	1280	4.00343137254902	23	1.2	3.8	20.7045248868778	23.3	18.2	20.6
"HW 011"	"Milw Corridor Study USGS"	"33462 - 33463"	"Honey"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	24.81	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/14/2009"	8	"0009-09-14"	24.81	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"HW"	"9/14/2009"	"9/15/2009 8:29"	8304	"USGSHW011"	"HW"	"17-Sep-09"	"Baseflow"	"440"	320	"BLD"	"360"	"243017"	NA	"23683"	"1617"	"1819"	NA	NA	"1819"	1819	"360"	360	"HW"	"Honey"	"17-Sep-09"	"HW 011"	"HW 011"	""	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-14 09:59:00	2009-09-15 08:29:00	7.59925093632959	9.8	6.2	7.1	0.952454956666667	1.33407	0.722793	0.93	1656.74157303371	1700	1560	1650	2.03408239700375	6.4	1	2.1	19.1404494382022	19.6	17.9	19.2
"HW 012"	"Milw Corridor Study USGS"	"33474 - 33475"	"Honey"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/22/2009"	"9/23/2009 2:18"	8458	""	""	""	""	""	NA	""	""	""	NA	""	""	""	NA	NA	""	NA	""	NA	""	""	""	""	"HW 012"	""	"9/22/2009 12:39"	"9/23/2009 2:18"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 12:39:00	2009-09-23 02:18:00	8.0944099378882	8.5	7.1	8.2	37.6908845486111	147.2808	1.121068	25.83646	385.527950310559	1390	164	347	85.5639751552795	310	4.2	83	19.3770186335404	20	16.7	19.5
"HW 013"	"Milw Corridor Study USGS"	"33484 - 33485"	"Honey"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"HW"	"9/27/2009"	"9/28/2009 6:14"	NA	"USGSHW013"	"HW"	"26-Sep-09"	"Rain"	"22000"	16000	"3539"	""	"1397199"	0	"121857"	"8553"	""	NA	NA	"8553"	8553	"3539"	3539	"HW"	"Honey"	"26-Sep-09"	"HW 013"	"HW 013"	"Moved from USGS HW012"	"9/27/2009 19:41"	"9/28/2009 6:14"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-09-27 19:41:00	2009-09-28 06:14:00	8.7563492063492	9	7.1	8.8	58.1598873870968	195.2244	1.653586	24.60724	336.404761904762	1340	78	281	113.587603305785	290	5	110	16.7642857142857	18.1	15.6	16.8
"HW 014"	"Milw Corridor Study USGS"	"33494 - 33495"	"Honey"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"HW"	"10/1/2009"	"10/2/2009 9:23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HW 014"	"did not receive"	"10/1/2009 20:29"	"10/2/2009 9:23"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-10-01 20:29:00	2009-10-02 09:23:00	9.7551948051948	10.1	8.8	9.8	78.3240628451613	199.5487	2.151541	63.91269	274.753246753247	1450	107	226.5	56.0657894736842	82	3.5	59.5	13.7435064935065	14.1	12.9	13.8
