"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"Ebddate"	"AntBase"
"MW 001"	"Milw Corridor Study USGS"	"33297 - 33298"	"70th St."	FALSE	"MW 001"	"4/6/2009 10:23"	"4/7/2009 1:22"	"6-Apr-09"	"Baseflow"	"Baseflow"	16.8	132.68	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/6/2009"	3	"0009-04-06"	149.48	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	0	"MW"	"4/6/2009"	"4/7/2009 1:22"	6510	"USGSMW001"	"MW"	"10-Apr-09"	"Baseflow"	26	15	"3046"	NA	95933	0	29704	"2793"	NA	NA	NA	2793	2793	3046	3046	"MW"	"70th St."	"10-Apr-09"	"MW 001"	"MW 001"	""	"4/6/2009 10:23"	"4/7/2009 1:22"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-04-06 10:23:00	2009-04-07 01:22:00	17.2994444444444	20.6	13.5	17.75	113.009225	130.4714	102.4535	112.8403	1447.27777777778	1490	1420	1440	1.17	2.4	0.9	1.1	6.25388888888889	7.4	4.4	6.3	2009-04-06	103.12
"MW 002"	"Milw Corridor Study USGS"	"33314 - 33315"	"70th St."	FALSE	"MW 002"	"4/19/2009 18:45"	"4/22/2009 7:27"	"19-Apr-09"	"Event"	"Rainfall "	32.52	148.5	0	24.26	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/19/2009"	3	"0009-04-19"	205.28	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"MW"	"4/19/2009"	"4/22/2009 7:27"	6520	"USGSMW002"	"MW"	"24-Apr-09"	"Rain"	160	260	"2803"	NA	106407	0	7020	"1753"	NA	NA	NA	1753	1753	2803	2803	"MW"	"70th St."	"24-Apr-09"	"MW 002"	"MW 002"	""	"4/19/2009 18:45"	"4/22/2009 7:27"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-04-19 18:45:00	2009-04-22 07:27:00	11.2139917695473	13	10.2	11	402.313786666667	597.4216	222.8574	381.4772	1166.27297668038	1350	821	1240	13.040329218107	52	2.9	8.5	8.29753086419753	11.4	6.3	8.1	2009-04-19	39.83
"MW 003"	"Milw Corridor Study USGS"	"33329 - 33330"	"70th St."	FALSE	"MW 003"	"4/26/2009 18:16"	"4/29/2009 6:16"	"26-Apr-09"	"Event"	"Rainfall "	0	5.44	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4/26/2009"	3	"0009-04-26"	5.44	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"MW"	"4/26/2009"	"4/29/2009 6:16"	6676	"USGSMW003"	"MW"	"1-May-09"	"CSO"	170	210	"BLD"	383	64105	NA	12010	"BLD"	10029	NA	NA	10029	10029	383	383	"MW"	"70th St."	"1-May-09"	"MW 003"	"MW 003"	""	"4/26/2009 18:16"	"4/29/2009 6:16"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2009-04-26 18:16:00	2009-04-29 06:16:00	9.60112834978843	10.3	8.9	9.6	1431.83972159763	4268.875	628.3864	1108.079	679.931944444444	790	432	718.5	39.3597222222222	170	16	27	12.1405555555556	13.7	10.2	12.3	2009-04-26	137.87
"MW 004"	"Milw Corridor Study USGS"	"33348 - 33349"	"70th St."	FALSE	"MW 004"	"5/13/2009 20:13"	"5/15/2009 7:12"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"5/13/2009"	4	"0009-05-13"	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"MW"	"5/13/2009"	"5/15/2009 7:12"	6747	"USGSMW004"	"MW"	"16-May-09"	"Rain"	2570	2080	"8587"	NA	684757	0	78077	"6461"	NA	NA	NA	6461	6461	8587	8587	"MW"	"70th St."	"16-May-09"	"MW 004"	"MW 004"	""	"5/13/2009 20:13"	"5/15/2009 7:12"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-05-13 20:13:00	2009-05-15 07:12:00	9.09190476190476	10	8.6	9.1	785.23398952381	1845.77	180.8967	739.8116	649.161904761905	1040	394	637	56.6214285714286	170	22	45.5	15.5669047619048	16.6	14.4	15.65	2009-05-13	165.03
"MW 005"	"Milw Corridor Study USGS"	"33386 - 33387"	"70th St."	FALSE	"MW 005"	"6/8/2009 2:58"	"6/9/2009 14:37"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/8/2009"	5	"0009-06-08"	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"MW"	"6/8/2009"	"6/9/2009 14:37"	6921	"USGSMW005"	"MW"	"12-Jun-09"	"Rain"	6900	4500	"5489"	NA	2008677	0	123788	"12219"	NA	NA	NA	12219	12219	5489	5489	"MW"	"70th St."	"12-Jun-09"	"MW 005"	"MW 005"	""	"6/8/2009 2:58"	"6/9/2009 14:37"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-06-08 02:58:00	2009-06-09 14:37:00	8.8515294117647	9.8	8.5	8.7	560.566868414322	1937.584	96.80135	479.3399	614.854117647059	1110	264	603	22.0615384615385	27	18	22	14.1844705882353	16.6	12.5	14.4	2009-06-08	40.49
"MW 006"	"Milw Corridor Study USGS"	"33399 - 33400"	"70th St."	FALSE	"MW 006"	"6/15/2009 20:59"	"6/16/2009 13:38"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	5.74	0	0.94	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6/15/2009"	5	"0009-06-15"	6.68	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	1	1	"MW"	"6/15/2009"	"6/16/2009 13:38"	7007	"USGSMW006"	"MW"	"15-Jun-09"	"Baseflow"	160	56	"BLD"	161	105458	NA	6418	"BLD"	315	NA	NA	315	315	161	161	"MW"	"70th St."	"15-Jun-09"	"MW 006"	"MW 006"	""	"6/15/2009 20:59"	"6/16/2009 13:38"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-06-15 20:59:00	2009-06-16 13:38:00	8.2105	9.1	7.6	8	39.5167026865672	41.28012	37.86302	39.5467	1299.3	1320	1280	1300	10.13	12	8	10	19.151	20.8	18	18.9	2009-06-15	40.74
"MW 009"	"Milw Corridor Study USGS"	"33445 - 33446"	"70th St."	FALSE	"MW 009"	"8/11/2009 11:25"	"8/12/2009 8:50"	"11-Aug-09"	"Baseflow"	"Baseflow"	43.46	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"8/11/2009"	7	"0009-08-11"	43.46	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"MW"	"8/11/2009"	"8/12/2009 8:50"	7770	"USGSMW009"	"MW"	"14-Aug-09"	"Baseflow"	290	340	"BLD"	94	19260	NA	8792	"BLD"	394	NA	NA	394	394	94	94	"MW"	"70th St."	"14-Aug-09"	"MW 009"	"MW 009"	""	"8/11/2009 11:25"	"8/12/2009 8:50"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-08-11 11:25:00	2009-08-12 08:50:00	7.65088495575221	9.6	6.9	7.2	24.3684465116279	28.76372	20.86992	24.5158	1060.35840707965	1110	974	1080	9.33495575221239	12	6.3	9.3	22.7411504424779	24.4	21.4	22.5	2009-08-11	12.88
"MW 011"	"Milw Corridor Study USGS"	"33460 - 33461"	"70th St."	FALSE	"MW 011"	"9/14/2009 10:03"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/14/2009"	8	"0009-09-14"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/14/2009"	"9/15/2009 8:29"	8305	"USGSMW011"	"MW"	"17-Sep-09"	"Baseflow"	120	200	"4759"	NA	248811	0	29837	"6331"	NA	NA	NA	6331	6331	4759	4759	"MW"	"70th St."	"17-Sep-09"	"MW 011"	"MW 011"	""	"9/14/2009 10:03"	"9/15/2009 8:29"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2009-09-14 10:03:00	2009-09-15 08:29:00	8.97955390334572	13.2	6.7	7.6	7.57517596629213	9.102437	6.840752	7.683196	1491.15241635688	1510	1460	1500	3.22007434944238	5.8	2.6	3.1	20.4379182156134	21.9	18.9	20.5	2009-09-14	7.55
"MW 012"	"Milw Corridor Study USGS"	"33472 - 33473"	"70th St."	FALSE	"MW 012"	"9/22/2009 12:35"	"9/23/2009 7:44"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009"	8	"0009-09-22"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/22/2009"	"9/23/2009 7:44"	8454	"USGSMW012"	"MW"	"26-Sep-09"	"Rain"	7100	27600	"BLD"	555	264045	NA	63207	"2962"	1320	NA	NA	1320	1320	555	555	"MW"	"70th St."	"26-Sep-09"	"MW 012"	"MW 012"	""	"9/22/2009 12:35"	"9/23/2009 7:44"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-09-22 12:35:00	2009-09-23 07:44:00	7.7095652173913	8.3	7.4	7.7	214.459028288288	567.3787	13.71459	147.935	552.313043478261	1130	307	510	75.6795	440	4.5	64.5	19.0073913043478	19.7	17.9	19.05	2009-09-22	14.95
"MW 013"	"Milw Corridor Study USGS"	"33482 - 33483"	"70th St."	FALSE	"MW 013"	"9/27/2009 19:38"	"9/28/2009 10:01"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009"	8	"0009-09-27"	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"MW"	"9/27/2009"	"9/28/2009 10:01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MW 013"	"did not receive"	"9/27/2009 19:38"	"9/28/2009 10:01"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-09-27 19:38:00	2009-09-28 10:01:00	8.34736842105263	8.6	8	8.3	445.174660446429	1192.972	32.35106	299.13605	434.216374269006	944	235	425	76.6331360946746	290	31	60	16.4444444444444	18.1	15	16.4	2009-09-27	23.02
