Study.Sample.ID	Study.Name	LIDE.Sample.ID	Site.Name	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	Collection.Start.Date	Sample.Type	Event.Type	Adenovirus.C.D.F	Adenovirus.A	Adenovirus.B	Enterovirus	G1.Norovirus	G2.Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus.a	Rotavirus.c	Bovine.Enterovirus	Coronavirus	Bovine.Adenovirus	Bovine.Polyomavirus	Mycobacterium.Avium	Mycobacterium.Avium.paratuber	pdate	nmonth	ddate	Human_virus	Bacteria	Protozoa	Bovine_virus	Human	All_pathogens	cmonth	Rotavirus.a_occur	Bovine.Polyomavirus_occur	Adenovirus.C.D.F_occur	Adenovirus.A_occur	Enterovirus_occur	Abb2	Ddate	SEpdate	FT.	Site.Code	Abb.	Sample.Date	Event	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacHuman.CN.100ml	RERUN.BacHuman.CN.100ml	BacSp.CN.100ml	Ratio.Human.Sp	Entero.CN.100ml	Lachno.2.CN.100ml	RERUN.Lachno.2.CN.100ml	Ruminant.CN.100ml	Cow.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	Abb2.1	GLWI.Site.Name	Sample.Date.1	GLWI.Study.Sample.ID	USGS_ID.1	X	Sample.Start.date.2	Sample.End.date.2	X.1	USGS.Sample.Type.2	USGS.Event.Type	USGS.Event.Type.2	GLWI.Event	Ebpdate	Eepdate	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd
MF 001	Milw Corridor Study USGS	33293 - 33294	Meno Falls	FALSE	MF 001	4/6/2009 9:34	4/7/2009 11:00	6-Apr-09	Baseflow	Baseflow	15.86	21.84	0	39.61	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/6/2009	3	0009-04-06	77.31	NA	NA	NA	NA	NA	Apr	NA	NA	1	1	1	MF	4/6/2009	4/7/2009 11:00	6508	USGSMF001	MF	10-Apr-09	Baseflow	32	12	678		67940	0	23622	2155		NA	NA	2155	2155	678	678	MF	Meno Falls	10-Apr-09	MF 001	MF 001		4/6/2009 9:34	4/7/2009 11:00	NA	Baseflow	Baseflow	Baseflow	Baseflow	4/6/2009 14:34	4/7/2009 16:00	13.10357143	15.4	11.6	12.45	1.427226838	41.07016118	44.78308	37.89247	41.09997	1.905657855	1005.7	1020	997	1000	7.652581732	7.478214286	22	4.6	7	2.034872595	5.275357143	6.6	3.5	5.5	0.99020284
MF 002	Milw Corridor Study USGS	33306 - 33307	Meno Falls	FALSE	MF 002	4/20/2009 10:28	4/21/2009 18:19	20-Apr-09	Event	Rainfall 	0.38	3.47	0	0.76	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/20/2009	3	0009-04-20	4.61	NA	NA	NA	NA	NA	Apr	NA	NA	1	1	1	MF	4/20/2009	4/21/2009 18:19	6519	USGSMF002	MF	24-Apr-09	Rain	40	120	1449		105839	0	4281	1300		NA	NA	1300	1300	1449	1449	MF	Meno Falls	24-Apr-09	MF 002	MF 002		4/20/2009 10:28	4/21/2009 18:19	NA	Event	Rainfall 	Rainfall 	Rain	4/20/2009 15:28	4/21/2009 23:19	11.70989305	12.7	11	11.6	0.526135681	85.21280948	88.76763	82.62384	83.97243	2.034212664	1091.363636	1120	1060	1100	18.30663349	6.597326203	13	3.7	7.1	1.589102742	7.797326203	9	6.5	7.7	0.835405099
MF 003	Milw Corridor Study USGS	33393 - 33394	Meno Falls	FALSE	MF 003	6/15/2009 20:38	6/16/2009 13:42	15-Jun-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6/15/2009	5	0009-06-15	0	NA	NA	NA	NA	NA	Jun	NA	NA	0	0	0	MF	6/15/2009	6/16/2009 13:42	7005	USGSMF003	MF	15-Jun-09	Baseflow	290	170	BLD	143	179241	NA	4503	BLD	259	NA	NA	259	259	143	143	MF	Meno Falls	15-Jun-09	MF 003	MF 003		6/15/2009 20:38	6/16/2009 13:42	NA	Baseflow	Baseflow	Baseflow	Baseflow	6/16/2009 1:38	6/16/2009 18:42	9.621463415	10.8	9	9.3	0.620979464	12.35600765	12.95456	11.37233	12.41152	0.451645887	987.1414634	1000	976	988	3.902549168	10.96960784	25	9.2	11	1.446026607	19.38390244	20.9	18.6	19.3	0.626055493
MF 005	Milw Corridor Study USGS	33417 - 33418	Meno Falls	FALSE	MF 005	7/22/2009 8:44	7/23/2009 6:12	22-Jul-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7/22/2009	6	0009-07-22	0	NA	NA	NA	NA	NA	Jul	NA	NA	0	0	0	MF	7/22/2009	7/23/2009 6:12	7413	USGSMF005	MF	24-Jul-09	Rain	4900	5300	4457		316984	0	61651	3356		NA	NA	3356	3356	4457	4457	MF	Meno Falls	24-Jul-09	MF 005	MF 005		7/22/2009 8:44	7/23/2009 6:12	NA	Event	Rainfall 	Rainfall 	Rain	7/22/2009 13:44	7/23/2009 11:12	8.349612403	9.3	7.6	8.1	0.533489217	14.22735567	31.37116	8.46195	10.21024	7.117179945	799.3488372	875	321	819.5	68.7838945	11.27248062	72	7.3	10	6.333118008	19.45387597	20.2	18.5	19.5	0.464544981
MF 006	Milw Corridor Study USGS	33439 - 33440	Meno Falls	FALSE	MF 006	8/11/2009 9:08	8/12/2009 8:35	11-Aug-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/11/2009	7	0009-08-11	0	NA	NA	NA	NA	NA	Aug	NA	NA	0	0	0	MF	8/11/2009	8/12/2009 8:35	7771	USGSMF006	MF	14-Aug-09	Baseflow	310	260	BLD	BLD	21024	NA	3965	BLD	68	NA	NA	68	68	BLD	60	MF	Meno Falls	14-Aug-09	MF 006	MF 006		8/11/2009 9:08	8/12/2009 8:35	NA	Baseflow	Baseflow	Baseflow	Baseflow	8/11/2009 14:08	8/12/2009 13:35	7.676829268	9.1	7.1	7.5	0.51037372	4.924064944	5.856554	4.300424	4.685554	0.442041792	1054.02439	1070	1020	1060	10.86388018	2.469105691	6.6	1.4	2.4	0.515812034	22.84634146	24.6	21.4	22.9	0.977902185
MF 008	Milw Corridor Study USGS	33466 - 33467	Meno Falls	FALSE	MF 008	9/15/2009 8:28	9/15/2009 13:54	15-Sep-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/15/2009	8	0009-09-15	0	NA	NA	NA	NA	NA	Sep	NA	NA	0	0	0	MF	9/15/2009	9/15/2009 13:54	8306	USGSMF008	MF	17-Sep-09	Baseflow	140	120	BLD	BLD	23737	NA	2039	BLD	94	NA	NA	94	94	BLD	60	MF	Meno Falls	17-Sep-09	MF 008	MF 008		9/15/2009 8:28	9/15/2009 13:54	NA	Baseflow	Baseflow	Baseflow	Baseflow	9/15/2009 13:28	9/15/2009 18:54	9.093846154	9.6	8.3	9.3	0.448566092	1.966787727	2.036631	1.834446	1.933298	0.072839642	1119.692308	1130	1110	1120	2.480694692	2.610769231	6.1	2.1	2.6	0.505013328	19.60461538	20.7	18.8	19.5	0.630830497
MF 009	Milw Corridor Study USGS	33468 - 33469	Meno Falls	FALSE	MF 009	9/22/2009 12:21	9/23/2009 7:48	22-Sep-09	Event	Rainfall 	0.11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/22/2009	8	0009-09-22	0.11	NA	NA	NA	NA	NA	Sep	NA	NA	1	0	0	MF	9/22/2009	9/23/2009 7:48	8453	USGSMF009	MF	26-Sep-09	Rain	10700	10300	3588		459990	0	39923	5151		NA	NA	5151	5151	3588	3588	MF	Meno Falls	26-Sep-09	MF 009	MF 009		9/22/2009 12:21	9/23/2009 7:48	NA	Event	Rainfall 	Rainfall 	Rain	9/22/2009 17:21	9/23/2009 12:48	8.231330472	8.8	7.8	8.2	0.226111122	27.76815775	119.9182	2.899956	20.0554	21.83728242	561.3905579	914	194	561	121.2649113	24.46163793	140	1.9	20	21.1343229	18.74420601	19.6	17.9	18.7	0.357401289
MF 010	Milw Corridor Study USGS	33478 - 33479	Meno Falls	FALSE	MF 010	9/27/2009 18:44	9/28/2009 7:24	27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/27/2009	8	0009-09-27	0	NA	NA	NA	NA	NA	Sep	NA	NA	0	0	0	MF	9/27/2009	9/28/2009 7:24	8459	USGSMF010	MF	26-Sep-09	Rain	5500	4400	9544		233194	0	56916	4874		NA	NA	4874	4874	9544	9544	MF	Meno Falls	26-Sep-09	MF 010	MF 010		9/27/2009 18:44	9/28/2009 7:24	NA	Event	Rainfall 	Rainfall 	Rain	9/27/2009 23:44	9/28/2009 12:24	8.576973684	8.9	7.8	8.6	0.220015169	26.07441027	78.08479	3.691365	21.06148	11.96027135	625.4605263	1050	301	610	122.3995672	22.76052632	84	0.9	17	17.5291929	16.37039474	18.2	15.1	16.2	1.007839392
MF 011	Milw Corridor Study USGS	33488 - 33489	Meno Falls	FALSE	MF 011	10/1/2009 19:24	10/2/2009 9:48	1-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10/1/2009	9	0009-10-01	0	NA	NA	NA	NA	NA	Oct	NA	NA	0	0	0	MF	10/1/2009	10/2/2009 9:48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF 011	did not receive	10/1/2009 19:24	10/2/2009 9:48	NA	Event	Rainfall 	Rainfall 	NA	10/2/2009 0:24	10/2/2009 14:48	9.7	9.9	9.5	9.7	0.109968283	37.32443523	59.66999	4.449838	38.049	9.917590239	592.1156069	1080	347	552	170.0192822	16.60833333	39	2	15.5	6.95580933	12.68554913	13.2	12.3	12.7	0.194007205
MF 012	Milw Corridor Study USGS	33528 - 33529	Meno Falls	FALSE	MF 012	10/22/2009 6:04	10/24/2009 11:23	22-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10/22/2009	9	0009-10-22	0	NA	NA	NA	NA	NA	Oct	NA	NA	0	0	0	MF	10/22/2009	10/24/2009 11:23	8656	USGSMF012	MF	25-Oct-09	Rain	510	410	BLD	383	165400	NA	14429	BLD	1875	NA	NA	1875	1875	383	383	MF	Meno Falls	25-Oct-09	MF 012	MF 012		10/22/2009 6:04	10/24/2009 11:23	NA	Event	Rainfall 	Rainfall 	Rain	10/22/2009 11:04	10/24/2009 16:23	10.15328125	10.9	9	10.3	0.403259624	55.841564	96.36477	7.25	65.54323	24.08844282	783.1921875	1100	509	809	145.8708207	12.64556114	28	2.3	12	5.489767898	9.5159375	10.9	8.3	9.4	0.711780414
