"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"Ebddate"	"AntBase"
"UW 001"	"Milw Corridor Study USGS"	"33618 - 33619"	"Underwood"	FALSE	"UW 001"	"3/1/2010 10:14"	"3/2/2010 9:10"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	13.61	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/1/2010"	2	"0010-03-01"	0	13.61	0	0	13.61	13.61	"Mar"	0	0	0	0	0	"UW"	"3/1/2010"	"3/2/2010 9:10"	8722	"USGSUW001"	"UW"	"4-Mar-10"	"Baseflow"	710	910	"7282"	""	574914	0	36287	"4914"	NA	NA	NA	"4914"	4914	"7282"	7282	"UW"	"Underwood"	"4-Mar-10"	"UW 001"	"UW 001"	""	"3/1/2010 10:14"	"3/2/2010 9:10"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-03-01 10:14:00	2010-03-02 09:10:00	15.3562962962963	24.1	11.2	11.9	6.24030865217391	7.515659	5.370299	5.974952	3063.70909090909	3340	2390	3230	5.35148514851485	7.8	4.4	5.4	2.84218181818182	8	0	1.5	2010-03-01	5.8
"UW 002"	"Milw Corridor Study USGS"	"33668 - 33669"	"Underwood"	FALSE	"UW 002"	"3/11/2010 12:50"	"3/15/2010 8:47"	"11-Mar-10"	"Event"	"Mix"	6.82	0	0	0	0	0	0	0	12.46	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/11/2010"	2	"0010-03-11"	6.82	12.46	0	0	19.28	19.28	"Mar"	0	0	1	0	0	"UW"	"3/11/2010"	"3/15/2010 8:47"	8746	"USGSUW002"	"UW"	"17-Mar-10"	"Rain"	190	10	"BLD"	"165"	58296	NA	36571	"1652"	2003	NA	NA	"2003"	2003	"165"	165	"UW"	"Underwood"	"17-Mar-10"	"UW 002"	"UW 002"	""	"3/11/2010 12:50"	"3/15/2010 8:47"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-03-11 12:50:00	2010-03-15 08:47:00	12.4246575342466	15.2	11.4	12.1	77.7468633974359	138.5945	41.32151	76.51966	1398.01826484018	1610	1200	1390	17.1527853881279	160	4.5	10	4.4213698630137	6.8	2.6	4.3	2010-03-11	18.58
"UW 004"	"Milw Corridor Study USGS"	"33692 - 33693"	"Underwood"	FALSE	"UW 004"	"4/7/2010 15:43"	"4/8/2010 15:23"	"7-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/7/2010"	3	"0010-04-07"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"UW"	"4/7/2010"	"4/8/2010 15:23"	8803	"USGSUW004"	"UW"	"10-Apr-10"	"Rain"	1050	600	"5071"	""	407826	0	23130	"6318"	NA	NA	NA	"6318"	6318	"5071"	5071	"UW"	"Underwood"	"10-Apr-10"	"UW 004"	"UW 004"	""	"4/7/2010 15:43"	"4/8/2010 15:23"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-07 15:43:00	2010-04-08 15:23:00	11.4164912280702	13.2	10.7	10.9	78.4982764788732	215.3155	46.95879	65.91945	1275.95438596491	1470	605	1320	22.1091228070175	88	4.9	16	7.30947368421053	8.9	6.4	7.2	2010-04-07	10.8
"UW 005"	"Milw Corridor Study USGS"	"33702 - 33703"	"Underwood"	FALSE	"UW 005"	"4/25/2010 6:16"	"4/26/2010 8:03"	"25-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/25/2010"	3	"0010-04-25"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"UW"	"4/25/2010"	"4/26/2010 8:03"	8857	"USGSUW005"	"UW"	"28-Apr-10"	"Rain"	640	470	"2197"	"1703"	443417	0	44001	"BLD"	1463	NA	NA	"1463"	1463	"1703"	1703	"UW"	"Underwood"	"28-Apr-10"	"UW 005"	"UW 005"	""	"4/25/2010 6:16"	"4/26/2010 8:03"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-25 06:16:00	2010-04-26 08:03:00	10.1192926045016	10.8	9.9	10.1	100.138728705502	151.9895	63.59992	100.0198	1019.63987138264	1180	763	1080	23.1848874598071	80	8.2	17	9.26720257234727	9.9	8.2	9.4	2010-04-25	7.37
"UW 006"	"Milw Corridor Study USGS"	"33710 - 33711"	"Underwood"	FALSE	"UW 006"	"5/11/2010 4:32"	"5/12/2010 8:27"	"11-May-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5/11/2010"	4	"0010-05-11"	0	0	0	0	0	0	"May"	0	0	0	0	0	"UW"	"5/11/2010"	"5/12/2010 8:27"	8950	"USGSUW006"	"UW"	"14-May-10"	"Rain"	960	620	"7528"	""	793226	0	128744	"4045"	NA	NA	NA	"4045"	4045	"7528"	7528	"UW"	"Underwood"	"14-May-10"	"UW 006"	"UW 006"	""	"5/11/2010 4:32"	"5/12/2010 8:27"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-05-11 04:32:00	2010-05-12 08:27:00	10.4133928571429	10.8	9.5	10.4	81.6904976119403	157.89	24.31532	61.90228	904.014880952381	1350	436	887	21.0276785714286	60	5.9	16	8.90089285714286	9.1	8.6	8.9	2010-05-11	8.96
"UW 007"	"Milw Corridor Study USGS"	"33987 - 33986"	"Underwood"	FALSE	"UW 007"	"5/18/2010 7:53"	"5/19/2010 7:41"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5/18/2010"	4	"0010-05-18"	0.39	0	0	0	0.39	0.39	"May"	0	0	0	1	0	"UW"	"5/18/2010"	"5/19/2010 7:41"	8972	"USGSUW007"	"UW"	"21-May-10"	"Baseflow"	350	180	"2917"	""	217638	0	9617	"1521"	NA	NA	NA	"1521"	1521	"2917"	2917	"UW"	"Underwood"	"21-May-10"	"UW 007"	"UW 007"	""	"5/18/2010 7:53"	"5/19/2010 7:41"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-05-18 07:53:00	2010-05-19 07:41:00	11.495818815331	16.6	7.9	10.3	13.9958593684211	14.91947	13.07306	13.83864	1552.61324041812	1600	1480	1560	3.01881533101045	4.5	2.7	3	14.6268292682927	20.9	10.9	13.5	2010-05-18	12.79
"UW 013"	"Milw Corridor Study USGS"	"33990 - 33989"	"Underwood"	FALSE	"UW 013"	"7/13/2010 9:56"	"7/14/2010 8:06"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.85	0	0	0	0	0	0	0	"7/13/2010"	6	"0010-07-13"	0	0	0	34.85	0	34.85	"Jul"	1	0	0	0	0	"UW"	"7/13/2010"	"7/14/2010 8:06"	9457	"USGSUW013"	"UW"	"16-Jul-10"	"Baseflow"	270	400	"BLD"	"BLD"	5735	NA	7222	"BLD"	0	NA	NA	"BLD"	60	"BLD"	60	"UW"	"Underwood"	"16-Jul-10"	"UW 013"	"UW 013"	""	"7/13/2010 9:56"	"7/14/2010 8:06"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-07-13 09:56:00	2010-07-14 08:06:00	10.9100746268657	20.3	5.4	7.9	8.21784402247191	9.020561	7.515659	8.322367	1444.96268656716	1540	1330	1460	7.14776119402985	30	4	6.3	22.4746268656716	27.8	18.5	21.75	2010-07-13	10.98
"UW 014"	"Milw Corridor Study USGS"	"34572 - 34571"	"Underwood"	FALSE	"UW 014"	"7/15/2010 7:20"	"7/16/2010 7:10"	"15-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/15/2010"	6	"0010-07-15"	0	0	0	0	0	0	"Jul"	0	0	0	0	0	"UW"	"7/15/2010"	"7/16/2010 7:10"	9498	"USGSUW014"	"UW"	"16-Jul-10"	"CSO"	35000	10400	"BLD"	"428"	13543	NA	203195	"12001"	600	NA	NA	"600"	600	"428"	428	"UW"	"Underwood"	"16-Jul-10"	"UW 014"	"UW 014"	""	"7/15/2010 7:20"	"7/16/2010 7:10"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-15 07:20:00	2010-07-16 07:10:00	NA	-Inf	Inf	NA	355.568664808362	766.0585	181.4847	350.858	NA	-Inf	Inf	NA	NA	-Inf	Inf	NA	NA	-Inf	Inf	NA	2010-07-15	8.69
"UW 015"	"Milw Corridor Study USGS"	"33992 - 33991"	"Underwood"	TRUE	"UW 015"	"7/22/2010 11:41"	"7/23/2010 10:16"	"22-Jul-10"	"Event"	"Rainfall "	0.24	0.24	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/22/2010"	6	"0010-07-22"	2.62	0	0	0	2.62	2.62	"Jul"	0	0	1	1	1	"UW"	"7/22/2010"	"7/23/2010 10:16"	9572	"USHSUW015"	"UW"	"23-Jul-10"	"CSO"	69000	13500	"16878"	"3878"	29459	1	168525	"1324"	7418	NA	NA	"7418"	7418	"3878"	3878	"UW"	"Underwood"	"23-Jul-10"	"UW 015"	"UW 015"	""	"7/22/2010 11:41"	"7/23/2010 10:16"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-22 11:41:00	2010-07-23 10:16:00	7.8915750915751	9.5	7.4	7.8	1149.03473174074	3782.027	39.66906	861.988	371.040293040293	853	151	355	52.1538461538462	180	13	40	22.729304029304	23.8	21.5	22.6	2010-07-22	12.66
"UW 016"	"Milw Corridor Study USGS"	"33994 - 33993"	"Underwood"	TRUE	"UW 015"	"7/23/2010 10:46"	"7/25/2010 6:46"	"23-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/23/2010"	6	"0010-07-23"	0	0	0	0	0	0	"Jul"	0	0	0	0	0	"UW"	"7/23/2010"	"7/25/2010 6:46"	9609	"USGSUW016"	"UW"	"26-Jul-10"	"CSO"	290	1000	"BLD"	"173"	1908	NA	11691	"1219"	1095	NA	NA	"1095"	1095	"173"	173	"UW"	"Underwood"	"26-Jul-10"	"UW 016"	"UW 016"	"Changed USGS to UW 016"	"7/23/2010 10:46"	"7/25/2010 6:46"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-23 10:46:00	2010-07-25 06:46:00	7.63264150943396	8.2	7.2	7.6	371.950396590909	924.3899	132.6438	332.7758	527.711320754717	735	361	497.5	15.6240075614367	42	9.2	14	23.0683018867925	24	21.4	23.1	2010-07-23	355.48
