"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"HW 001"	"33295 - 33296"	6511	"Honey"	"HW"	FALSE	"HW 001"	"4/6/2009 10:02"	"4/7/2009 10:31"	"4/6/2009 16:02"	"4/7/2009 16:31"	"6-Apr-09"	"10-Apr-09"	"Apr"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	153.95	62.16	32.04	248.15	46	38	172369	10184	NA	3263	NA	2791	"4/6/2009 10:02"	"4/7/2009 10:31"	NA	NA	NA	NA	NA	2009-04-06 16:02:00	2009-04-06	2009-04-06 15:02:00	2009-04-07 15:31:00	302626.8882	4.277254	24.4833333333333	2009-04-06 15:00:00	2009-04-07 15:00:00	0	1319.26515987877	532.676338668815	274.56483093547	2126.50632948305	394.194201717592	325.638688375402	1477105.65990999	87271.1684846077	27962.0800044457	23917.3047172565
"HW 002"	"33312 - 33313"	6516	"Honey"	"HW"	FALSE	"HW 002"	"4/19/2009 18:42"	"4/22/2009 5:43"	"4/20/2009 0:42"	"4/22/2009 11:43"	"19-Apr-09"	"24-Apr-09"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	147.47	0	147.47	630	410	186429	30116	NA	4496	NA	4170	"4/19/2009 15:45"	"4/23/2009 9:00"	128.4801	171.68	"HW 002"	FALSE	"Rainfall"	2009-04-20 00:42:00	2009-04-20	2009-04-19 20:45:00	2009-04-23 14:00:00	11100663.759	171.6795	89.25	2009-04-19 18:00:00	2009-04-23 04:00:00	27.3110068	0	46355.0993543321	0	46355.0993543321	198031.549421776	128877.675020521	58601307.5034162	9466536.73394634	1413253.72412746	1310780.25569651
"HW 003"	"33344 - 33345"	6746	"Honey"	"HW"	FALSE	"HW 003"	"5/13/2009 20:17"	"5/15/2009 7:07"	"5/14/2009 2:17"	"5/15/2009 13:07"	"13-May-09"	"16-May-09"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	4040	3150	258287	136511	NA	7455	NA	4620	"5/13/2009 19:45"	"5/15/2009 18:00"	239.5673	1131	"HW 003"	FALSE	"Rainfall"	2009-05-14 02:17:00	2009-05-14	2009-05-14 00:45:00	2009-05-15 23:00:00	20698540.29225	1131.024	46.25	2009-05-13 02:00:00	2009-05-15 06:00:00	35.028328832	0	0	0	0	2367914.25614126	1846269.77892202	151386502.345534	80011471.0445789	4369505.14344878	2707862.34241896
"HW 005"	"33384 - 33385"	6919	"Honey"	"HW"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"6/8/2009 8:51"	"6/9/2009 3:34"	"8-Jun-09"	"12-Jun-09"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	291.85	291.85	7200	3200	2210649	639176	"BLD1:1"	60	NA	1620	"6/8/2009 1:15"	"6/9/2009 4:30"	108.5829	888.61	"HW 005"	FALSE	"Rainfall"	2009-06-08 08:51:00	2009-06-08	2009-06-08 06:15:00	2009-06-09 09:30:00	9382004.9102625	888.609	27.25	2009-06-08 05:00:00	2009-06-08 22:00:00	25.06908276	0	0	77535.4374615684	77535.4374615684	1912815.31513892	850140.140061741	587300453.277296	169809116.926282	15940.1276261576	430383.445906256
"HW 006"	"33397 - 33398"	7004	"Honey"	"HW"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"6/16/2009 2:51"	"6/16/2009 17:42"	"15-Jun-09"	"15-Jun-09"	"Jun"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	870	660	235521	9995	NA	244	NA	611	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	NA	NA	NA	NA	2009-06-16 02:51:00	2009-06-16	2009-06-16 01:51:00	2009-06-16 16:42:00	59353.36344	1.18959	14.85	2009-06-16 01:00:00	2009-06-16 16:00:00	0	0	0	0	0	1462.20907590724	1109.2620575848	395840.165249137	16798.5973720608	410.090821288927	1026.90775330957
"HW 009"	"33443 - 33444"	7772	"Honey"	"HW"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"8/11/2009 18:12"	"8/12/2009 14:29"	"11-Aug-09"	"14-Aug-09"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	7.21	0	0	7.21	740	1070	62578	30118	NA	263	NA	68	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	NA	NA	NA	NA	2009-08-11 18:12:00	2009-08-11	2009-08-11 17:12:00	2009-08-12 13:29:00	222329.6630891	4.038744	20.2833333333333	2009-08-11 17:00:00	2009-08-12 13:00:00	0	45.3918164799501	0	0	45.3918164799501	4658.79947228337	6736.37220992325	393970.747806147	189613.138521933	1655.76251514936	428.105897453066
"HW 011"	"33462 - 33463"	8304	"Honey"	"HW"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"9/14/2009 15:59"	"9/15/2009 14:29"	"14-Sep-09"	"17-Sep-09"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	24.81	0	0	24.81	440	320	243017	23683	NA	1819	NA	360	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	NA	NA	NA	NA	2009-09-14 15:59:00	2009-09-14	2009-09-14 14:59:00	2009-09-15 13:29:00	77165.863239	1.33407	22.5	2009-09-14 04:00:00	2009-09-14 06:00:00	2.1700376	54.2121799437696	0	0	54.2121799437696	961.441321050327	699.230051672965	531014.967085653	51749.5791055338	3974.68582497851	786.633808132086
"HW 012"	"33474 - 33475"	8458	"Honey"	"HW"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"9/22/2009 18:39"	"9/23/2009 8:18"	"22-Sep-09"	""	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"9/22/2009 12:39"	"9/23/2009 4:00"	19.7835	147.28	"HW 012"	FALSE	"Rainfall"	2009-09-22 18:39:00	2009-09-22	2009-09-22 17:39:00	2009-09-23 09:00:00	1709452.5705675	147.2808	15.35	2009-09-22 02:00:00	2009-09-23 00:00:00	7.268354156	0	0	0	0	NA	NA	NA	NA	NA	NA
"HW 013"	"33484 - 33485"	NA	"Honey"	"HW"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"9/28/2009 1:41"	"9/28/2009 12:14"	"27-Sep-09"	"26-Sep-09"	"Sep"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	22000	16000	1397199	121857	NA	8553	NA	3539	"9/27/2009 19:30"	"9/28/2009 21:00"	30.525	195.22	"HW 013"	FALSE	"Rainfall"	2009-09-28 01:41:00	2009-09-28	2009-09-28 00:30:00	2009-09-29 02:00:00	2637351.3688125	195.2244	25.5	2009-09-27 20:00:00	2009-09-28 23:00:00	20.138570544	0	0	0	0	1642992.43063703	1194903.58591784	104344880.958801	9100460.39182436	638750.648147203	264297.736910201
"HW 014"	"33494 - 33495"	NA	"Honey"	"HW"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"10/2/2009 2:29"	"10/2/2009 15:23"	"1-Oct-09"	NA	"Oct"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009 19:45"	"10/2/2009 14:30"	46.072	199.5487	"HW 014"	FALSE	"Rainfall"	2009-10-02 02:29:00	2009-10-02	2009-10-02 00:45:00	2009-10-02 19:30:00	3984681.1851	199.5487	18.75	2009-10-01 21:00:00	2009-10-02 10:00:00	24.697126815	0	0	0	0	NA	NA	NA	NA	NA	NA
