"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"HW 001"	"Milw Corridor Study USGS"	"33295 - 33296"	"Honey"	FALSE	"HW 001"	"4/6/2009 10:02"	"4/7/2009 10:31"	"6-Apr-09"	"Baseflow"	"Baseflow"	153.95	62.16	0	32.04	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-06 10:02:00	3	2009-04-06	248.15	NA	NA	NA	NA	NA	"Apr"	NA	NA	1	1	1	"4/6/2009 10:02"	"4/7/2009 10:31"	NA	NA	NA	NA	NA	2009-04-06 10:02:00	2009-04-07 10:31:00	302626.8882	4.277254	24.4833333333333	2009-04-06 10:00:00	2009-04-07 10:00:00	0	2126506329.48305	2084526286.21892
"HW 002"	"Milw Corridor Study USGS"	"33312 - 33313"	"Honey"	FALSE	"HW 002"	"4/19/2009 18:42"	"4/22/2009 5:43"	"19-Apr-09"	"Event"	"Rainfall "	0	147.47	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-19 18:42:00	3	2009-04-19	147.47	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	0	"4/19/2009 15:45"	"4/23/2009 9:00"	128.4801	171.68	"HW 002"	FALSE	"Rainfall"	2009-04-19 15:45:00	2009-04-23 09:00:00	11100663.759	171.6795	89.25	2009-04-19 13:00:00	2009-04-22 23:00:00	27.3110068	46355099354.3321	12465236801.1649
"HW 003"	"Milw Corridor Study USGS"	"33344 - 33345"	"Honey"	FALSE	"HW 003"	"5/13/2009 20:17"	"5/15/2009 7:07"	"13-May-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-05-13 20:17:00	4	2009-05-13	0	NA	NA	NA	NA	NA	"May"	NA	NA	0	0	0	"5/13/2009 19:45"	"5/15/2009 18:00"	239.5673	1131	"HW 003"	FALSE	"Rainfall"	2009-05-13 19:45:00	2009-05-15 18:00:00	20698540.29225	1131.024	46.25	2009-05-12 21:00:00	2009-05-15 01:00:00	35.028328832	0	0
"HW 005"	"Milw Corridor Study USGS"	"33384 - 33385"	"Honey"	FALSE	"HW 005"	"6/8/2009 2:51"	"6/8/2009 21:34"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	291.85	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-08 02:51:00	5	2009-06-08	291.85	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	1	"6/8/2009 1:15"	"6/9/2009 4:30"	108.5829	888.61	"HW 005"	FALSE	"Rainfall"	2009-06-08 01:15:00	2009-06-09 04:30:00	9382004.9102625	888.609	27.25	2009-06-08 00:00:00	2009-06-08 17:00:00	25.06908276	77535437461.5684	68288091709.2713
"HW 006"	"Milw Corridor Study USGS"	"33397 - 33398"	"Honey"	FALSE	"HW 006"	"6/15/2009 20:51"	"6/16/2009 11:42"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-15 20:51:00	5	2009-06-15	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"6/15/2009 20:51"	"6/16/2009 11:42"	NA	NA	NA	NA	NA	2009-06-15 20:51:00	2009-06-16 11:42:00	59353.36344	1.18959	14.85	2009-06-15 20:00:00	2009-06-16 11:00:00	0	0	0
"HW 009"	"Milw Corridor Study USGS"	"33443 - 33444"	"Honey"	FALSE	"HW 009"	"8/11/2009 12:12"	"8/12/2009 8:29"	"11-Aug-09"	"Baseflow"	"Baseflow"	7.21	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-08-11 12:12:00	7	2009-08-11	7.21	NA	NA	NA	NA	NA	"Aug"	NA	NA	1	0	0	"8/11/2009 12:12"	"8/12/2009 8:29"	NA	NA	NA	NA	NA	2009-08-11 12:12:00	2009-08-12 08:29:00	222329.6630891	4.038744	20.2833333333333	2009-08-11 12:00:00	2009-08-12 08:00:00	0	45391816.4799501	53709298.0535153
"HW 011"	"Milw Corridor Study USGS"	"33462 - 33463"	"Honey"	FALSE	"HW 011"	"9/14/2009 9:59"	"9/15/2009 8:29"	"14-Sep-09"	"Baseflow"	"Baseflow"	24.81	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-14 09:59:00	8	2009-09-14	24.81	NA	NA	NA	NA	NA	"Sep"	NA	NA	1	0	0	"9/14/2009 9:59"	"9/15/2009 8:29"	NA	NA	NA	NA	NA	2009-09-14 09:59:00	2009-09-15 08:29:00	77165.863239	1.33407	22.5	2009-09-13 23:00:00	2009-09-14 01:00:00	2.1700376	54212179.9437696	57826325.2733542
"HW 012"	"Milw Corridor Study USGS"	"33474 - 33475"	"Honey"	FALSE	"HW 012"	"9/22/2009 12:39"	"9/23/2009 2:18"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-22 12:39:00	8	2009-09-22	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/22/2009 12:39"	"9/23/2009 4:00"	19.7835	147.28	"HW 012"	FALSE	"Rainfall"	2009-09-22 12:39:00	2009-09-23 04:00:00	1709452.5705675	147.2808	15.35	2009-09-21 21:00:00	2009-09-22 19:00:00	7.268354156	0	0
"HW 013"	"Milw Corridor Study USGS"	"33484 - 33485"	"Honey"	FALSE	"HW 013"	"9/27/2009 19:41"	"9/28/2009 6:14"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-27 19:41:00	8	2009-09-27	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/27/2009 19:30"	"9/28/2009 21:00"	30.525	195.22	"HW 013"	FALSE	"Rainfall"	2009-09-27 19:30:00	2009-09-28 21:00:00	2637351.3688125	195.2244	25.5	2009-09-27 15:00:00	2009-09-28 18:00:00	20.138570544	0	0
"HW 014"	"Milw Corridor Study USGS"	"33494 - 33495"	"Honey"	FALSE	"HW 014"	"10/1/2009 20:29"	"10/2/2009 9:23"	"1-Oct-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-10-01 20:29:00	9	2009-10-01	0	NA	NA	NA	NA	NA	"Oct"	NA	NA	0	0	0	"10/1/2009 19:45"	"10/2/2009 14:30"	46.072	199.5487	"HW 014"	FALSE	"Rainfall"	2009-10-01 19:45:00	2009-10-02 14:30:00	3984681.1851	199.5487	18.75	2009-10-01 16:00:00	2009-10-02 05:00:00	24.697126815	0	0
