Date	Total Discharge (cfs)	Baseflow (cfs)	Stormflow (cfs)
12/1/1974	1.5	1.4	0.1
12/2/1974	1.5	1.4	0.1
12/3/1974	1.4	1.4	0
12/4/1974	1.3	1.3	0
12/5/1974	1.3	1.3	0
12/6/1974	11	1.3	9.7
12/7/1974	8	3	5
12/8/1974	3.1	3	0.1
12/9/1974	3	3	0
12/10/1974	1.8	1.6	0.2
12/11/1974	1.6	1.6	0
12/12/1974	2	1.6	0.4
12/13/1974	4	4	0
12/14/1974	5.7	4	1.7
12/15/1974	41	4	37
12/16/1974	7.7	3.5	4.2
12/17/1974	4.7	3.5	1.2
12/18/1974	3.5	3.5	0
12/19/1974	4.2	3.5	0.7
12/20/1974	3.8	3.5	0.3
12/21/1974	3.5	3.5	0
12/22/1974	2.8	2.3	0.5
12/23/1974	4	2.3	1.7
12/24/1974	2.3	2.3	0
12/25/1974	1.5	1.5	0
12/26/1974	2	1.5	0.5
12/27/1974	2	1.5	0.5
12/28/1974	2	2	0
12/29/1974	2.5	2	0.5
12/30/1974	2	2	0
12/31/1974	4.4	1.4	3
1/1/1975	2.5	1.4	1.1
1/2/1975	1.4	1.4	0
1/3/1975	2.8	1.3	1.5
1/4/1975	1.9	1.3	0.6
1/5/1975	1.3	1.3	0
1/6/1975	2.8	2.6	0.2
1/7/1975	2.6	2.6	0
1/8/1975	11	2.6	8.4
1/9/1975	2.9	2.9	0
1/10/1975	97	2.9	94.1
1/11/1975	15	2.9	12.1
1/12/1975	4.4	2.9	1.5
1/13/1975	3.5	2.9	0.6
1/14/1975	2.9	2.9	0
1/15/1975	2.4	1.8	0.6
1/16/1975	2.1	1.8	0.3
1/17/1975	1.8	1.8	0
1/18/1975	2.6	1.2	1.4
1/19/1975	1.2	1.2	0
1/20/1975	1.4	1.2	0.2
1/21/1975	1.6	1.3	0.3
1/22/1975	1.3	1.3	0
1/23/1975	1.3	1.3	0
1/24/1975	9.2	1.5	7.7
1/25/1975	8	1.5	6.5
1/26/1975	1.5	1.5	0
1/27/1975	1.4	1.4	0
1/28/1975	1.4	1.4	0
1/29/1975	19	1.4	17.6
1/30/1975	1.9	1.5	0.4
1/31/1975	1.5	1.5	0
2/1/1975	1.5	1.5	0
2/2/1975	1.2	1.2	0
2/3/1975	1.5	1.2	0.3
2/4/1975	1.5	1.2	0.3
2/5/1975	3.3	1.9	1.4
2/6/1975	2.5	1.9	0.6
2/7/1975	1.9	1.9	0
2/8/1975	1.4	1.4	0
2/9/1975	1.5	1.4	0.1
2/10/1975	1.5	1.4	0.1
2/11/1975	1.4	1.4	0
2/12/1975	1.4	1.4	0
2/13/1975	1.5	1.4	0.1
2/14/1975	1.5	1.5	0
2/15/1975	1.8	1.5	0.3
2/16/1975	4	1.5	2.5
2/17/1975	10	4.9	5.1
2/18/1975	5.5	4.9	0.6
2/19/1975	4.9	4.9	0
2/20/1975	5.5	5.5	0
2/21/1975	7.7	5.5	2.2
2/22/1975	8.8	5.5	3.3
2/23/1975	5.5	5.5	0
2/24/1975	96	5.5	90.5
2/25/1975	21	5.5	15.5
2/26/1975	7.3	4.2	3.1
2/27/1975	4.9	4.2	0.7
2/28/1975	4.2	4.2	0
3/1/1975	2.3	1.3	1
3/2/1975	1.3	1.3	0
3/3/1975	1.4	1.3	0.1
3/4/1975	1.4	1.4	0
3/5/1975	1.9	1.4	0.5
3/6/1975	10	1.4	8.6
3/7/1975	6.6	1.9	4.7
3/8/1975	3.8	1.9	1.9
3/9/1975	1.9	1.9	0
3/10/1975	1.9	1.9	0
3/11/1975	1.9	1.9	0
3/12/1975	2	1.9	0.1
3/13/1975	2.1	2.1	0
3/14/1975	2.3	2.1	0.2
3/15/1975	3.5	2.1	1.4
3/16/1975	15	15	0
3/17/1975	95	15	80
3/18/1975	78	15	63
3/19/1975	52	21	31
3/20/1975	21	21	0
3/21/1975	59	21	38
3/22/1975	102	12	90
3/23/1975	15	12	3
3/24/1975	12	12	0
3/25/1975	8.4	4.4	4
3/26/1975	5.6	4.4	1.2
3/27/1975	4.4	4.4	0
3/28/1975	28	6.9	21.1
3/29/1975	17	6.9	10.1
3/30/1975	6.9	6.9	0
3/31/1975	6.3	5.5	0.8
4/1/1975	5.5	5.5	0
4/2/1975	6.6	5.5	1.1
4/3/1975	11	6	5
4/4/1975	8.8	6	2.8
4/5/1975	6	6	0
4/6/1975	7.7	7.7	0
4/7/1975	12	7.7	4.3
4/8/1975	11	7.7	3.3
4/9/1975	7.7	5.7	2
4/10/1975	5.7	5.7	0
4/11/1975	5.7	5.7	0
4/12/1975	4.9	4	0.9
4/13/1975	4.2	4	0.2
4/14/1975	4	4	0
4/15/1975	4	3.3	0.7
4/16/1975	3.5	3.3	0.2
4/17/1975	3.3	3.3	0
4/18/1975	4	2.8	1.2
4/19/1975	3.3	2.8	0.5
4/20/1975	2.8	2.8	0
4/21/1975	8.4	4.9	3.5
4/22/1975	4.9	4.9	0
4/23/1975	23	4.9	18.1
4/24/1975	5.2	3.3	1.9
4/25/1975	4.2	3.3	0.9
4/26/1975	3.3	3.3	0
4/27/1975	14	14	0
4/28/1975	214	14	200
4/29/1975	30	14	16
4/30/1975	27	5.5	21.5
5/1/1975	8.8	5.5	3.3
5/2/1975	5.5	5.5	0
5/3/1975	6	4	2
5/4/1975	4	4	0
5/5/1975	29	4	25
5/6/1975	40	4.9	35.1
5/7/1975	8.8	4.9	3.9
5/8/1975	4.9	4.9	0
5/9/1975	3.8	2.8	1
5/10/1975	2.8	2.8	0
5/11/1975	10	2.8	7.2
5/12/1975	4.7	3	1.7
5/13/1975	3	3	0
5/14/1975	5.2	3	2.2
5/15/1975	3.5	1.8	1.7
5/16/1975	2.3	1.8	0.5
5/17/1975	1.8	1.8	0
5/18/1975	1.5	1.5	0
5/19/1975	1.9	1.5	0.4
5/20/1975	2.5	1.5	1
5/21/1975	6.6	2.5	4.1
5/22/1975	2.6	2.5	0.1
5/23/1975	2.5	2.5	0
5/24/1975	2.5	1.9	0.6
5/25/1975	1.9	1.9	0
5/26/1975	1.9	1.9	0
5/27/1975	1.9	1.8	0.1
5/28/1975	1.8	1.8	0
5/29/1975	1.8	1.8	0
5/30/1975	13	1.3	11.7
5/31/1975	5.4	1.3	4.1
6/1/1975	1.3	1.3	0
6/2/1975	1.5	1.5	0
6/3/1975	2.6	1.5	1.1
6/4/1975	20	1.5	18.5
6/5/1975	18	1.4	16.6
6/6/1975	2.2	1.4	0.8
6/7/1975	1.4	1.4	0
6/8/1975	1.1	1.1	0
6/9/1975	1.6	1.1	0.5
6/10/1975	1.8	1.1	0.7
