Date	Total Discharge (cfs)	Baseflow (cfs)	Stormflow (cfs)
12/1/1974	1.7	1.6	0.1
12/2/1974	1.8	1.6	0.2
12/3/1974	1.6	1.6	0
12/4/1974	1.5	1.4	0.1
12/5/1974	1.4	1.4	0
12/6/1974	1.5	1.4	0.1
12/7/1974	1.8	1.7	0.1
12/8/1974	2.1	1.7	0.4
12/9/1974	1.7	1.7	0
12/10/1974	1.7	1.5	0.2
12/11/1974	1.6	1.5	0.1
12/12/1974	1.5	1.5	0
12/13/1974	1.5	1.5	0
12/14/1974	2.5	1.5	1
12/15/1974	15	1.5	13.5
12/16/1974	14	5.8	8.2
12/17/1974	8.6	5.8	2.8
12/18/1974	5.8	5.8	0
12/19/1974	4.8	3.8	1
12/20/1974	4.1	3.8	0.3
12/21/1974	3.8	3.8	0
12/22/1974	3.3	2.8	0.5
12/23/1974	3.2	2.8	0.4
12/24/1974	2.8	2.8	0
12/25/1974	2.5	2.2	0.3
12/26/1974	2.2	2.2	0
12/27/1974	2.3	2.2	0.1
12/28/1974	2.3	2.2	0.1
12/29/1974	2.3	2.2	0.1
12/30/1974	2.2	2.2	0
12/31/1974	2.1	1.9	0.2
1/1/1975	2.1	1.9	0.2
1/2/1975	1.9	1.9	0
1/3/1975	2.1	1.9	0.2
1/4/1975	1.9	1.9	0
1/5/1975	1.9	1.9	0
1/6/1975	2	2	0
1/7/1975	2	2	0
1/8/1975	2.3	2	0.3
1/9/1975	2.2	2.2	0
1/10/1975	22	2.2	19.8
1/11/1975	11	2.2	8.8
1/12/1975	11	6	5
1/13/1975	10	6	4
1/14/1975	6	6	0
1/15/1975	3.8	2.7	1.1
1/16/1975	3.1	2.7	0.4
1/17/1975	2.7	2.7	0
1/18/1975	2.7	2.3	0.4
1/19/1975	2.4	2.3	0.1
1/20/1975	2.3	2.3	0
1/21/1975	2.3	1.8	0.5
1/22/1975	1.8	1.8	0
1/23/1975	1.8	1.8	0
1/24/1975	2.1	2.1	0
1/25/1975	3.5	2.1	1.4
1/26/1975	2.8	2.1	0.7
1/27/1975	2.3	2.2	0.1
1/28/1975	2.2	2.2	0
1/29/1975	3	2.2	0.8
1/30/1975	2.2	1.9	0.3
1/31/1975	2	1.9	0.1
2/1/1975	1.9	1.9	0
2/2/1975	1.8	1.7	0.1
2/3/1975	1.8	1.7	0.1
2/4/1975	1.7	1.7	0
2/5/1975	1.8	1.7	0.1
2/6/1975	1.7	1.7	0
2/7/1975	1.7	1.7	0
2/8/1975	1.6	1.3	0.3
2/9/1975	1.3	1.3	0
2/10/1975	1.3	1.3	0
2/11/1975	1.4	1.4	0
2/12/1975	1.4	1.4	0
2/13/1975	1.4	1.4	0
2/14/1975	1.3	1.3	0
2/15/1975	1.4	1.3	0.1
2/16/1975	1.4	1.3	0.1
2/17/1975	1.5	1.5	0
2/18/1975	1.7	1.5	0.2
2/19/1975	1.7	1.5	0.2
2/20/1975	1.6	1.5	0.1
2/21/1975	1.5	1.5	0
2/22/1975	1.5	1.5	0
2/23/1975	1.5	1.5	0
2/24/1975	5	1.5	3.5
2/25/1975	7	1.5	5.5
2/26/1975	6.6	3.4	3.2
2/27/1975	4.5	3.4	1.1
2/28/1975	3.4	3.4	0
3/1/1975	3	2.3	0.7
3/2/1975	2.8	2.3	0.5
3/3/1975	2.3	2.3	0
3/4/1975	2.2	2	0.2
3/5/1975	2	2	0
3/6/1975	2	2	0
3/7/1975	2	1.8	0.2
3/8/1975	1.8	1.8	0
3/9/1975	1.8	1.8	0
3/10/1975	1.8	1.7	0.1
3/11/1975	1.7	1.7	0
3/12/1975	1.8	1.7	0.1
3/13/1975	1.8	1.7	0.1
3/14/1975	1.7	1.7	0
3/15/1975	1.7	1.7	0
3/16/1975	1.9	1.9	0
3/17/1975	3.5	1.9	1.6
3/18/1975	27	1.9	25.1
3/19/1975	95	77	18
3/20/1975	88	77	11
3/21/1975	77	77	0
3/22/1975	127	55	72
3/23/1975	55	55	0
3/24/1975	55	55	0
3/25/1975	34	16	18
3/26/1975	22	16	6
3/27/1975	16	16	0
3/28/1975	15	15	0
3/29/1975	22	15	7
3/30/1975	17	15	2
3/31/1975	19	14	5
4/1/1975	19	14	5
4/2/1975	14	14	0
4/3/1975	11	10	1
4/4/1975	10	10	0
4/5/1975	10	10	0
4/6/1975	11	11	0
4/7/1975	17	11	6
4/8/1975	19	11	8
4/9/1975	16	12	4
4/10/1975	13	12	1
4/11/1975	12	12	0
4/12/1975	11	9.3	1.7
4/13/1975	9.8	9.3	0.5
4/14/1975	9.3	9.3	0
4/15/1975	9.1	8.4	0.7
4/16/1975	8.8	8.4	0.4
4/17/1975	8.4	8.4	0
4/18/1975	9.1	8.6	0.5
4/19/1975	11	8.6	2.4
4/20/1975	8.6	8.6	0
4/21/1975	7	6.8	0.2
4/22/1975	6.8	6.8	0
4/23/1975	7.9	6.8	1.1
4/24/1975	7.9	5.6	2.3
4/25/1975	6.6	5.6	1
4/26/1975	5.6	5.6	0
4/27/1975	5.6	5.6	0
4/28/1975	45	5.6	39.4
4/29/1975	32	5.6	26.4
4/30/1975	23	13	10
5/1/1975	17	13	4
5/2/1975	13	13	0
5/3/1975	11	8.1	2.9
5/4/1975	9.6	8.1	1.5
5/5/1975	8.1	8.1	0
5/6/1975	7	5.4	1.6
5/7/1975	6.2	5.4	0.8
5/8/1975	5.4	5.4	0
5/9/1975	5	4.3	0.7
5/10/1975	4.5	4.3	0.2
5/11/1975	4.3	4.3	0
5/12/1975	4.3	3.8	0.5
5/13/1975	3.8	3.8	0
5/14/1975	3.8	3.8	0
5/15/1975	3.6	3.3	0.3
5/16/1975	3.5	3.3	0.2
5/17/1975	3.3	3.3	0
5/18/1975	3.2	3	0.2
5/19/1975	3.2	3	0.2
5/20/1975	3	3	0
5/21/1975	2.9	2.8	0.1
5/22/1975	2.8	2.8	0
5/23/1975	2.8	2.8	0
5/24/1975	7.2	3.6	3.6
5/25/1975	4.3	3.6	0.7
5/26/1975	3.6	3.6	0
5/27/1975	2.9	2.3	0.6
5/28/1975	2.6	2.3	0.3
5/29/1975	2.3	2.3	0
5/30/1975	2.2	1.8	0.4
5/31/1975	2.1	1.8	0.3
6/1/1975	1.8	1.8	0
6/2/1975	1.6	1.5	0.1
6/3/1975	1.5	1.5	0
6/4/1975	1.7	1.5	0.2
6/5/1975	2.6	1.5	1.1
6/6/1975	1.8	1.5	0.3
6/7/1975	1.5	1.5	0
6/8/1975	1.3	0.73	0.57
6/9/1975	1.1	0.73	0.37
6/10/1975	0.73	0.73	0
6/11/1975	0.73	0.73	0
6/12/1975	1.4	0.73	0.67
6/13/1975	1.2	0.73	0.47
6/14/1975	1.1	1.1	0
6/15/1975	4.6	1.1	3.5
6/16/1975	3.6	1.1	2.5
6/17/1975	10	6.2	3.8
6/18/1975	9.6	6.2	3.4
6/19/1975	6.2	6.2	0
6/20/1975	4.3	2.6	1.7
6/21/1975	3.3	2.6	0.7
6/22/1975	2.6	2.6	0
6/23/1975	3.8	3.2	0.6
6/24/1975	3.8	3.2	0.6
6/25/1975	3.2	3.2	0
6/26/1975	2.6	1.8	0.8
6/27/1975	2	1.8	0.2
6/28/1975	1.8	1.8	0
6/29/1975	1.5	1.1	0.4
6/30/1975	1.3	1.1	0.2
7/1/1975	1.1	1.1	0
7/2/1975	1	0.85	0.15
7/3/1975	0.97	0.85	0.12
7/4/1975	0.85	0.85	0
7/5/1975	0.8	0.8	0
7/6/1975	1	0.8	0.2
7/7/1975	1.2	0.8	0.4
7/8/1975	0.97	0.74	0.23
7/9/1975	0.85	0.74	0.11
7/10/1975	0.74	0.74	0
7/11/1975	0.8	0.8	0
7/12/1975	0.91	0.8	0.11
7/13/1975	0.8	0.8	0
7/14/1975	0.74	0.62	0.12
7/15/1975	0.68	0.62	0.06
7/16/1975	0.62	0.62	0
7/17/1975	0.57	0.57	0
7/18/1975	1.7	0.57	1.13
7/19/1975	2.2	0.57	1.63
7/20/1975	2.2	1	1.2
7/21/1975	1.4	1	0.4
7/22/1975	1	1	0
7/23/1975	3	3	0
7/24/1975	17	3	14
7/25/1975	5.4	3	2.4
7/26/1975	3.2	1.7	1.5
7/27/1975	2.2	1.7	0.5
7/28/1975	1.7	1.7	0
7/29/1975	1.3	0.97	0.33
7/30/1975	1.1	0.97	0.13
7/31/1975	0.97	0.97	0
8/1/1975	0.91	0.91	0
8/2/1975	1.3	0.91	0.39
8/3/1975	1.6	0.91	0.69
8/4/1975	1.1	0.91	0.19
8/5/1975	0.97	0.91	0.06
8/6/1975	0.91	0.91	0
8/7/1975	0.8	0.62	0.18
8/8/1975	0.68	0.62	0.06
8/9/1975	0.62	0.62	0
8/10/1975	0.62	0.62	0
8/11/1975	0.62	0.62	0
8/12/1975	0.62	0.62	0
8/13/1975	0.62	0.53	0.09
8/14/1975	0.57	0.53	0.04
8/15/1975	0.53	0.53	0
8/16/1975	0.5	0.5	0
8/17/1975	0.51	0.5	0.01
8/18/1975	0.57	0.5	0.07
8/19/1975	0.61	0.61	0
8/20/1975	0.74	0.61	0.13
8/21/1975	0.78	0.61	0.17
8/22/1975	5.2	5.2	0
8/23/1975	18	5.2	12.8
8/24/1975	7.8	5.2	2.6
8/25/1975	8.1	3.5	4.6
8/26/1975	5.6	3.5	2.1
8/27/1975	3.5	3.5	0
8/28/1975	2.3	2.3	0
8/29/1975	4.1	2.3	1.8
8/30/1975	5.7	2.3	3.4
8/31/1975	4.6	2.4	2.2
9/1/1975	3.3	2.4	0.9
9/2/1975	2.4	2.4	0
9/3/1975	1.9	1.5	0.4
9/4/1975	1.5	1.5	0
9/5/1975	1.7	1.5	0.2
9/6/1975	1.7	1.1	0.6
9/7/1975	1.4	1.1	0.3
9/8/1975	1.1	1.1	0
9/9/1975	0.96	0.85	0.11
9/10/1975	0.91	0.85	0.06
9/11/1975	0.85	0.85	0
9/12/1975	0.78	0.65	0.13
