"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"LD 001"	"33301 - 33302"	6509	"Donges Bay"	"LD"	FALSE	"LD 001"	"4/7/2009 17:57"	"4/8/2009 5:48"	"4/7/2009 23:57"	"4/8/2009 11:48"	"7-Apr-09"	"10-Apr-09"	"Apr"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	12.53	9.13	21.66	8	5	93333	23440	NA	1380	NA	505	"4/7/2009 17:57"	"4/8/2009 5:48"	NA	NA	NA	NA	NA	2009-04-07 23:57:00	2009-04-07	2009-04-07 22:57:00	2009-04-08 10:48:00	356197.80303	8.664827	11.85	2009-04-07 22:00:00	2009-04-08 10:00:00	0	0	126.382573766444	92.0888187140965	218.47139248054	80.6911883584635	50.4319927240397	941393.83538256	236425.181890298	13919.229991835	5093.63126512801
"LD 002"	"33308 - 33309"	6517	"Donges Bay"	"LD"	FALSE	"LD 002"	"4/20/2009 11:37"	"4/22/2009 7:47"	"4/20/2009 17:37"	"4/22/2009 13:47"	"20-Apr-09"	"24-Apr-09"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	16.63	16.63	100	460	459236	24115	NA	2224	NA	3309	"4/19/2009 17:15"	"4/22/2009 23:00"	48.2813	21.109	"LD 002"	FALSE	"Rainfall"	2009-04-20 17:37:00	2009-04-20	2009-04-19 22:15:00	2009-04-23 04:00:00	4171496.9955	21.10891	77.75	2009-04-19 20:00:00	2009-04-21 22:00:00	28.783006167	0	0	1964.39614119175	1964.39614119175	11812.3640480562	54336.8746210587	54246628.1597316	2848551.59018876	262706.976428771	390871.126350181
"LD 004"	"33388 - 33389"	6922	"Donges Bay"	"LD"	FALSE	"LD 004"	"6/8/2009 4:19"	"6/9/2009 13:57"	"6/8/2009 10:19"	"6/9/2009 19:57"	"8-Jun-09"	"12-Jun-09"	"Jun"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	8600	6500	1241073	69289	NA	6279	NA	6437	"6/8/2009 2:15"	"6/10/2009 1:30"	30.8558	37.281	"LD 004"	FALSE	"Rainfall"	2009-06-08 10:19:00	2009-06-08	2009-06-08 07:15:00	2009-06-10 06:30:00	2665952.2071	37.28148	47.25	2009-06-08 04:00:00	2009-06-08 22:00:00	27.912591795	0	0	0	0	649225.693162469	490693.837855354	93690288.2197935	5230720.82017841	474010.247368272	485937.882196141
"LD 005"	"33395 - 33396"	7003	"Donges Bay"	"LD"	FALSE	"LD 005"	"6/15/2009 20:47"	"6/16/2009 13:36"	"6/16/2009 2:47"	"6/16/2009 19:36"	"15-Jun-09"	"15-Jun-09"	"Jun"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	490	280	157201	9364	NA	469	NA	1808	"6/15/2009 20:47"	"6/16/2009 13:36"	NA	NA	NA	NA	NA	2009-06-16 02:47:00	2009-06-16	2009-06-16 01:47:00	2009-06-16 18:36:00	134188.94964	2.352928	16.8166666666667	2009-06-16 01:00:00	2009-06-16 18:00:00	0	0	0	0	0	1861.90587163577	1063.9462123633	597333.601891867	35581.4011877497	1782.10990570852	6870.05268554587
"LD 007"	"33441 - 33442"	7768	"Donges Bay"	"LD"	FALSE	"LD 007"	"8/11/2009 8:48"	"8/12/2009 8:35"	"8/11/2009 14:48"	"8/12/2009 14:35"	"11-Aug-09"	"14-Aug-09"	"Aug"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	NA	0	0	NA	630	540	134214	7526	NA	61	NA	94	"8/11/2009 8:48"	"8/12/2009 8:35"	NA	NA	NA	NA	NA	2009-08-11 14:48:00	2009-08-11	2009-08-11 13:48:00	2009-08-12 13:35:00	51862.7222148	0.6837633	23.7833333333333	2009-08-11 13:00:00	2009-08-12 13:00:00	0	NA	0	0	NA	925.210911744001	793.037924352001	197105.170331443	11052.5989234688	89.5839136768001	138.0473423872
"LD 009"	"33458 - 33459"	8302	"Donges Bay"	"LD"	FALSE	"LD 009"	"9/14/2009 9:42"	"9/15/2009 8:35"	"9/14/2009 15:42"	"9/15/2009 14:35"	"14-Sep-09"	"17-Sep-09"	"Sep"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	370	390	410537	8847	NA	1309	NA	173	"9/14/2009 9:42"	"9/15/2009 8:35"	NA	NA	NA	NA	NA	2009-09-14 15:42:00	2009-09-14	2009-09-14 14:42:00	2009-09-15 13:35:00	21782.8209	0.2807845	22.8833333333333	2009-09-14 04:00:00	2009-09-14 06:00:00	1.604711	0	0	0	0	228.223695173535	240.560111128861	253227.759852588	5457.01359783856	807.418424276102	106.709998013572
"LD 010"	"33470 - 33471"	8452	"Donges Bay"	"LD"	FALSE	"LD 010"	"9/22/2009 13:54"	"9/23/2009 7:32"	"9/22/2009 19:54"	"9/23/2009 13:32"	"22-Sep-09"	"26-Sep-09"	"Sep"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	17600	7900	743785	45601	NA	263	NA	353	"9/22/2009 12:45"	"9/23/2009 18:30"	1.4641	3.7736	"LD 010"	FALSE	"Rainfall"	2009-09-22 19:54:00	2009-09-22	2009-09-22 17:45:00	2009-09-23 23:30:00	126497.083635	3.773622	29.75	2009-09-22 02:00:00	2009-09-23 00:00:00	16.87603709	0	0	0	0	63043.1738046473	28297.7882418587	2664236.762971	163342.714128734	942.065608558082	1264.44547460457
"LD 011"	"33480 - 33481"	NA	"Donges Bay"	"LD"	FALSE	"LD 011"	"9/27/2009 20:48"	"9/28/2009 10:54"	"9/28/2009 2:48"	"9/28/2009 16:54"	"27-Sep-09"	NA	"Sep"	"Event"	"Rainfall "	"Rainfall "	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	"9/27/2009 19:15"	"9/28/2009 17:00"	1.282	2.3529	"LD 011"	FALSE	"Rainfall"	2009-09-28 02:48:00	2009-09-28	2009-09-28 00:15:00	2009-09-28 22:00:00	110769.1917075	2.352928	21.75	2009-09-27 20:00:00	2009-09-28 12:00:00	20.74115342	0	0	0	0	NA	NA	NA	NA	NA	NA
"LD 012"	"33490 - 33491"	NA	"Donges Bay"	"LD"	FALSE	"LD 012"	"10/1/2009 22:32"	"10/2/2009 10:10"	"10/2/2009 4:32"	"10/2/2009 16:10"	"1-Oct-09"	NA	"Oct"	"Event"	"Rainfall "	"Rainfall "	NA	0.11	0	0	0.11	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009 20:15"	"10/3/2009 0:30"	3.8364	5.7332	"LD 012"	FALSE	"Rainfall"	2009-10-02 04:32:00	2009-10-02	2009-10-02 01:15:00	2009-10-03 05:30:00	331482.50865	5.733202	28.25	2009-10-02 00:00:00	2009-10-03 01:00:00	29.556340935	1.03251932799107	0	0	1.03251932799107	NA	NA	NA	NA	NA	NA
"LD 013"	"33526 - 33527"	NA	"Donges Bay"	"LD"	TRUE	"LD 013"	"10/22/2009 8:51"	"10/24/2009 3:05"	"10/22/2009 14:51"	"10/24/2009 9:05"	"22-Oct-09"	NA	"Oct"	"Event"	"Rainfall "	"Rainfall "	NA	0.411633882966284	2.05194827434857	0	2.46358215731485	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/2009 7:45"	"10/24/2009 3:05"	18.3138	25.6907	"LD 013"	TRUE	"Rainfall"	2009-10-22 14:51:00	2009-10-22	2009-10-22 12:45:00	2009-10-24 08:05:00	2421740.014035	25.69065	43.3333333333333	2009-10-22 09:00:00	2009-10-23 20:00:00	42.4173283	28.2282218142941	140.714487889992	0	168.942709704286	NA	NA	NA	NA	NA	NA
