"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"LD 001"	"Milw Corridor Study USGS"	"33301 - 33302"	"Donges Bay"	FALSE	"LD 001"	"4/7/2009 17:57"	"4/8/2009 5:48"	"7-Apr-09"	"Baseflow"	"Baseflow"	0	12.53	0	9.13	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-07 17:57:00	3	2009-04-07	21.66	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	1	1	"4/7/2009 17:57"	"4/8/2009 5:48"	NA	NA	NA	NA	NA	2009-04-07 17:57:00	2009-04-08 05:48:00	356197.80303	8.664827	11.85	2009-04-07 17:00:00	2009-04-08 05:00:00	0	218471392.48054	442473706.289701
"LD 002"	"Milw Corridor Study USGS"	"33308 - 33309"	"Donges Bay"	FALSE	"LD 002"	"4/20/2009 11:37"	"4/22/2009 7:47"	"20-Apr-09"	"Event"	"Rainfall "	0	0	0	16.63	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-04-20 11:37:00	3	2009-04-20	16.63	NA	NA	NA	NA	NA	"Apr"	NA	NA	0	0	1	"4/19/2009 17:15"	"4/22/2009 23:00"	48.2813	21.109	"LD 002"	FALSE	"Rainfall"	2009-04-19 17:15:00	2009-04-22 23:00:00	4171496.9955	21.10891	77.75	2009-04-19 15:00:00	2009-04-21 17:00:00	28.783006167	1964396141.19175	606373085.383949
"LD 004"	"Milw Corridor Study USGS"	"33388 - 33389"	"Donges Bay"	FALSE	"LD 004"	"6/8/2009 4:19"	"6/9/2009 13:57"	"8-Jun-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-08 04:19:00	5	2009-06-08	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"6/8/2009 2:15"	"6/10/2009 1:30"	30.8558	37.281	"LD 004"	FALSE	"Rainfall"	2009-06-08 02:15:00	2009-06-10 01:30:00	2665952.2071	37.28148	47.25	2009-06-07 23:00:00	2009-06-08 17:00:00	27.912591795	0	0
"LD 005"	"Milw Corridor Study USGS"	"33395 - 33396"	"Donges Bay"	FALSE	"LD 005"	"6/15/2009 20:47"	"6/16/2009 13:36"	"15-Jun-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-06-15 20:47:00	5	2009-06-15	0	NA	NA	NA	NA	NA	"Jun"	NA	NA	0	0	0	"6/15/2009 20:47"	"6/16/2009 13:36"	NA	NA	NA	NA	NA	2009-06-15 20:47:00	2009-06-16 13:36:00	134188.94964	2.352928	16.8166666666667	2009-06-15 20:00:00	2009-06-16 13:00:00	0	0	0
"LD 007"	"Milw Corridor Study USGS"	"33441 - 33442"	"Donges Bay"	FALSE	"LD 007"	"8/11/2009 8:48"	"8/12/2009 8:35"	"11-Aug-09"	"Baseflow"	"Baseflow"	NA	0	0	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-08-11 08:48:00	7	2009-08-11	NA	NA	NA	NA	NA	NA	"Aug"	NA	NA	NA	0	0	"8/11/2009 8:48"	"8/12/2009 8:35"	NA	NA	NA	NA	NA	2009-08-11 08:48:00	2009-08-12 08:35:00	51862.7222148	0.6837633	23.7833333333333	2009-08-11 08:00:00	2009-08-12 08:00:00	0	NA	NA
"LD 009"	"Milw Corridor Study USGS"	"33458 - 33459"	"Donges Bay"	FALSE	"LD 009"	"9/14/2009 9:42"	"9/15/2009 8:35"	"14-Sep-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-14 09:42:00	8	2009-09-14	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/14/2009 9:42"	"9/15/2009 8:35"	NA	NA	NA	NA	NA	2009-09-14 09:42:00	2009-09-15 08:35:00	21782.8209	0.2807845	22.8833333333333	2009-09-13 23:00:00	2009-09-14 01:00:00	1.604711	0	0
"LD 010"	"Milw Corridor Study USGS"	"33470 - 33471"	"Donges Bay"	FALSE	"LD 010"	"9/22/2009 13:54"	"9/23/2009 7:32"	"22-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-22 13:54:00	8	2009-09-22	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/22/2009 12:45"	"9/23/2009 18:30"	1.4641	3.7736	"LD 010"	FALSE	"Rainfall"	2009-09-22 12:45:00	2009-09-23 18:30:00	126497.083635	3.773622	29.75	2009-09-21 21:00:00	2009-09-22 19:00:00	16.87603709	0	0
"LD 011"	"Milw Corridor Study USGS"	"33480 - 33481"	"Donges Bay"	FALSE	"LD 011"	"9/27/2009 20:48"	"9/28/2009 10:54"	"27-Sep-09"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-09-27 20:48:00	8	2009-09-27	0	NA	NA	NA	NA	NA	"Sep"	NA	NA	0	0	0	"9/27/2009 19:15"	"9/28/2009 17:00"	1.282	2.3529	"LD 011"	FALSE	"Rainfall"	2009-09-27 19:15:00	2009-09-28 17:00:00	110769.1917075	2.352928	21.75	2009-09-27 15:00:00	2009-09-28 07:00:00	20.74115342	0	0
"LD 012"	"Milw Corridor Study USGS"	"33490 - 33491"	"Donges Bay"	FALSE	"LD 012"	"10/1/2009 22:32"	"10/2/2009 10:10"	"1-Oct-09"	"Event"	"Rainfall "	0.11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-10-01 22:32:00	9	2009-10-01	0.11	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	0	0	"10/1/2009 20:15"	"10/3/2009 0:30"	3.8364	5.7332	"LD 012"	FALSE	"Rainfall"	2009-10-01 20:15:00	2009-10-03 00:30:00	331482.50865	5.733202	28.25	2009-10-01 19:00:00	2009-10-02 20:00:00	29.556340935	1032519.32799107	877184.561833121
"LD 013"	"Milw Corridor Study USGS"	"33526 - 33527"	"Donges Bay"	TRUE	"LD 013"	"10/22/2009 8:51"	"10/24/2009 3:05"	"22-Oct-09"	"Event"	"Rainfall "	0.63	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-10-22 08:51:00	9	2009-10-22	2.46358215731485	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	0	0	"10/22/2009 7:45"	"10/24/2009 3:05"	18.3138	25.6907	"LD 013"	TRUE	"Rainfall"	2009-10-22 07:45:00	2009-10-24 03:05:00	2421740.014035	25.69065	43.3333333333333	2009-10-22 04:00:00	2009-10-23 15:00:00	42.4173283	168942709.704286	93568269.990066
