SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
HW001	04-06-2009 10:02	04-07-2009 10:31	no	Baseflow	yes	185.5	Baseflow							
HW002	04-19-2009 18:42	04-22-2009 05:43	no	Rainfall	yes	120	Rainfall event	04-19-2009 15:45	04-23-2009 09:00	04-19-2009 15:45	04-23-2009 09:00	2:57	27:17	
HW003	05-13-2009 20:17	05-15-2009 07:07	no	Rainfall	yes	341	Rainfall event	05-13-2009 19:45	05-15-2009 18:00	05-13-2009 19:45	05-15-2009 18:00	0:32	10:53	
HW004	05-28-2009 09:40	05-28-2009 09:50	no	Blank	no	10	Blank							
HW005	06-08-2009 02:51	06-08-2009 21:34	no	Rainfall	yes	120	"Filter 2. Rainfall Event of approx 1.4"""	06-08-2009 01:15	06-09-2009 04:30	06-08-2009 01:15	06-09-2009 04:30	1:36	6:56	
HW006	06-15-2009 20:51	06-16-2009 11:42	no	Baseflow	yes	181	Baseflow							
HW007S	07-07-2009 10:46	NA	no	Sediment	no	NA	Bed Sediment Sample - upstream site; sand; little organics							
HW008S	07-07-2009 11:05	NA	no	Sediment	no	NA	Bed Sediment Sample - near gage (150' upstream); med to fine sand; little organics							
HW009	08-11-2009 12:12	08-12-2009 08:29	no	Baseflow	yes	206	Baseflow							
HW010	09-02-2009 13:45	NA	no	Sediment	no	NA	Sediment							
HW011	09-14-2009 09:59	09-15-2009 08:29	no	Baseflow	yes	216	Baseflow							
HW012	09-22-2009 12:39	09-23-2009 02:18	no	Rainfall	no	115	Rainfall event	09-22-2009 12:39	09-23-2009 04:00	09-22-2009 12:39	09-23-2009 04:00	0:00	1:42	
HW013	09-27-2009 19:41	09-28-2009 06:14	no	Rainfall	yes	70.2	Rainfall event	09-27-2009 19:30	09-28-2009 21:00	09-27-2009 19:30	09-28-2009 21:00	0:11	14:46	
HW014	10-01-2009 20:29	10-02-2009 09:23	no	Rainfall	no	181	Rainfall event	10-01-2009 19:45	10-02-2009 14:30	10-01-2009 19:45	10-02-2009 14:30	0:44	5:07	
HW015	10-22-2009 09:11	10-24-2009 01:38	no	Rainfall	yes	140	Rainfall event	10-22-2009 06:15	10-24-2009 14:00	10-22-2009 06:15	10-24-2009 14:00	2:56	12:22	
HW016	11-17-2009 17:43	11-18-2009 15:26	no	Baseflow	yes	288	Low flow with a little rain at the end of sampling							
HW017	12-24-2009 22:00	12-27-2009 04:49	no	Mix	no	72.1	Rain on top of snow. Merry Xmas	12-24-2009 15:45	12-27-2009 10:00	12-24-2009 15:45	12-27-2009 10:00	6:15	5:11	
HW017S	12-17-2009 15:30	NA	no	Sediment	no	NA	bed sediment							
HW018	01-20-2010 12:23	01-21-2010 11:15	no	Baseflow	no	175	Baseflow							
HW019	01-24-2010 05:08	01-25-2010 11:04	no	Mix	yes	30	"Snowmelt with a little rain (maybe < 0.25"")"	01-24-2010 04:15	01-26-2010 04:00	01-24-2010 04:15	01-26-2010 04:00	0:53	16:56	
HW020	03-01-2010 09:04	03-02-2010 09:19	no	Baseflow	yes	336	Baseflow with a little snowmelt from mid-thirties temps and sun							
HW021	03-09-2010 17:23	03-14-2010 10:46	no	Mix	yes	120	Snowmelt with rain	03-09-2010 13:10	03-15-2010 09:00	03-09-2010 13:10	03-15-2010 09:00	4:13	22:14	
HW022S	03-23-2010 12:45	NA	no	Sediment	no	NA	bed sediment							
HW023	04-05-2010 22:28	04-06-2010 16:35	no	Rainfall	yes	196	Rain event	04-05-2010 21:30	04-06-2010 20:00	04-05-2010 21:30	04-06-2010 20:00	0:58	3:25	
HW024	05-11-2010 04:50	05-12-2010 06:58	yes	Rainfall	yes	276	Rainfall event	05-11-2010 04:15	05-14-2010 12:00	05-11-2010 04:15	05-12-2010 09:30	0:35	2:32	"spreadsheet indicates multiple saamples, but hydrograph shows 2 distinct storms?"
HW025	05-13-2010 00:21	05-14-2010 06:26	yes	Rainfall	yes	145	Rainfall event			05-12-2010 22:40	05-14-2010 12:00	1:41	5:34	
HW026	05-18-2010 07:44	05-19-2010 06:13	no	Baseflow	yes	211	Baseflow							
HW027	06-02-2010 17:36	06-03-2010 10:19	no	Rainfall 	yes	171	Rainfall event--very flashy thunderstorm	06-02-2010 17:30	06-03-2010 10:30	06-02-2010 17:30	06-03-2010 10:30	0:06	0:11	
HW028	06-15-2010 15:11	06-16-2010 05:45	no	Rainfall 	yes	186	rainfall event- short and intense- CSO	06-15-2010 15:00	06-16-2010 11:30	06-15-2010 15:00	06-16-2010 11:30	0:11	5:45	
HW029S	06-30-2010 13:35	NA	no	Sediment	no	NA	bed sediment							
HW030	07-13-2010 08:51	07-14-2010 08:15	no	Baseflow	yes	211	Baseflow							
HW031	07-15-2010 07:14	07-15-2010 15:23	no	Rainfall	yes	165	CSO--caught the falling hydrograph--flow failure before end of hydrograph	07-14-2010 21:45	07-16-2010 03:00	07-14-2010 21:45	07-16-2010 03:00	9:29	11:37	
HW032	07-22-2010 10:15	07-22-2010 17:39	yes	Rainfall	yes	76	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 09:30	07-26-2010 01:00	07-22-2010 09:30	07-22-2010 17:55	0:45	0:16	"sampled first peak, missed larger second peak"
HW033	07-23-2010 09:55	07-26-2010 04:27	yes	Rainfall	yes	366	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-22-2010 18:00	07-26-2010 01:00	15:55	###############################################################################################################################################################################################################################################################	sampled falling end of second peak and third smaller peak
HW034	08-04-2010 10:39	08-05-2010 08:50	no	Baseflow	yes	150	baseflow 							
HW035	08-05-2010 11:25	08-05-2010 11:35	no	Blank	no	10	blank							
HW035S	08-17-2010 12:20	NA	no	Sediment	no	NA	bed sed							
HW036	08-20-2010 18:43	08-21-2010 08:55	no	Rainfall	yes	273	storm event	08-20-2010 16:45	08-21-2010 18:00	08-20-2010 16:45	08-21-2010 18:00	1:58	9:05	
HW037	10-13-2010 12:41	10-14-2010 10:56	no	Baseflow	yes	226	Baseflow							
HW038	11-10-2010 09:37	11-11-2010 07:47	no	Baseflow	yes	266	Baseflow							
HW039	11-22-2010 07:32	11-23-2010 06:15	no	Rainfall	yes	174	Rainfall	11-22-2010 05:30	11-23-2010 10:30	11-22-2010 05:30	11-23-2010 10:30	2:02	4:15	
HW040	11-29-2010 20:46	11-30-2010 18:10	no	Rainfall	yes	115	Rainfall	11-29-2010 19:00	11-30-2010 22:30	11-29-2010 19:00	11-30-2010 22:30	1:46	4:20	
HW041	12-11-2010 16:26	12-12-2010 18:19	no	Mix	yes	328	"melt, rain, snow"	12-11-2010 13:00	12-13-2010 00:30	12-11-2010 13:00	12-13-2010 00:30	3:26	6:11	
HW042	12-19-2010 12:44	12-20-2010 09:07	no	Baseflow	yes	236	Baseflow							
HW043	01-05-2011 10:01	01-06-2011 08:20	no	Baseflow	yes	231	Baseflow							
HW044	02-16-2011 14:05	02-19-2011 21:22	no	Mix	yes	276	Snowmelt with mist	02-16-2011 11:15	02-20-2011 03:00	02-16-2011 11:15	02-20-2011 03:00	2:50	5:38	
