"Study.Sample.ID"	"USDA.LIDE"	"GLWI.FT"	"Site.Name"	"Abbrev"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"GMTbpdate"	"GMTepdate"	"Collection.Start.Date"	"GLWI.Sample.Arrival"	"cmonth"	"Sample.Type.x"	"Event.Type"	"Event.Type.2"	"GLWI.Event"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Enterovirus"	"Human_virus"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacSp.CN.100ml"	"Entero.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"pdate"	"ddate"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Adenovirus.C.D.F_load"	"Adenovirus.A_load"	"Enterovirus_load"	"Human_virus_load"	"Enterococci.CFU.100ml_load"	"E..coli.CFU.100ml_load"	"BacSp.CN.100ml_load"	"Entero.CN.100ml_load"	"lachnocen_load"	"BacHumancen_load"
"UW 001"	"33618 - 33619"	8722	"Underwood"	"UW"	FALSE	"UW 001"	"3/1/2010 10:14"	"3/2/2010 9:10"	"3/1/2010 16:14"	"3/2/2010 15:10"	"1-Mar-10"	"4-Mar-10"	"Mar"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	710	910	NA	36287	NA	4914	NA	7282	"3/1/2010 10:14"	"3/2/2010 9:10"	NA	NA	NA	NA	NA	2010-03-01 16:14:00	2010-03-01	2010-03-01 16:14:00	2010-03-02 15:10:00	515416.66074	7.515659	22.9333333333333	2010-03-01 16:00:00	2010-03-02 15:00:00	0	0	0	0	0	10362.4319043262	13281.4268069533	NA	529607.840158148	71719.7047575478	106280.604404653
"UW 002"	"33668 - 33669"	8746	"Underwood"	"UW"	FALSE	"UW 002"	"3/11/2010 12:50"	"3/15/2010 8:47"	"3/11/2010 18:50"	"3/15/2010 14:47"	"11-Mar-10"	"17-Mar-10"	"Mar"	"Event"	"Mix"	"Mix"	"Rain"	6.82	0	0	6.82	190	10	NA	36571	NA	2003	NA	165	"3/11/2010 11:20"	"3/16/2010 13:40"	341.5063	138.5945	"UW 002"	FALSE	"Mix"	2010-03-11 18:50:00	2010-03-11	2010-03-11 17:20:00	2010-03-16 18:40:00	29249267.5575	138.5945	121.333333333333	2010-03-11 17:00:00	2010-03-13 15:00:00	7.61914462	5648.64469245489	0	0	5648.64469245489	157366.934247277	8282.4702235409	NA	30289821.8545114	1658978.78577524	136660.758688425
"UW 004"	"33692 - 33693"	8803	"Underwood"	"UW"	FALSE	"UW 004"	"4/7/2010 15:43"	"4/8/2010 15:23"	"4/7/2010 21:43"	"4/8/2010 21:23"	"7-Apr-10"	"10-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	1050	600	NA	23130	NA	6318	NA	5071	"4/7/2010 14:55"	"4/8/2010 22:15"	90.7534	215.3155	"UW 004"	FALSE	"Rainfall"	2010-04-07 21:43:00	2010-04-07	2010-04-07 19:55:00	2010-04-09 03:15:00	7841084.6685	215.3155	31.3333333333333	2010-04-07 19:00:00	2010-04-08 21:00:00	5.888588142	0	0	0	0	233136.531256438	133220.875003679	NA	5135664.73139181	1402815.81378874	1125938.42857276
"UW 005"	"33702 - 33703"	8857	"Underwood"	"UW"	FALSE	"UW 005"	"4/25/2010 6:16"	"4/26/2010 8:03"	"4/25/2010 12:16"	"4/26/2010 14:03"	"25-Apr-10"	"28-Apr-10"	"Apr"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	640	470	NA	44001	NA	1463	NA	1703	"4/24/2010 23:30"	"4/27/2010 19:30"	262.9115	744.8705	"UW 005"	FALSE	"Rainfall"	2010-04-25 12:16:00	2010-04-25	2010-04-25 04:30:00	2010-04-28 00:30:00	22715650.6605	744.8705	68	2010-04-24 02:00:00	2010-04-26 04:00:00	41.931378913	0	0	0	0	411670.780794139	302320.729645696	NA	28303009.415192	941053.675471602	1095430.2182694
"UW 006"	"33710 - 33711"	8950	"Underwood"	"UW"	FALSE	"UW 006"	"5/11/2010 4:32"	"5/12/2010 8:27"	"5/11/2010 10:32"	"5/12/2010 14:27"	"11-May-10"	"14-May-10"	"May"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	960	620	NA	128744	NA	4045	NA	7528	"5/11/2010 3:30"	"5/12/2010 12:00"	100.7265	157.89	"UW 006"	FALSE	"Rainfall"	2010-05-11 10:32:00	2010-05-11	2010-05-11 08:30:00	2010-05-12 17:00:00	8702782.3494	157.89	32.5	2010-05-11 02:00:00	2010-05-12 04:00:00	39.096126564	0	0	0	0	236577.938603064	152789.918681146	NA	31727073.0494926	996831.001718119	1855165.33521236
"UW 007"	"33987 - 33986"	8972	"Underwood"	"UW"	FALSE	"UW 007"	"5/18/2010 7:53"	"5/19/2010 7:41"	"5/18/2010 13:53"	"5/19/2010 13:41"	"18-May-10"	"21-May-10"	"May"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0.39	0	0.39	350	180	NA	9617	NA	1521	NA	2917	"5/18/2010 7:53"	"5/19/2010 7:41"	NA	NA	NA	NA	NA	2010-05-18 13:53:00	2010-05-18	2010-05-18 12:53:00	2010-05-19 12:41:00	1198943.7345	14.91947	23.8	2010-05-19 02:00:00	2010-05-19 04:00:00	0.8447145	0	13.2406192628877	0	13.2406192628877	11882.6070307966	6111.05504440969	NA	326500.090900489	51638.4151252619	99033.0420252393
"UW 013"	"33990 - 33989"	9457	"Underwood"	"UW"	FALSE	"UW 013"	"7/13/2010 9:56"	"7/14/2010 8:06"	"7/13/2010 15:56"	"7/14/2010 14:06"	"13-Jul-10"	"16-Jul-10"	"Jul"	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	0	0	0	0	270	400	NA	7222	"BLD1:1"	60	"BLD1:1"	60	"7/13/2010 9:56"	"7/14/2010 8:06"	NA	NA	NA	NA	NA	2010-07-13 15:56:00	2010-07-13	2010-07-13 14:56:00	2010-07-14 13:06:00	655945.003538	9.020561	22.1666666666667	2010-07-13 14:00:00	2010-07-14 13:00:00	0	0	0	0	0	5015.0593902531	7429.71761518978	NA	134143.551542251	1114.45764227847	1114.45764227847
"UW 014"	"34572 - 34571"	9498	"Underwood"	"UW"	FALSE	"UW 014"	"7/15/2010 7:20"	"7/16/2010 7:10"	"7/15/2010 13:20"	"7/16/2010 13:10"	"15-Jul-10"	"16-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0	0	0	0	35000	10400	NA	203195	NA	600	NA	428	"7/14/2010 21:00"	"7/17/2010 4:30"	1166.9727	6296.4751	"UW 014"	FALSE	"Rainfall"	2010-07-15 13:20:00	2010-07-15	2010-07-15 02:00:00	2010-07-17 09:30:00	100826533.1073	6296.475	55.5	2010-07-15 02:00:00	2010-07-15 13:00:00	96.64182227	0	0	0	0	99928131.4640918	29692930.4921873	NA	580139904.938461	1713053.68224157	1221978.29333232
"UW 015"	"33992 - 33991"	9572	"Underwood"	"UW"	TRUE	"UW 015"	"7/22/2010 11:41"	"7/23/2010 10:16"	"7/22/2010 17:41"	"7/23/2010 16:16"	"22-Jul-10"	"23-Jul-10"	"Jul"	"Event"	"Rainfall "	"CSO"	"CSO"	0.14140946774226	0.14140946774226	1.26090108736848	1.543720022853	40774.3522023777	8365.07644490935	NA	104098.551932873	NA	4820.55026889295	NA	2356.00865827113	"7/22/2010 9:30"	"7/23/2010 10:31"	1090.2579	3782.0271	"UW 015"	TRUE	"Rainfall"	2010-07-22 17:41:00	2010-07-22	2010-07-22 14:30:00	2010-07-23 15:31:00	159947956.4595	3782.027	25.0166666666667	2010-07-22 13:00:00	2010-07-23 15:00:00	108.5847892576	640.474836355658	640.474836355658	5710.90062417128	6991.8502968826	184676082.664595	37887286.1392914	NA	471485425.117282	21833341.1044356	10670885.6482583
"UW 019"	"33999 - 33998"	9888	"Underwood"	"UW"	FALSE	"UW 019"	"8/20/2010 18:45"	"8/23/2010 5:09"	"8/21/2010 0:45"	"8/23/2010 11:09"	"20-Aug-10"	"23-Aug-10"	"Aug"	"Event"	"Rainfall "	"Rainfall "	"Rain"	0	0	0	0	8700	9900	NA	207940	NA	2327	NA	4030	"8/20/2010 18:15"	"8/23/2010 7:30"	79.8404	361.9356	"UW 019"	FALSE	"Rainfall"	2010-08-21 00:45:00	2010-08-21	2010-08-20 23:15:00	2010-08-23 12:30:00	6898187.61945	361.9356	61.25	2010-08-20 07:00:00	2010-08-22 02:00:00	24.980651519	0	0	0	0	1699413.80907035	1933815.71376971	NA	40617943.3859873	454544.360196174	787199.729948681
