"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type.x"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"start_date"	"end_date"	"volume"	"peak_q"	"USGS.ID.new"	"Sample.Combined."	"Sample.Type.y"	"Hbpdate"	"Hepdate"	"event.vol"	"Qmax"	"duration"	"Braindate"	"Eraindate"	"depth"	"Load_Human_virus"	"Daily_Human_virus"
"UW 001"	"Milw Corridor Study USGS"	"33618 - 33619"	"Underwood"	FALSE	"UW 001"	"3/1/2010 10:14"	"3/2/2010 9:10"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	13.61	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-01 10:14:00	2	2010-03-01	0	13.61	0	0	13.61	13.61	"Mar"	0	0	0	0	0	"3/1/2010 10:14"	"3/2/2010 9:10"	NA	NA	NA	NA	NA	2010-03-01 10:14:00	2010-03-02 09:10:00	515416.66074	7.515659	22.9333333333333	2010-03-01 10:00:00	2010-03-02 09:00:00	0	0	0
"UW 002"	"Milw Corridor Study USGS"	"33668 - 33669"	"Underwood"	FALSE	"UW 002"	"3/11/2010 12:50"	"3/15/2010 8:47"	"11-Mar-10"	"Event"	"Mix"	6.82	0	0	0	0	0	0	0	12.46	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-03-11 12:50:00	2	2010-03-11	6.82	12.46	0	0	19.28	19.28	"Mar"	0	0	1	0	0	"3/11/2010 11:20"	"3/16/2010 13:40"	341.5063	138.5945	"UW 002"	FALSE	"Mix"	2010-03-11 11:20:00	2010-03-16 13:40:00	29249267.5575	138.5945	121.333333333333	2010-03-11 12:00:00	2010-03-13 10:00:00	7.61914462	5648644692.45489	1117314334.7713
"UW 004"	"Milw Corridor Study USGS"	"33692 - 33693"	"Underwood"	FALSE	"UW 004"	"4/7/2010 15:43"	"4/8/2010 15:23"	"7-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-07 15:43:00	3	2010-04-07	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"4/7/2010 14:55"	"4/8/2010 22:15"	90.7534	215.3155	"UW 004"	FALSE	"Rainfall"	2010-04-07 14:55:00	2010-04-08 22:15:00	7841084.6685	215.3155	31.3333333333333	2010-04-07 14:00:00	2010-04-08 16:00:00	5.888588142	0	0
"UW 005"	"Milw Corridor Study USGS"	"33702 - 33703"	"Underwood"	FALSE	"UW 005"	"4/25/2010 6:16"	"4/26/2010 8:03"	"25-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-04-25 06:16:00	3	2010-04-25	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"4/24/2010 23:30"	"4/27/2010 19:30"	262.9115	744.8705	"UW 005"	FALSE	"Rainfall"	2010-04-24 23:30:00	2010-04-27 19:30:00	22715650.6605	744.8705	68	2010-04-23 21:00:00	2010-04-25 23:00:00	41.931378913	0	0
"UW 006"	"Milw Corridor Study USGS"	"33710 - 33711"	"Underwood"	FALSE	"UW 006"	"5/11/2010 4:32"	"5/12/2010 8:27"	"11-May-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-11 04:32:00	4	2010-05-11	0	0	0	0	0	0	"May"	0	0	0	0	0	"5/11/2010 3:30"	"5/12/2010 12:00"	100.7265	157.89	"UW 006"	FALSE	"Rainfall"	2010-05-11 03:30:00	2010-05-12 12:00:00	8702782.3494	157.89	32.5	2010-05-10 21:00:00	2010-05-11 23:00:00	39.096126564	0	0
"UW 007"	"Milw Corridor Study USGS"	"33987 - 33986"	"Underwood"	FALSE	"UW 007"	"5/18/2010 7:53"	"5/19/2010 7:41"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-05-18 07:53:00	4	2010-05-18	0.39	0	0	0	0.39	0.39	"May"	0	0	0	1	0	"5/18/2010 7:53"	"5/19/2010 7:41"	NA	NA	NA	NA	NA	2010-05-18 07:53:00	2010-05-19 07:41:00	1198943.7345	14.91947	23.8	2010-05-18 21:00:00	2010-05-18 23:00:00	0.8447145	13240619.2628877	13351884.9709792
"UW 013"	"Milw Corridor Study USGS"	"33990 - 33989"	"Underwood"	FALSE	"UW 013"	"7/13/2010 9:56"	"7/14/2010 8:06"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.85	0	0	0	0	0	0	0	2010-07-13 09:56:00	6	2010-07-13	0	0	0	34.85	0	34.85	"Jul"	1	0	0	0	0	"7/13/2010 9:56"	"7/14/2010 8:06"	NA	NA	NA	NA	NA	2010-07-13 09:56:00	2010-07-14 08:06:00	655945.003538	9.020561	22.1666666666667	2010-07-13 09:00:00	2010-07-14 08:00:00	0	0	0
"UW 014"	"Milw Corridor Study USGS"	"34572 - 34571"	"Underwood"	FALSE	"UW 014"	"7/15/2010 7:20"	"7/16/2010 7:10"	"15-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-15 07:20:00	6	2010-07-15	0	0	0	0	0	0	"Jul"	0	0	0	0	0	"7/14/2010 21:00"	"7/17/2010 4:30"	1166.9727	6296.4751	"UW 014"	FALSE	"Rainfall"	2010-07-14 21:00:00	2010-07-17 04:30:00	100826533.1073	6296.475	55.5	2010-07-14 21:00:00	2010-07-15 08:00:00	96.64182227	0	0
"UW 015"	"Milw Corridor Study USGS"	"33992 - 33991"	"Underwood"	TRUE	"UW 015"	"7/22/2010 11:41"	"7/23/2010 10:16"	"22-Jul-10"	"Event"	"Rainfall "	0.24	0.24	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-07-22 11:41:00	6	2010-07-22	1.543720022853	0	0	0	2.62	2.62	"Jul"	0	0	1	1	1	"7/22/2010 9:30"	"7/23/2010 10:31"	1090.2579	3782.0271	"UW 015"	TRUE	"Rainfall"	2010-07-22 09:30:00	2010-07-23 10:31:00	159947956.4595	3782.027	25.0166666666667	2010-07-22 08:00:00	2010-07-23 10:00:00	108.5847892576	6991850296.8826	6707704482.01928
"UW 019"	"Milw Corridor Study USGS"	"33999 - 33998"	"Underwood"	FALSE	"UW 019"	"8/20/2010 18:45"	"8/23/2010 5:09"	"20-Aug-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-08-20 18:45:00	7	2010-08-20	0	0	0	0	0	0	"Aug"	0	0	0	0	0	"8/20/2010 18:15"	"8/23/2010 7:30"	79.8404	361.9356	"UW 019"	FALSE	"Rainfall"	2010-08-20 18:15:00	2010-08-23 07:30:00	6898187.61945	361.9356	61.25	2010-08-20 02:00:00	2010-08-21 21:00:00	24.980651519	0	0
"UW 020"	"Milw Corridor Study USGS"	"34065 - 34064"	"Underwood"	FALSE	"UW 020"	"9/1/2010 3:24"	"9/1/2010 15:17"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-01 03:24:00	8	2010-09-01	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"9/1/2010 2:45"	"9/1/2010 17:45"	32.3346	204.522	"UW 020"	FALSE	"Rainfall"	2010-09-01 02:45:00	2010-09-01 17:45:00	2793768.27975	204.522	15	2010-08-31 17:00:00	2010-09-01 17:00:00	13.181227893	0	0
"UW 021"	"Milw Corridor Study USGS"	"34123 - 34122"	"Underwood"	FALSE	"UW 021"	"9/13/2010 8:52"	"9/14/2010 7:41"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	1.55	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-09-13 08:52:00	8	2010-09-13	2.16	0	0	0	2.16	2.16	"Sep"	0	0	0	1	1	"9/13/2010 8:52"	"9/14/2010 7:41"	NA	NA	NA	NA	NA	2010-09-13 08:52:00	2010-09-14 07:41:00	437179.19118	5.849531	22.8166666666667	2010-09-13 08:00:00	2010-09-14 07:00:00	0	26739797.9540948	28126595.364424
"UW 022"	"Milw Corridor Study USGS"	"34073 - 34072"	"Underwood"	FALSE	"UW 022"	"10/13/2010 8:08"	"10/14/2010 7:23"	"13-Oct-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-13 08:08:00	9	2010-10-13	0	0	0	0	0	0	"Oct"	0	0	0	0	0	"10/13/2010 8:08"	"10/14/2010 7:23"	NA	NA	NA	NA	NA	2010-10-13 08:08:00	2010-10-14 07:23:00	211824.4202135	2.799743	23.25	2010-10-13 00:00:00	2010-10-13 23:00:00	0.44030056	0	0
"UW 023"	"Milw Corridor Study USGS"	"34079 - 34078"	"Underwood"	FALSE	"UW 023"	"10/23/2010 23:42"	"10/24/2010 20:57"	"23-Oct-10"	"Event"	"Rainfall "	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-23 23:42:00	9	2010-10-23	3.67	0	0	0	3.67	3.67	"Oct"	0	0	0	0	1	"10/23/2010 23:00"	"10/25/2010 0:30"	44.4407	157.4324	"UW 023"	FALSE	"Rainfall"	2010-10-23 23:00:00	2010-10-25 00:30:00	3839670.5568	157.4324	25.5	2010-10-23 08:00:00	2010-10-24 12:00:00	22.963473391	399029418.98306	375557100.219351
"UW 024"	"Milw Corridor Study USGS"	"34087 - 34086"	"Underwood"	FALSE	"UW 024"	"10/26/2010 6:34"	"10/26/2010 23:20"	"26-Oct-10"	"Event"	"Rainfall "	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-10-26 06:34:00	9	2010-10-26	0.26	0	0	0	0.26	0.26	"Oct"	0	0	0	1	0	"10/26/2010 5:15"	"10/27/2010 5:00"	28.3484	156.9754	"UW 024"	FALSE	"Rainfall"	2010-10-26 05:15:00	2010-10-27 05:00:00	2449303.04145	156.9754	23.75	2010-10-26 01:00:00	2010-10-26 12:00:00	11.325265382	18032700.0053353	18222517.9001283
"UW 025"	"Milw Corridor Study USGS"	"34095 - 34094"	"Underwood"	FALSE	"UW 025"	"11/10/2010 9:28"	"11/11/2010 7:43"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-10 09:28:00	10	2010-11-10	7.77	0	0	0	7.77	7.77	"Nov"	0	0	0	1	0	"11/10/2010 9:28"	"11/11/2010 7:43"	NA	NA	NA	NA	NA	2010-11-10 09:28:00	2010-11-11 07:43:00	211201.5735	2.933949	22.25	2010-11-10 09:00:00	2010-11-11 07:00:00	0	46468971.0662467	50123833.9590976
"UW 026"	"Milw Corridor Study USGS"	"34113 - 34112"	"Underwood"	FALSE	"UW 026"	"11/22/2010 7:32"	"11/23/2010 0:40"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-22 07:32:00	10	2010-11-22	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"11/22/2010 5:00"	"11/23/2010 7:00"	17.9349	123.4843	"UW 026"	FALSE	"Rainfall"	2010-11-22 05:00:00	2010-11-23 07:00:00	1549573.58205	123.4843	26	2010-11-22 02:00:00	2010-11-22 18:00:00	8.737352961	0	0
"UW 027"	"Milw Corridor Study USGS"	"34129 - 34128"	"Underwood"	FALSE	"UW 027"	"11/29/2010 19:31"	"11/30/2010 17:26"	"29-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	20.55	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-11-29 19:31:00	10	2010-11-29	0	20.55	0	0	20.55	20.55	"Nov"	0	0	0	0	0	"11/29/2010 17:45"	"11/30/2010 21:15"	11.7782	23.893	"UW 027"	FALSE	"Rainfall"	2010-11-29 17:45:00	2010-11-30 21:15:00	1017648.2814	23.89296	27.5	2010-11-29 18:00:00	2010-11-30 03:00:00	6.91944878	0	0
"UW 028"	"Milw Corridor Study USGS"	"34327 - 34326"	"Underwood"	FALSE	"UW 028"	"12/11/2010 16:15"	"12/12/2010 16:43"	"11-Dec-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-12-11 16:15:00	11	2010-12-11	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"12/11/2010 11:15"	"12/12/2010 20:10"	71.3837	147.0614	"UW 028"	FALSE	"Mix"	2010-12-11 11:15:00	2010-12-12 20:10:00	6173022.308675	147.0614	32.9166666666667	2010-12-11 15:00:00	2010-12-12 15:00:00	47.217423882	0	0
"UW 029"	"Milw Corridor Study USGS"	"34329 - 34328"	"Underwood"	FALSE	"UW 029"	"12/19/2010 12:55"	"12/20/2010 3:01"	"19-Dec-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010-12-19 12:55:00	11	2010-12-19	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"12/19/2010 12:55"	"12/20/2010 3:01"	NA	NA	NA	NA	NA	2010-12-19 12:55:00	2010-12-20 03:01:00	182817.162294	3.949667	14.1	2010-12-19 12:00:00	2010-12-20 03:00:00	0	0	0
