Variables	Groups	VarType
Study.Name	Header	Header
LIDE.Sample.ID	Header	Header
Study.Sample.ID	Header	Header
Collection.Start.Date	Header	Header
Adenovirus.C.D.F	Human_virus	Response
Adenovirus.A	Human_virus	Response
Adenovirus.B	Human_virus	Response
Enterovirus	Human_virus	Response
G1.Norovirus	Human_virus	Response
G2.Norovirus	Human_virus	Response
HAV	Human_virus	Response
Rotavirus	Human_virus	Response
Campylobacter	Bacteria	Response
Salmonella	Bacteria	Response
EHEC	Bacteria	Response
Cryptosporidium	Protozoa	Response
BVDV1	Bovine_virus	Response
BVDV2	Bovine_virus	Response
Rotavirus.a	Bovine_virus	Response
Rotavirus.c	Bovine_virus	Response
Bovine.Enterovirus	Bovine_virus	Response
Coronavirus	Bovine_virus	Response
Bovine.Adenovirus	Bovine_virus	Response
Bovine.Polyomavirus	Bovine_virus	Response
Mycobacterium.Avium	Bovine_virus	Response
Mycobacterium.Avium.paratuber	Bovine_virus	Response
