Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	33295 - 33296	HW 001	6-Apr-09	Baseflow	153.95	62.16	0	32.04	0	0	0	0														
Milw Corridor Study USGS	33312 - 33313	HW 002	19-Apr-09	Event	0	147.47	0	0	0	0	0	0														
Milw Corridor Study USGS	33344 - 33345	HW 003	13-May-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33384 - 33385	HW 005	8-Jun-09	Event	0	0	0	291.85	0	0	0	0														
Milw Corridor Study USGS	33397 - 33398	HW 006	15-Jun-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33443 - 33444	HW 009	11-Aug-09	Baseflow	7.21	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33462 - 33463	HW 011	14-Sep-09	Baseflow	24.81	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33474 - 33475	HW 012	22-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33484 - 33485	HW 013	27-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33494 - 33495	HW 014	1-Oct-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33530 - 33531	HW 015	22-Oct-09	Event	0.81	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33556 - 33557	HW 016	17-Nov-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33579 - 33580	HW 017	24-Dec-09	Event	0.68	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33596 - 33597	HW 018	20-Jan-10	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33604 - 33605	HW 019	24-Jan-10	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33614 - 33615	HW 020	1-Mar-10	Baseflow	0	0	0	0	0	0	0	0	70.52	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33662 - 33663	HW 021	9-Mar-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33682 - 33683	HW 023	5-Apr-10	Event	0	0	0	0	0	0	0	0	0	3.16	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33716 - 33717	HW 024	11-May-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33903 - 33902	HW 025	13-May-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.2	0	0	0	0	0	0	0
Milw Corridor Study USGS	33905 - 33904	HW 026	19-May-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.46	0	0	0	0	0	0	0
Milw Corridor Study USGS	33907 - 33906	HW 027	2-Jun-10	Event	0	0	0	926.09	0	0	0	0	0	0	0	0	0	0	260.73	0	0	0	0	0	0	0
Milw Corridor Study USGS	33909 - 33908	HW 028	15-Jun-10	Event	0	0	0	0	0	0	0	0	10.45	0	0	0	0	0	204.22	0	0	0	0	0	0	0
Milw Corridor Study USGS	33912 - 33911	HW 030	13-Jul-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34568 - 34567	HW 031	15-Jul-10	Event	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33914 - 33913	HW 032	22-Jul-10	Event	0	0	0	1457.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33916 - 33915	HW 033	23-Jul-10	Event	0	0	0	343.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33918 - 33917	HW 034	4-Aug-10	Baseflow	0	0	0	0	0	0	0	0	55.03	0	0	0	0	0	85.12	0	0	0	0	0	0	0
Milw Corridor Study USGS	34001 - 34000	HW 036	20-Aug-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34071 - 34070	HW 037	13-Oct-10	Baseflow	0	0	0	2.73	0	0	0	0	7.53	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34097 - 34096	HW 038	10-Nov-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34115 - 34114	HW 039	22-Nov-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34131 - 34130	HW 040	29-Nov-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34325 - 34324	HW 041	11-Dec-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
