Study Name	LIDE Sample ID	Site Name	Study Sample ID	Sample Combining needed?	USGS_ID	Collection Start Date	Sample Type	Event Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	33295 - 33296	Honey	HW 001			6-Apr-09	Baseflow	Baseflow	153.95	62.16	0	32.04	0	0	0	0														
Milw Corridor Study USGS	33312 - 33313	Honey	HW 002			19-Apr-09	Event	Rainfall 	0	147.47	0	0	0	0	0	0														
Milw Corridor Study USGS	33344 - 33345	Honey	HW 003			13-May-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33384 - 33385	Honey	HW 005			8-Jun-09	Event	Rainfall 	0	0	0	291.85	0	0	0	0														
Milw Corridor Study USGS	33397 - 33398	Honey	HW 006			15-Jun-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33443 - 33444	Honey	HW 009			11-Aug-09	Baseflow	Baseflow	7.21	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33462 - 33463	Honey	HW 011			14-Sep-09	Baseflow	Baseflow	24.81	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33474 - 33475	Honey	HW 012			22-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33484 - 33485	Honey	HW 013			27-Sep-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33494 - 33495	Honey	HW 014			1-Oct-09	Event	Rainfall 	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33530 - 33531	Honey	HW 015			22-Oct-09	Event	Rainfall 	0.81	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33556 - 33557	Honey	HW 016			17-Nov-09	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33579 - 33580	Honey	HW 017			24-Dec-09	Event	Mix	0.68	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33596 - 33597	Honey	HW 018			20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33604 - 33605	Honey	HW 019			24-Jan-10	Event	Mix	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33614 - 33615	Honey	HW 020			1-Mar-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	70.52	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33662 - 33663	Honey	HW 021			9-Mar-10	Event	Mix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33682 - 33683	Honey	HW 023			5-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	3.16	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33716 - 33717	Honey	HW 024			11-May-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33903 - 33902	Honey	HW 025			13-May-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.2	0	0	0	0	0	0	0
